object_kind	run_key	canonical_instrument	object_id	terminal_reason_code	censored	eligible	representation	candidate_id
COMPRESSION	RG3_US30_PERIOD_M5_1768176000_1768780800_14299449350608203917	US30	6	2	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_US30_PERIOD_M5_1768176000_1768780800_14299449350608203917	US30	7	2	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_US30_PERIOD_M5_1768176000_1768780800_14299449350608203917	US30	8	1	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_US30_PERIOD_M5_1768176000_1768780800_14299449350608203917	US30	9	1	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_US30_PERIOD_M5_1768176000_1768780800_14299449350608203917	US30	10	1	0	1	summary_geometry_v1	C2
COMPRESSION	RG3_US30_PERIOD_M5_1768176000_1768780800_14299449350608203917	US30	11	2	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_US30_PERIOD_M5_1768176000_1768780800_14299449350608203917	US30	12	1	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_US30_PERIOD_M5_1768176000_1768780800_14299449350608203917	US30	13	2	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_US30_PERIOD_M5_1768176000_1768780800_14299449350608203917	US30	14	2	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142	US500	1	2	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142	US500	2	2	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142	US500	3	1	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142	US500	4	1	0	1	summary_geometry_v1	C2
COMPRESSION	RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142	US500	5	1	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142	US500	6	1	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142	US500	7	1	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142	US500	8	2	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142	US500	9	2	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142	US500	10	1	0	1	summary_geometry_v1	C2
COMPRESSION	RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142	US500	11	1	0	1	summary_geometry_v1	C2
COMPRESSION	RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142	US500	12	1	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142	US500	13	1	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142	US500	14	1	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142	US500	15	1	0	1	summary_geometry_v1	C2
COMPRESSION	RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142	US500	16	2	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_USTEC_PERIOD_M5_1768176000_1768780800_7128405155079592654	USTEC	1	2	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_USTEC_PERIOD_M5_1768176000_1768780800_7128405155079592654	USTEC	2	2	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_USTEC_PERIOD_M5_1768176000_1768780800_7128405155079592654	USTEC	3	1	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_USTEC_PERIOD_M5_1768176000_1768780800_7128405155079592654	USTEC	4	1	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_USTEC_PERIOD_M5_1768176000_1768780800_7128405155079592654	USTEC	5	1	0	1	summary_geometry_v1	C2
COMPRESSION	RG3_USTEC_PERIOD_M5_1768176000_1768780800_7128405155079592654	USTEC	6	2	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_USTEC_PERIOD_M5_1768176000_1768780800_7128405155079592654	USTEC	7	2	0	1	summary_geometry_v1	C2
COMPRESSION	RG3_USTEC_PERIOD_M5_1768176000_1768780800_7128405155079592654	USTEC	8	2	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_USTEC_PERIOD_M5_1768176000_1768780800_7128405155079592654	USTEC	9	2	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_USTEC_PERIOD_M5_1768176000_1768780800_7128405155079592654	USTEC	10	1	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_USTEC_PERIOD_M5_1768176000_1768780800_7128405155079592654	USTEC	11	1	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_USTEC_PERIOD_M5_1768176000_1768780800_7128405155079592654	USTEC	12	1	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_USTEC_PERIOD_M5_1768176000_1768780800_7128405155079592654	USTEC	13	1	0	1	summary_geometry_v1	C2
COMPRESSION	RG3_USTEC_PERIOD_M5_1768176000_1768780800_7128405155079592654	USTEC	14	1	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	1	1	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	2	1	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	3	2	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	4	1	0	1	summary_geometry_v1	C2
COMPRESSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	5	2	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	6	1	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	7	1	0	1	summary_geometry_v1	C2
COMPRESSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	8	1	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	9	2	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	10	2	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	11	1	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	12	1	0	1	summary_geometry_v1	C2
COMPRESSION	RG3_FRA40_PERIOD_M5_1771200000_1771804800_1968818525264721670	FRA40	1	1	0	1	summary_geometry_v1	C2
COMPRESSION	RG3_FRA40_PERIOD_M5_1771200000_1771804800_1968818525264721670	FRA40	2	1	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_FRA40_PERIOD_M5_1771200000_1771804800_1968818525264721670	FRA40	3	2	0	1	summary_geometry_v1	C2
COMPRESSION	RG3_FRA40_PERIOD_M5_1771200000_1771804800_1968818525264721670	FRA40	4	1	0	1	summary_geometry_v1	C2
COMPRESSION	RG3_FRA40_PERIOD_M5_1771200000_1771804800_1968818525264721670	FRA40	5	2	0	1	summary_geometry_v1	C1
