contract	record_type	run_key	invocation_id	research_generation	source_auction_generation	raw_schema_version	compression_grammar_version	expansion_grammar_version	canonical_instrument	broker_symbol	timeframe	window_start	window_end	config_hash	data_source_id	data_fingerprint	terminal_reason	balanced	compression_started	compression_completed	compression_censored	compression_active	expansion_started	expansion_completed	expansion_censored	expansion_active	compression_samples	expansion_samples	relations
NORTHSTAR_RG3_RAW_MARKET_OBJECTS_V1	START	RG3_USTEC_PERIOD_M5_1781481600_1782086400_1420130309434895637	RG3_USTEC_PERIOD_M5_1781481600_1782086400_1420130309434895637_I1781308800_7735220549509140396	3	2	1	2	1	USTEC	USTEC	5	1781481600	1782086400	11558041990222457072	BROKER_MT5	RG3Q1_USTEC_1781481600_1782086400	0	1	0	0	0	0	0	0	0	0	0	0	0
NORTHSTAR_RG3_RAW_MARKET_OBJECTS_V1	END	RG3_USTEC_PERIOD_M5_1781481600_1782086400_1420130309434895637	RG3_USTEC_PERIOD_M5_1781481600_1782086400_1420130309434895637_I1781308800_7735220549509140396	3	2	1	2	1	USTEC	USTEC	5	1781481600	1782086400	11558041990222457072	BROKER_MT5	RG3Q1_USTEC_1781481600_1782086400	6	1	18	17	1	0	17	17	0	0	553	790	64
