fold_id	model_state_id	representation	session_index	session_id	civil_date	month	offset	baseline_brier	representation_brier	difference
1	PSEUDO_DB_F1_BASE_L10.0000_RAW_L10.0000	RAW	30	OBSOPEN_US30_20240417	2024-04-17	2024-04	180	0.21723193046996084	0.39093033298462998	-0.17369840251466914
1	PSEUDO_DB_F1_BASE_L10.0000_RAW_L10.0000	RAW	31	OBSOPEN_US30_20240422	2024-04-22	2024-04	180	0.21723193046996084	0.11962533497141831	0.09760659549854253
1	PSEUDO_DB_F1_BASE_L10.0000_RAW_L10.0000	RAW	32	OBSOPEN_US30_20240423	2024-04-23	2024-04	180	0.28507068018716775	0.24756331058179376	0.03750736960537399
1	PSEUDO_DB_F1_BASE_L10.0000_RAW_L10.0000	RAW	33	OBSOPEN_US30_20240429	2024-04-29	2024-04	180	0.23055079322917044	0.22411238132431896	0.00643841190485148
1	PSEUDO_DB_F1_BASE_L10.0000_RAW_L10.0000	RAW	34	OBSOPEN_US30_20240501	2024-05-01	2024-05	180	0.26057244379797362	0.32714494073298378	-0.06657249693501016
1	PSEUDO_DB_F1_BASE_L10.0000_RAW_L10.0000	RAW	35	OBSOPEN_US30_20240502	2024-05-02	2024-05	180	0.22194608463753135	0.13326602140645979	0.08868006323107155
1	PSEUDO_DB_F1_BASE_L10.0000_RAW_L10.0000	RAW	36	OBSOPEN_US30_20240508	2024-05-08	2024-05	180	0.28507068018716775	0.23600799864136854	0.04906268154579921
1	PSEUDO_DB_F1_BASE_L10.0000_RAW_L10.0000	RAW	37	OBSOPEN_US30_20240509	2024-05-09	2024-05	180	0.28507068018716775	0.18691312492913820	0.09815755525802955
1	PSEUDO_DB_F1_BASE_L10.0000_RAW_L10.0000	RAW	38	OBSOPEN_US30_20240513	2024-05-13	2024-05	180	0.21723193046996084	0.21455997904098703	0.00267195142897381
1	PSEUDO_DB_F1_BASE_L10.0000_RAW_L10.0000	RAW	39	OBSOPEN_US30_20240516	2024-05-16	2024-05	180	0.28507068018716775	0.34925124169548244	-0.06418056150831469
1	PSEUDO_DB_F1_BASE_L10.0000_RAW_L10.0000	RAW	40	OBSOPEN_US30_20240521	2024-05-21	2024-05	180	0.28507068018716775	0.26429670372984521	0.02077397645732254
1	PSEUDO_DB_F1_BASE_L10.0000_RAW_L10.0000	RAW	41	OBSOPEN_US30_20240522	2024-05-22	2024-05	180	0.28507068018716775	0.21157379700100495	0.07349688318616279
1	PSEUDO_DB_F1_BASE_L10.0000_RAW_L10.0000	RAW	42	OBSOPEN_US30_20240523	2024-05-23	2024-05	180	0.21723193046996084	0.08181930547929132	0.13541262499066953
1	PSEUDO_DB_F1_BASE_L10.0000_RAW_L10.0000	RAW	43	OBSOPEN_US30_20240530	2024-05-30	2024-05	180	0.21723193046996084	0.18936437972161135	0.02786755074834948
1	PSEUDO_DB_F1_BASE_L10.0000_RAW_L10.0000	RAW	44	OBSOPEN_US30_20240606	2024-06-06	2024-06	180	0.25743309711027768	0.40441982302683399	-0.14698672591655632
1	PSEUDO_DB_F1_BASE_L10.0000_RAW_L10.0000	RAW	45	OBSOPEN_US30_20240610	2024-06-10	2024-06	180	0.25750144092494787	0.34406476649153450	-0.08656332556658664
1	PSEUDO_DB_F1_BASE_L10.0000_RAW_L10.0000	RAW	46	OBSOPEN_US30_20240611	2024-06-11	2024-06	180	0.26730740090338123	0.41285865376851377	-0.14555125286513254
1	PSEUDO_DB_F1_BASE_L10.0000_RAW_L10.0000	RAW	47	OBSOPEN_US30_20240612	2024-06-12	2024-06	180	0.21723193046996084	0.19786189601519574	0.01937003445476509
1	PSEUDO_DB_F1_BASE_L10.0000_RAW_L10.0000	RAW	48	OBSOPEN_US30_20240613	2024-06-13	2024-06	180	0.21723193046996084	0.13771490300857273	0.07951702746138811
1	PSEUDO_DB_F1_BASE_L10.0000_RAW_L10.0000	RAW	49	OBSOPEN_US30_20240617	2024-06-17	2024-06	180	0.28507068018716775	0.20850138959109391	0.07656929059607384
