object_kind	object_key	raw_contract_id	canonical_contract_id	retained_neighbors	entered_neighbors	exited_neighbors	union_neighbors	membership_jaccard	shared_rank_correlation	raw_direction	duration_seconds	terminal_reason_code	censored	instrument	run_key
COMPRESSION	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::1	TRAJECTORY_RAW_U21_V1::POINTWISE_L2_V1::COMPLETE	TRAJECTORY_CANONICAL_U21_V1::POINTWISE_L2_V1::COMPLETE	8	2	2	12	0.6666666666666666	0.9866063319870341	-1	196500	2	0	DE40	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912
COMPRESSION	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::2	TRAJECTORY_RAW_U21_V1::POINTWISE_L2_V1::COMPLETE	TRAJECTORY_CANONICAL_U21_V1::POINTWISE_L2_V1::COMPLETE	3	7	7	17	0.17647058823529413	1	1	27600	1	0	DE40	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912
COMPRESSION	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::3	TRAJECTORY_RAW_U21_V1::POINTWISE_L2_V1::COMPLETE	TRAJECTORY_CANONICAL_U21_V1::POINTWISE_L2_V1::COMPLETE	5	5	5	15	0.3333333333333333	0.9938837346736188	1	23100	1	0	DE40	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912
COMPRESSION	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::4	TRAJECTORY_RAW_U21_V1::POINTWISE_L2_V1::COMPLETE	TRAJECTORY_CANONICAL_U21_V1::POINTWISE_L2_V1::COMPLETE	2	8	8	18	0.1111111111111111	1	-1	29400	2	0	DE40	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912
COMPRESSION	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::5	TRAJECTORY_RAW_U21_V1::POINTWISE_L2_V1::COMPLETE	TRAJECTORY_CANONICAL_U21_V1::POINTWISE_L2_V1::COMPLETE	7	3	3	13	0.5384615384615384	0.9931832879575959	1	8100	1	0	DE40	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912
COMPRESSION	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::6	TRAJECTORY_RAW_U21_V1::POINTWISE_L2_V1::COMPLETE	TRAJECTORY_CANONICAL_U21_V1::POINTWISE_L2_V1::COMPLETE	2	8	8	18	0.1111111111111111	1	-1	8400	2	0	DE40	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912
COMPRESSION	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::7	TRAJECTORY_RAW_U21_V1::POINTWISE_L2_V1::COMPLETE	TRAJECTORY_CANONICAL_U21_V1::POINTWISE_L2_V1::COMPLETE	6	4	4	14	0.42857142857142855	0.9605857389483093	-1	9900	2	0	DE40	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912
COMPRESSION	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::8	TRAJECTORY_RAW_U21_V1::POINTWISE_L2_V1::COMPLETE	TRAJECTORY_CANONICAL_U21_V1::POINTWISE_L2_V1::COMPLETE	4	6	6	16	0.25	0.9828721869343219	1	19200	1	0	DE40	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912
EXPANSION	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::1	TRAJECTORY_RAW_U21_V1::POINTWISE_L2_V1::COMPLETE	TRAJECTORY_CANONICAL_U21_V1::POINTWISE_L2_V1::COMPLETE	5	5	5	15	0.3333333333333333	0.7024393586862705	-1	8100	4	0	DE40	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912
EXPANSION	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::2	TRAJECTORY_RAW_U21_V1::POINTWISE_L2_V1::COMPLETE	TRAJECTORY_CANONICAL_U21_V1::POINTWISE_L2_V1::COMPLETE	5	5	5	15	0.3333333333333333	0.9934486894185641	1	33000	4	0	DE40	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912
