contract_id	object_kind	class_id	class_size	object_key
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000005	24	RG3_USTEC_PERIOD_M5_1771200000_1771804800_8488883873716319363::COMPRESSION::13
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000005	24	RG3_USTEC_PERIOD_M5_1774224000_1774828800_8427243982755741149::COMPRESSION::1
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000005	24	RG3_USTEC_PERIOD_M5_1774224000_1774828800_8427243982755741149::COMPRESSION::10
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000005	24	RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300::COMPRESSION::11
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000006	31	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::6
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000006	31	RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598::COMPRESSION::15
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000006	31	RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598::COMPRESSION::7
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000006	31	RG3_DE40_PERIOD_M5_1783900800_1784505600_9564959796063117251::COMPRESSION::2
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000006	31	RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252::COMPRESSION::6
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000006	31	RG3_FRA40_PERIOD_M5_1774224000_1774828800_14575658576911331190::COMPRESSION::2
