run_key	expansion_id	bar_time	age_bars	open	high	low	close	state_code	origin_atr	origin_terminal_price	raw_displacement	raw_max_displacement	raw_opposite_displacement	raw_return_depth	raw_close_path_length	raw_velocity_per_bar	raw_acceleration_per_bar2
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785737400	0	25867.7000000000007276	25867.7000000000007276	25861.7000000000007276	25866.2000000000007276	1	20.7965240271506780	25866.2000000000007276	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785737700	1	25865.2000000000007276	25866.2000000000007276	25857.7000000000007276	25858.7000000000007276	1	20.7965240271506780	25866.2000000000007276	-7.5000000000000000	0.0000000000000000	7.5000000000000000	7.5000000000000000	7.5000000000000000	-7.5000000000000000	-7.5000000000000000
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785738000	2	25860.2000000000007276	25866.2000000000007276	25856.7000000000007276	25861.2000000000007276	1	20.7965240271506780	25866.2000000000007276	-5.0000000000000000	0.0000000000000000	7.5000000000000000	5.0000000000000000	10.0000000000000000	2.5000000000000000	10.0000000000000000
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785738300	3	25862.2000000000007276	25866.2000000000007276	25855.7000000000007276	25857.2000000000007276	1	20.7965240271506780	25866.2000000000007276	-9.0000000000000000	0.0000000000000000	9.0000000000000000	9.0000000000000000	14.0000000000000000	-4.0000000000000000	-6.5000000000000000
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785738600	4	25858.2000000000007276	25868.2000000000007276	25856.2000000000007276	25865.7000000000007276	1	20.7965240271506780	25866.2000000000007276	-0.5000000000000000	0.0000000000000000	9.0000000000000000	0.5000000000000000	22.5000000000000000	8.5000000000000000	12.5000000000000000
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785738900	5	25866.2000000000007276	25878.2000000000007276	25866.2000000000007276	25877.2000000000007276	1	20.7965240271506780	25866.2000000000007276	11.0000000000000000	11.0000000000000000	9.0000000000000000	0.0000000000000000	34.0000000000000000	11.5000000000000000	3.0000000000000000
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785739200	6	25877.7000000000007276	25888.2000000000007276	25874.7000000000007276	25886.7000000000007276	1	20.7965240271506780	25866.2000000000007276	20.5000000000000000	20.5000000000000000	9.0000000000000000	0.0000000000000000	43.5000000000000000	9.5000000000000000	-2.0000000000000000
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785739500	7	25885.7000000000007276	25888.2000000000007276	25880.7000000000007276	25888.2000000000007276	1	20.7965240271506780	25866.2000000000007276	22.0000000000000000	22.0000000000000000	9.0000000000000000	0.0000000000000000	45.0000000000000000	1.5000000000000000	-8.0000000000000000
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785739800	8	25887.2000000000007276	25921.2000000000007276	25887.2000000000007276	25917.7000000000007276	1	20.7965240271506780	25866.2000000000007276	51.5000000000000000	51.5000000000000000	9.0000000000000000	0.0000000000000000	74.5000000000000000	29.5000000000000000	28.0000000000000000
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785740100	9	25917.2000000000007276	25917.7000000000007276	25895.7000000000007276	25896.2000000000007276	1	20.7965240271506780	25866.2000000000007276	30.0000000000000000	51.5000000000000000	9.0000000000000000	21.5000000000000000	96.0000000000000000	-21.5000000000000000	-51.0000000000000000
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785740400	10	25897.2000000000007276	25900.7000000000007276	25888.7000000000007276	25890.7000000000007276	1	20.7965240271506780	25866.2000000000007276	24.5000000000000000	51.5000000000000000	9.0000000000000000	27.0000000000000000	101.5000000000000000	-5.5000000000000000	16.0000000000000000
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785740700	11	25891.2000000000007276	25902.7000000000007276	25889.7000000000007276	25897.7000000000007276	1	20.7965240271506780	25866.2000000000007276	31.5000000000000000	51.5000000000000000	9.0000000000000000	20.0000000000000000	108.5000000000000000	7.0000000000000000	12.5000000000000000
