run_key	compression_id	bar_time	age_bars	state_code	open	high	low	close	atr	seed_top	seed_bottom	seed_mid	contain_top	contain_bottom	contain_mid	escape_count	frontier_direction	bars_since_frontier_cross
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785725400	20	2	25828.0999999999985448	25843.0000000000000000	25825.7000000000007276	25829.7999999999992725	21.2168350550860652	25847.3868350550837931	25804.9531649449127144	25826.1699999999982538	25847.3868350550837931	25804.9531649449127144	25826.1699999999982538	0	0	0
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785725700	21	2	25828.7999999999992725	25834.5999999999985449	25820.7999999999992725	25833.2000000000007276	21.2020013849758904	25847.3868350550837931	25804.9531649449127144	25826.1699999999982538	25847.3868350550837931	25804.9531649449127144	25826.1699999999982538	0	0	0
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785726000	22	4	25832.9000000000014552	25833.4000000000014552	25790.0999999999985448	25792.5999999999985449	21.2461973822059456	25847.3868350550837931	25804.9531649449127144	25826.1699999999982538	25847.3868350550837931	25790.0999999999985448	25818.7434175275411690	1	-1	0
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785726300	23	2	25792.5999999999985449	25819.5999999999985449	25788.2000000000007276	25819.5999999999985449	21.2665049874415324	25847.3868350550837931	25804.9531649449127144	25826.1699999999982538	25847.3868350550837931	25788.2000000000007276	25817.7934175275440794	1	0	1
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785726600	24	2	25819.9000000000014552	25827.9000000000014552	25808.2000000000007276	25815.7999999999992725	21.2633719774666510	25847.3868350550837931	25804.9531649449127144	25826.1699999999982538	25847.3868350550837931	25788.2000000000007276	25817.7934175275440794	1	0	0
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785726900	25	3	25854.2000000000007276	25862.2000000000007276	25845.2000000000007276	25851.2000000000007276	21.3136452335117213	25847.3868350550837931	25804.9531649449127144	25826.1699999999982538	25862.2000000000007276	25788.2000000000007276	25825.2000000000007276	2	1	0
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785727200	26	2	25851.7000000000007276	25853.2000000000007276	25829.7000000000007276	25829.7000000000007276	21.3180179430446977	25847.3868350550837931	25804.9531649449127144	25826.1699999999982538	25862.2000000000007276	25788.2000000000007276	25825.2000000000007276	2	0	1
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785727500	27	2	25829.2000000000007276	25847.7000000000007276	25826.7000000000007276	25843.7000000000007276	21.3173819071586088	25847.3868350550837931	25804.9531649449127144	25826.1699999999982538	25862.2000000000007276	25788.2000000000007276	25825.2000000000007276	2	0	0
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785727800	28	3	25840.7000000000007276	25856.7000000000007276	25840.7000000000007276	25851.7000000000007276	21.3067471433442926	25847.3868350550837931	25804.9531649449127144	25826.1699999999982538	25862.2000000000007276	25788.2000000000007276	25825.2000000000007276	3	1	0
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785728100	29	3	25850.7000000000007276	25859.2000000000007276	25844.2000000000007276	25857.2000000000007276	21.2941336490576028	25847.3868350550837931	25804.9531649449127144	25826.1699999999982538	25862.2000000000007276	25788.2000000000007276	25825.2000000000007276	3	1	1
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785728400	30	2	25849.2000000000007276	25860.2000000000007276	25836.7000000000007276	25844.7000000000007276	21.2985453817594852	25847.3868350550837931	25804.9531649449127144	25826.1699999999982538	25862.2000000000007276	25788.2000000000007276	25825.2000000000007276	3	0	2
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785728700	31	3	25846.7000000000007276	25855.7000000000007276	25836.7000000000007276	25851.7000000000007276	21.2939482909959672	25847.3868350550837931	25804.9531649449127144	25826.1699999999982538	25862.2000000000007276	25788.2000000000007276	25825.2000000000007276	4	1	0
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785729000	32	3	25848.7000000000007276	25860.7000000000007276	25839.7000000000007276	25856.2000000000007276	21.2933603944139769	25847.3868350550837931	25804.9531649449127144	25826.1699999999982538	25862.2000000000007276	25788.2000000000007276	25825.2000000000007276	4	1	1
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785729300	33	3	25854.7000000000007276	25857.2000000000007276	25846.2000000000007276	25851.7000000000007276	21.2727736736251494	25847.3868350550837931	25804.9531649449127144	25826.1699999999982538	25862.2000000000007276	25788.2000000000007276	25825.2000000000007276	4	1	2
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785729600	34	3	25852.7000000000007276	25856.2000000000007276	25838.2000000000007276	25850.2000000000007276	21.2662281262778983	25847.3868350550837931	25804.9531649449127144	25826.1699999999982538	25862.2000000000007276	25788.2000000000007276	25825.2000000000007276	4	1	3
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785729900	35	3	25850.7000000000007276	25858.7000000000007276	25840.2000000000007276	25848.7000000000007276	21.2606956700253420	25847.3868350550837931	25804.9531649449127144	25826.1699999999982538	25862.2000000000007276	25788.2000000000007276	25825.2000000000007276	4	1	4
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785730200	36	2	25847.7000000000007276	25853.2000000000007276	25821.7000000000007276	25825.2000000000007276	21.2811742786852918	25847.3868350550837931	25804.9531649449127144	25826.1699999999982538	25862.2000000000007276	25788.2000000000007276	25825.2000000000007276	4	0	5
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785730500	37	2	25825.7000000000007276	25832.7000000000007276	25820.2000000000007276	25821.2000000000007276	21.2636119301279223	25847.3868350550837931	25804.9531649449127144	25826.1699999999982538	25862.2000000000007276	25788.2000000000007276	25825.2000000000007276	4	0	0
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785730800	38	2	25819.2000000000007276	25830.7000000000007276	25819.2000000000007276	25829.7000000000007276	21.2440847062676675	25847.3868350550837931	25804.9531649449127144	25826.1699999999982538	25862.2000000000007276	25788.2000000000007276	25825.2000000000007276	4	0	0
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785731100	39	2	25830.2000000000007276	25847.2000000000007276	25830.2000000000007276	25844.7000000000007276	21.2365965368551351	25847.3868350550837931	25804.9531649449127144	25826.1699999999982538	25862.2000000000007276	25788.2000000000007276	25825.2000000000007276	4	0	0
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785731400	40	2	25844.7000000000007276	25849.2000000000007276	25830.2000000000007276	25831.2000000000007276	21.2321233437814279	25847.3868350550837931	25804.9531649449127144	25826.1699999999982538	25862.2000000000007276	25788.2000000000007276	25825.2000000000007276	4	0	0
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785731700	41	2	25830.2000000000007276	25837.7000000000007276	25827.2000000000007276	25837.7000000000007276	21.2106590970938633	25847.3868350550837931	25804.9531649449127144	25826.1699999999982538	25862.2000000000007276	25788.2000000000007276	25825.2000000000007276	4	0	0
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785732000	42	2	25836.7000000000007276	25843.7000000000007276	25831.7000000000007276	25843.7000000000007276	21.1922377788996741	25847.3868350550837931	25804.9531649449127144	25826.1699999999982538	25862.2000000000007276	25788.2000000000007276	25825.2000000000007276	4	0	0
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785732300	43	2	25842.2000000000007276	25850.2000000000007276	25838.7000000000007276	25838.7000000000007276	21.1728533033418742	25847.3868350550837931	25804.9531649449127144	25826.1699999999982538	25862.2000000000007276	25788.2000000000007276	25825.2000000000007276	4	0	0
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785732600	44	3	25842.2000000000007276	25851.7000000000007276	25839.7000000000007276	25849.2000000000007276	21.1565075967351923	25847.3868350550837931	25804.9531649449127144	25826.1699999999982538	25862.2000000000007276	25788.2000000000007276	25825.2000000000007276	5	1	0
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785732900	45	3	25848.7000000000007276	25855.2000000000007276	25847.7000000000007276	25853.7000000000007276	21.1291945815417215	25847.3868350550837931	25804.9531649449127144	25826.1699999999982538	25862.2000000000007276	25788.2000000000007276	25825.2000000000007276	5	1	1
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785733200	46	3	25852.7000000000007276	25855.7000000000007276	25844.7000000000007276	25854.7000000000007276	21.1089361923786392	25847.3868350550837931	25804.9531649449127144	25826.1699999999982538	25862.2000000000007276	25788.2000000000007276	25825.2000000000007276	5	1	2
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785733500	47	2	25851.2000000000007276	25855.2000000000007276	25842.2000000000007276	25845.7000000000007276	21.0927183199938817	25847.3868350550837931	25804.9531649449127144	25826.1699999999982538	25862.2000000000007276	25788.2000000000007276	25825.2000000000007276	5	0	3
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785733800	48	3	25844.7000000000007276	25849.7000000000007276	25844.2000000000007276	25848.2000000000007276	21.0615328833538946	25847.3868350550837931	25804.9531649449127144	25826.1699999999982538	25862.2000000000007276	25788.2000000000007276	25825.2000000000007276	6	1	0
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785734100	49	3	25849.7000000000007276	25862.2000000000007276	25845.2000000000007276	25862.2000000000007276	21.0534098175871876	25847.3868350550837931	25804.9531649449127144	25826.1699999999982538	25862.2000000000007276	25788.2000000000007276	25825.2000000000007276	6	1	1
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785734400	50	3	25865.2000000000007276	25869.2000000000007276	25855.2000000000007276	25856.7000000000007276	21.0393029979520136	25847.3868350550837931	25804.9531649449127144	25826.1699999999982538	25869.2000000000007276	25788.2000000000007276	25828.7000000000007276	6	1	2
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785734700	51	2	25857.2000000000007276	25857.2000000000007276	25841.2000000000007276	25846.7000000000007276	21.0292243919561095	25847.3868350550837931	25804.9531649449127144	25826.1699999999982538	25869.2000000000007276	25788.2000000000007276	25828.7000000000007276	6	0	3
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785735000	52	3	25847.7000000000007276	25850.2000000000007276	25841.7000000000007276	25849.7000000000007276	21.0041659431721968	25847.3868350550837931	25804.9531649449127144	25826.1699999999982538	25869.2000000000007276	25788.2000000000007276	25828.7000000000007276	7	1	0
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785735300	53	2	25852.7000000000007276	25855.7000000000007276	25845.7000000000007276	25845.7000000000007276	20.9821576112858530	25847.3868350550837931	25804.9531649449127144	25826.1699999999982538	25869.2000000000007276	25788.2000000000007276	25828.7000000000007276	7	0	1
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	1	1785735600	54	3	25846.2000000000007276	25850.2000000000007276	25846.2000000000007276	25850.2000000000007276	20.9491932960632816	25847.3868350550837931	25804.9531649449127144	25826.1699999999982538	25869.2000000000007276	25788.2000000000007276	25828.7000000000007276	8	1	0
