run_key	sequence	expansion_id	origin_compression_id	destination_compression_id	bar_time	event_code	state_code	terminal_reason_code
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	18	1	1	\N	1785737400	1	1	0
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	20	1	1	2	1785745200	3	2	4
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	27	2	2	\N	1785753600	1	1	0
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	29	2	2	3	1785769200	3	2	4
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	32	3	3	\N	1785771300	2	1	0
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	34	3	3	4	1785785700	3	2	4
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	39	4	4	\N	1785792600	1	1	0
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	41	4	4	5	1785810900	3	2	4
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	52	5	5	\N	1785834600	1	1	0
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	54	5	5	6	1785879900	3	2	4
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	57	6	6	\N	1785882600	1	1	0
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	59	6	6	7	1785897600	3	2	4
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	62	7	7	\N	1785901500	2	1	0
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	64	7	7	8	1785911700	3	2	4
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	67	8	8	\N	1785918600	2	1	0
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	69	8	8	9	1785963300	3	2	4
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	78	9	9	\N	1785979800	1	1	0
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	80	9	9	10	1786000500	3	2	4
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	83	10	10	\N	1786005000	2	1	0
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	85	10	10	11	1786023900	3	2	4
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	96	11	11	\N	1786032000	2	1	0
RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	98	11	11	12	1786049400	3	2	4
