canonical_instrument	eligible_count	observed_count	censored_count	analyzable_count	estimate	censoring_rate
DE40	64	30	28	36	0.8333333333333334	0.4375
FRA40	56	28	24	32	0.875	0.42857142857142855
JPN225	82	50	21	61	0.819672131147541	0.25609756097560976
US30	60	39	14	46	0.8478260869565217	0.23333333333333334
US500	85	59	21	64	0.921875	0.24705882352941178
USTEC	39	21	15	24	0.875	0.38461538461538464
