canonical_instrument	eligible_count	observed_count	censored_count	analyzable_count	estimate	censoring_rate
DE40	898	100	102	796	0.12562814070351758	0.11358574610244988
FRA40	933	117	113	820	0.14268292682926828	0.12111468381564845
JPN225	1068	132	129	939	0.14057507987220447	0.12078651685393259
US30	961	105	109	852	0.12323943661971831	0.11342351716961499
US500	1156	147	128	1028	0.14299610894941633	0.11072664359861592
USTEC	721	66	105	616	0.10714285714285714	0.14563106796116504
