canonical_instrument	eligible_count	observed_count	censored_count	analyzable_count	estimate	censoring_rate
DE40	333	152	81	252	0.6031746031746031	0.24324324324324326
FRA40	383	180	86	297	0.6060606060606061	0.2245430809399478
JPN225	370	148	90	280	0.5285714285714286	0.24324324324324326
US30	340	149	86	254	0.5866141732283464	0.2529411764705882
US500	436	182	107	329	0.5531914893617021	0.24541284403669725
USTEC	211	69	76	135	0.5111111111111111	0.36018957345971564
