canonical_instrument	eligible_count	observed_count	censored_count	analyzable_count	estimate	censoring_rate
DE40	214	138	3	211	0.6540284360189573	0.014018691588785047
FRA40	147	47	0	147	0.3197278911564626	0.0
JPN225	273	180	4	269	0.6691449814126395	0.014652014652014652
US30	180	106	2	178	0.5955056179775281	0.011111111111111112
US500	322	210	3	319	0.658307210031348	0.009316770186335404
USTEC	131	82	4	127	0.6456692913385826	0.030534351145038167
