canonical_instrument	eligible_count	observed_count	censored_count	analyzable_count	estimate	censoring_rate
DE40	898	544	102	796	0.6834170854271356	0.11358574610244988
FRA40	933	523	113	820	0.6378048780487805	0.12111468381564845
JPN225	1068	659	129	939	0.7018104366347178	0.12078651685393259
US30	961	598	109	852	0.7018779342723005	0.11342351716961499
US500	1156	699	128	1028	0.6799610894941635	0.11072664359861592
USTEC	721	481	105	616	0.7808441558441559	0.14563106796116504
