contract	record_type	run_key	invocation_id	research_generation	source_auction_generation	raw_schema_version	compression_grammar_version	expansion_grammar_version	canonical_instrument	broker_symbol	timeframe	window_start	window_end	config_hash	data_source_id	data_fingerprint	terminal_reason	balanced	compression_started	compression_completed	compression_censored	compression_active	expansion_started	expansion_completed	expansion_censored	expansion_active	compression_samples	expansion_samples	relations
NORTHSTAR_RG3_RAW_MARKET_OBJECTS_V1	START	RG3_US30_PERIOD_M5_1768176000_1768780800_14299449350608203917	RG3_US30_PERIOD_M5_1768176000_1768780800_14299449350608203917_I1768003200_5975875754875451790	3	2	1	2	1	US30	US30	5	1768176000	1768780800	11558041990222457072	BROKER_MT5	RG3Q1_US30_1768176000_1768780800	0	1	0	0	0	0	0	0	0	0	0	0	0
NORTHSTAR_RG3_RAW_MARKET_OBJECTS_V1	END	RG3_US30_PERIOD_M5_1768176000_1768780800_14299449350608203917	RG3_US30_PERIOD_M5_1768176000_1768780800_14299449350608203917_I1768003200_5975875754875451790	3	2	1	2	1	US30	US30	5	1768176000	1768780800	11558041990222457072	BROKER_MT5	RG3Q1_US30_1768176000_1768780800	6	1	14	14	0	0	14	13	1	0	434	893	176
