object_key	representation_id	distance_contract	comparison_mode	rank	neighbor_key	distance	comparable_support_points	comparable_support_bars	comparable_support_seconds	object_censored	neighbor_censored
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::2	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	7	RG3_JPN225_PERIOD_M5_1783900800_1784505600_16697415774406944896::COMPRESSION::8	0.3978808448178108	13	40	15900	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::2	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	8	RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907::COMPRESSION::8	0.40129513306778103	21	73	21900	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::2	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	9	RG3_JPN225_PERIOD_M5_1771200000_1771804800_16175888908372551973::COMPRESSION::9	0.403022629185608	13	46	13800	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::2	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	10	RG3_FRA40_PERIOD_M5_1781481600_1782086400_317235149503321393::COMPRESSION::5	0.41942381903002934	21	73	21900	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::3	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	1	RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795::COMPRESSION::7	0.03664207678122505	5	29	8700	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::3	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	2	RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637::COMPRESSION::12	0.0410623904954587	5	34	10800	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::3	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	3	RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637::COMPRESSION::7	0.046847123250620085	5	28	8400	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::3	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	4	RG3_US30_PERIOD_M5_1783900800_1784505600_318110170989838139::COMPRESSION::7	0.046847123250620085	5	28	8400	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::3	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	5	RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795::COMPRESSION::5	0.047632625060399066	5	34	17400	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::3	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	6	RG3_JPN225_PERIOD_M5_1774224000_1774828800_828979282129269557::COMPRESSION::12	0.04920232109185911	5	26	7800	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::3	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	7	RG3_FRA40_PERIOD_M5_1768176000_1768780800_7648442211186610174::COMPRESSION::1	0.04949612559790086	5	29	8700	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::3	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	8	RG3_FRA40_PERIOD_M5_1777852800_1778457600_3950759615288727177::COMPRESSION::7	0.04949612559790086	5	31	9300	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::3	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	9	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::5	0.052754852987245235	5	22	13800	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::3	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	10	RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070::COMPRESSION::10	0.053721560638283414	5	25	7500	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::4	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	1	RG3_JPN225_PERIOD_M5_1783900800_1784505600_16697415774406944896::COMPRESSION::8	0.18703749734141478	11	40	15900	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::4	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	2	RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142::COMPRESSION::11	0.20806151747248303	9	42	12600	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::4	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	3	RG3_JPN225_PERIOD_M5_1768176000_1768780800_17871390277607299118::COMPRESSION::10	0.2115049637802322	11	29	12300	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::4	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	4	RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070::COMPRESSION::13	0.21841319741110332	9	24	7200	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::4	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	5	RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907::COMPRESSION::7	0.22253017970762112	9	51	18900	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::4	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	6	RG3_US500_PERIOD_M5_1781481600_1782086400_15824288097372850924::COMPRESSION::10	0.2241479882512386	9	74	22200	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::4	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	7	RG3_USTEC_PERIOD_M5_1777852800_1778457600_2749301626223637730::COMPRESSION::10	0.22733045559992268	11	61	18300	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::4	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	8	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::1	0.2283711963881433	9	26	7800	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::4	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	9	RG3_JPN225_PERIOD_M5_1771200000_1771804800_16175888908372551973::COMPRESSION::14	0.22886427248279945	9	28	8400	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::4	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	10	RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907::COMPRESSION::6	0.2303422161137236	9	35	10500	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::5	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	1	RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795::COMPRESSION::10	0	3	8	2400	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::5	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	2	RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598::COMPRESSION::5	0	3	8	2400	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::5	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	3	RG3_DE40_PERIOD_M5_1783900800_1784505600_9564959796063117251::COMPRESSION::1	0	3	8	2400	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::5	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	4	RG3_FRA40_PERIOD_M5_1771200000_1771804800_1968818525264721670::COMPRESSION::7	0	3	8	2400	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::5	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	5	RG3_FRA40_PERIOD_M5_1774224000_1774828800_14575658576911331190::COMPRESSION::10	0	3	8	2400	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::5	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	6	RG3_FRA40_PERIOD_M5_1783900800_1784505600_9090742951363683789::COMPRESSION::9	0	3	8	2400	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::5	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	7	RG3_JPN225_PERIOD_M5_1768176000_1768780800_17871390277607299118::COMPRESSION::11	0	3	8	2400	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::5	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	8	RG3_JPN225_PERIOD_M5_1771200000_1771804800_16175888908372551973::COMPRESSION::7	0	3	8	2400	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::5	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	9	RG3_JPN225_PERIOD_M5_1774224000_1774828800_828979282129269557::COMPRESSION::10	0	3	8	2400	0	0
