object_key	representation_id	availability	byte_offset	byte_length	dimensions
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::1	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	7952	504	126
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::2	SUMMARY_RAW_V1	AVAILABLE	8456	40	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::2	SUMMARY_CANONICAL_V1	AVAILABLE	8496	40	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::2	TRAJECTORY_RAW_U21_V1	AVAILABLE	8536	504	126
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::2	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	9040	504	126
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::3	SUMMARY_RAW_V1	AVAILABLE	9544	40	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::3	SUMMARY_CANONICAL_V1	AVAILABLE	9584	40	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::3	TRAJECTORY_RAW_U21_V1	AVAILABLE	9624	504	126
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::3	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	10128	504	126
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::4	SUMMARY_RAW_V1	AVAILABLE	10632	40	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::4	SUMMARY_CANONICAL_V1	AVAILABLE	10672	40	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::4	TRAJECTORY_RAW_U21_V1	AVAILABLE	10712	504	126
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::4	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	11216	504	126
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::5	SUMMARY_RAW_V1	AVAILABLE	11720	40	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::5	SUMMARY_CANONICAL_V1	AVAILABLE	11760	40	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::5	TRAJECTORY_RAW_U21_V1	AVAILABLE	11800	504	126
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::5	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	12304	504	126
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::6	SUMMARY_RAW_V1	AVAILABLE	12808	40	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::6	SUMMARY_CANONICAL_V1	AVAILABLE	12848	40	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::6	TRAJECTORY_RAW_U21_V1	AVAILABLE	12888	504	126
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::6	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	13392	504	126
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::7	SUMMARY_RAW_V1	AVAILABLE	13896	40	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::7	SUMMARY_CANONICAL_V1	AVAILABLE	13936	40	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::7	TRAJECTORY_RAW_U21_V1	AVAILABLE	13976	504	126
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::7	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	14480	504	126
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::8	SUMMARY_RAW_V1	CENSORED_SUFFIX	14984	0	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::8	SUMMARY_CANONICAL_V1	CENSORED_SUFFIX	14984	0	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::8	TRAJECTORY_RAW_U21_V1	CENSORED_SUFFIX	14984	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::8	TRAJECTORY_CANONICAL_U21_V1	CENSORED_SUFFIX	14984	0	0
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::1	SUMMARY_RAW_V1	AVAILABLE	14984	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::1	SUMMARY_CANONICAL_V1	AVAILABLE	15024	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::1	TRAJECTORY_RAW_U21_V1	AVAILABLE	15064	420	105
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::1	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	15484	420	105
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::10	SUMMARY_RAW_V1	AVAILABLE	15904	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::10	SUMMARY_CANONICAL_V1	AVAILABLE	15944	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::10	TRAJECTORY_RAW_U21_V1	AVAILABLE	15984	420	105
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::10	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	16404	420	105
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::11	SUMMARY_RAW_V1	AVAILABLE	16824	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::11	SUMMARY_CANONICAL_V1	AVAILABLE	16864	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::11	TRAJECTORY_RAW_U21_V1	AVAILABLE	16904	420	105
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::11	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	17324	420	105
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::12	SUMMARY_RAW_V1	AVAILABLE	17744	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::12	SUMMARY_CANONICAL_V1	AVAILABLE	17784	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::12	TRAJECTORY_RAW_U21_V1	AVAILABLE	17824	420	105
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::12	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	18244	420	105
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::2	SUMMARY_RAW_V1	AVAILABLE	18664	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::2	SUMMARY_CANONICAL_V1	AVAILABLE	18704	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::2	TRAJECTORY_RAW_U21_V1	AVAILABLE	18744	420	105
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::2	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	19164	420	105
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::3	SUMMARY_RAW_V1	AVAILABLE	19584	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::3	SUMMARY_CANONICAL_V1	AVAILABLE	19624	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::3	TRAJECTORY_RAW_U21_V1	AVAILABLE	19664	420	105
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::3	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	20084	420	105
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::4	SUMMARY_RAW_V1	AVAILABLE	20504	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::4	SUMMARY_CANONICAL_V1	AVAILABLE	20544	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::4	TRAJECTORY_RAW_U21_V1	AVAILABLE	20584	420	105
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::4	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	21004	420	105
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::5	SUMMARY_RAW_V1	AVAILABLE	21424	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::5	SUMMARY_CANONICAL_V1	AVAILABLE	21464	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::5	TRAJECTORY_RAW_U21_V1	AVAILABLE	21504	420	105
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::5	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	21924	420	105
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::6	SUMMARY_RAW_V1	AVAILABLE	22344	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::6	SUMMARY_CANONICAL_V1	AVAILABLE	22384	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::6	TRAJECTORY_RAW_U21_V1	AVAILABLE	22424	420	105
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::6	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	22844	420	105
