left_object_key	right_object_key	representation_id	distance_contract	comparison_mode	status	reason	distance	comparable_support_points	comparable_support_bars	comparable_support_seconds	observed_fraction_left	observed_fraction_right	left_censored	right_censored
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::3	RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598::EXPANSION::5	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0	2	37	11100	1	1	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::4	RG3_DE40_PERIOD_M5_1783900800_1784505600_9564959796063117251::EXPANSION::2	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0.00023201538902046793	2	191	64500	1	1	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::5	RG3_FRA40_PERIOD_M5_1768176000_1768780800_7648442211186610174::EXPANSION::7	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0.0012216870515223911	2	259	84900	1	1	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::6	RG3_US30_PERIOD_M5_1783900800_1784505600_318110170989838139::EXPANSION::10	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0.00028010754663965187	2	167	53400	1	1	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::7	RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795::EXPANSION::7	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0	2	25	14700	1	1	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::8	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::12	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0	1	164	49200	1	1	1	1
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::1	RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233::COMPRESSION::4	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0.010425225803183943	5	46	13800	1	1	0	0
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::10	RG3_US30_PERIOD_M5_1768176000_1768780800_14299449350608203917::COMPRESSION::9	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0.005784433186759003	7	19	5700	1	1	0	0
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::11	RG3_FRA40_PERIOD_M5_1771200000_1771804800_1968818525264721670::COMPRESSION::8	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0.04027807878308519	5	12	3600	1	1	0	0
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::12	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::8	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0.009651481542097554	5	41	12300	1	1	0	0
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::2	RG3_JPN225_PERIOD_M5_1774224000_1774828800_828979282129269557::COMPRESSION::7	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0.005620405238387072	3	39	16500	1	1	0	0
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::3	RG3_DE40_PERIOD_M5_1783900800_1784505600_9564959796063117251::COMPRESSION::8	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0	3	7	2100	1	1	0	0
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::4	RG3_FRA40_PERIOD_M5_1783900800_1784505600_9090742951363683789::COMPRESSION::4	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0.02286766460611439	5	22	6600	1	1	0	0
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::5	RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637::COMPRESSION::12	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0.01169246249178654	5	22	10800	1	1	0	0
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::6	RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755::COMPRESSION::3	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0	3	16	4800	1	1	0	0
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::7	RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252::COMPRESSION::2	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0.010156927886938585	7	26	7800	1	1	0	0
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::8	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::7	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0	3	14	4200	1	1	0	0
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::9	RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598::COMPRESSION::9	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0.001626074298418049	3	25	7800	1	1	0	0
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::1	RG3_US500_PERIOD_M5_1777852800_1778457600_15690359251172544486::EXPANSION::11	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0	2	151	48900	1	1	0	0
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::10	RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142::EXPANSION::13	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0	2	119	39300	1	1	0	0
