run_key	compression_id	bar_time	age_bars	state_code	open	high	low	close	atr	seed_top	seed_bottom	seed_mid	contain_top	contain_bottom	contain_mid	escape_count	frontier_direction	bars_since_frontier_cross
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785745800	20	2	63653.0000000000000000	63712.0000000000000000	63629.0000000000000000	63660.0000000000000000	141.6204700065480609	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	0	0	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785746100	21	2	63660.0000000000000000	63713.0000000000000000	63624.0000000000000000	63668.0000000000000000	141.5152290665349711	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	0	0	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785746400	22	2	63664.0000000000000000	63678.0000000000000000	63587.0000000000000000	63641.0000000000000000	141.4141986084019038	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	0	0	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785746700	23	2	63640.0000000000000000	63727.0000000000000000	63619.0000000000000000	63712.0000000000000000	141.3473702111851083	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	0	0	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785747000	24	2	63712.0000000000000000	63713.0000000000000000	63612.0000000000000000	63626.0000000000000000	141.2666754707627490	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	0	0	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785747300	25	2	63627.0000000000000000	63678.0000000000000000	63604.0000000000000000	63656.0000000000000000	141.1321421198212249	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	0	0	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785747600	26	2	63657.0000000000000000	63662.0000000000000000	63556.0000000000000000	63657.0000000000000000	141.0618778355815834	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	0	0	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785747900	27	2	63655.0000000000000000	63732.0000000000000000	63644.0000000000000000	63732.0000000000000000	140.9557540799104346	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	0	0	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785748200	28	2	63732.0000000000000000	63777.0000000000000000	63653.0000000000000000	63653.0000000000000000	140.9218425717506022	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	0	0	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785748500	29	2	63653.0000000000000000	63759.0000000000000000	63624.0000000000000000	63743.0000000000000000	140.9099988866070988	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	0	0	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785748800	30	2	63743.0000000000000000	63763.0000000000000000	63679.0000000000000000	63701.0000000000000000	140.7961788888338788	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	0	0	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785749100	31	2	63694.0000000000000000	63743.0000000000000000	63623.0000000000000000	63689.0000000000000000	140.7545865310562193	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	0	0	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785749400	32	2	63697.0000000000000000	63853.0000000000000000	63689.0000000000000000	63733.0000000000000000	140.8010773579941031	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	63853.0000000000000000	63537.3795299934499781	63695.1897649967286270	0	0	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785749700	33	2	63729.0000000000000000	63753.0000000000000000	63674.0000000000000000	63744.0000000000000000	140.6774752032781351	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	63853.0000000000000000	63537.3795299934499781	63695.1897649967286270	0	0	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785750000	34	2	63744.0000000000000000	63792.0000000000000000	63700.0000000000000000	63771.0000000000000000	140.5801202528715522	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	63853.0000000000000000	63537.3795299934499781	63695.1897649967286270	0	0	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785750300	35	2	63764.0000000000000000	63823.0000000000000000	63764.0000000000000000	63786.0000000000000000	140.4169600123657915	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	63853.0000000000000000	63537.3795299934499781	63695.1897649967286270	0	0	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785750600	36	2	63779.0000000000000000	63788.0000000000000000	63701.0000000000000000	63713.0000000000000000	140.3101260923410507	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	63853.0000000000000000	63537.3795299934499781	63695.1897649967286270	0	0	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785750900	37	2	63709.0000000000000000	63716.0000000000000000	63635.0000000000000000	63640.0000000000000000	140.1915058401563670	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	63853.0000000000000000	63537.3795299934499781	63695.1897649967286270	0	0	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785751200	38	2	63645.0000000000000000	63693.0000000000000000	63544.0000000000000000	63619.0000000000000000	140.2091228284760405	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	63853.0000000000000000	63537.3795299934499781	63695.1897649967286270	0	0	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785751500	39	2	63623.0000000000000000	63757.0000000000000000	63623.0000000000000000	63663.0000000000000000	140.2047045828190619	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	63853.0000000000000000	63537.3795299934499781	63695.1897649967286270	0	0	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785751800	40	2	63663.0000000000000000	63737.0000000000000000	63638.0000000000000000	63720.0000000000000000	140.1222951736534412	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	63853.0000000000000000	63537.3795299934499781	63695.1897649967286270	0	0	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785752100	41	2	63727.0000000000000000	63733.0000000000000000	63529.0000000000000000	63568.0000000000000000	140.2500505833061482	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	63853.0000000000000000	63529.0000000000000000	63691.0000000000000000	0	0	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785752400	42	2	63568.0000000000000000	63680.0000000000000000	63553.0000000000000000	63674.0000000000000000	140.2235504821395580	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	63853.0000000000000000	63529.0000000000000000	63691.0000000000000000	0	0	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785752700	43	2	63674.0000000000000000	63692.0000000000000000	63608.0000000000000000	63649.0000000000000000	140.1111033811752975	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	63853.0000000000000000	63529.0000000000000000	63691.0000000000000000	0	0	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785753000	44	2	63649.0000000000000000	63684.0000000000000000	63613.0000000000000000	63673.0000000000000000	139.9728811744129474	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	63853.0000000000000000	63529.0000000000000000	63691.0000000000000000	0	0	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785753300	45	2	63669.0000000000000000	63709.0000000000000000	63588.0000000000000000	63624.0000000000000000	139.9349354120641068	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	63853.0000000000000000	63529.0000000000000000	63691.0000000000000000	0	0	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785753600	46	2	63627.0000000000000000	63627.0000000000000000	63536.0000000000000000	63550.0000000000000000	139.8370655412399799	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	63853.0000000000000000	63529.0000000000000000	63691.0000000000000000	0	0	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785753900	47	2	63552.0000000000000000	63671.0000000000000000	63543.0000000000000000	63640.0000000000000000	139.8133914101574931	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	63853.0000000000000000	63529.0000000000000000	63691.0000000000000000	0	0	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785754200	48	2	63640.0000000000000000	63661.0000000000000000	63588.0000000000000000	63638.0000000000000000	139.6797646273371641	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	63853.0000000000000000	63529.0000000000000000	63691.0000000000000000	0	0	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785754500	49	2	63636.0000000000000000	63707.0000000000000000	63633.0000000000000000	63707.0000000000000000	139.5484050980824975	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	63853.0000000000000000	63529.0000000000000000	63691.0000000000000000	0	0	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785754800	50	4	63698.0000000000000000	63735.0000000000000000	63293.0000000000000000	63313.0000000000000000	140.1533082878863184	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	63853.0000000000000000	63293.0000000000000000	63573.0000000000000000	1	-1	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785755100	51	4	63317.0000000000000000	63427.0000000000000000	63269.0000000000000000	63383.0000000000000000	140.1890016713105354	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	63853.0000000000000000	63269.0000000000000000	63561.0000000000000000	1	-1	1
