run_key	expansion_id	bar_time	age_bars	open	high	low	close	state_code	origin_atr	origin_terminal_price	raw_displacement	raw_max_displacement	raw_opposite_displacement	raw_return_depth	raw_close_path_length	raw_velocity_per_bar	raw_acceleration_per_bar2
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785756600	0	63276.0000000000000000	63322.0000000000000000	63228.0000000000000000	63262.0000000000000000	1	139.8755118303115808	63262.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785756900	1	63261.0000000000000000	63362.0000000000000000	63218.0000000000000000	63351.0000000000000000	1	139.8755118303115808	63262.0000000000000000	-89.0000000000000000	0.0000000000000000	89.0000000000000000	89.0000000000000000	89.0000000000000000	-89.0000000000000000	-89.0000000000000000
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785757200	2	63351.0000000000000000	63382.0000000000000000	63288.0000000000000000	63320.0000000000000000	1	139.8755118303115808	63262.0000000000000000	-58.0000000000000000	0.0000000000000000	89.0000000000000000	58.0000000000000000	120.0000000000000000	31.0000000000000000	120.0000000000000000
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785757500	3	63320.0000000000000000	63368.0000000000000000	63288.0000000000000000	63342.0000000000000000	1	139.8755118303115808	63262.0000000000000000	-80.0000000000000000	0.0000000000000000	89.0000000000000000	80.0000000000000000	142.0000000000000000	-22.0000000000000000	-53.0000000000000000
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785757800	4	63341.0000000000000000	63361.0000000000000000	63322.0000000000000000	63352.0000000000000000	1	139.8755118303115808	63262.0000000000000000	-90.0000000000000000	0.0000000000000000	90.0000000000000000	90.0000000000000000	152.0000000000000000	-10.0000000000000000	12.0000000000000000
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785758100	5	63351.0000000000000000	63462.0000000000000000	63351.0000000000000000	63458.0000000000000000	1	139.8755118303115808	63262.0000000000000000	-196.0000000000000000	0.0000000000000000	196.0000000000000000	196.0000000000000000	258.0000000000000000	-106.0000000000000000	-96.0000000000000000
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785758400	6	63457.0000000000000000	63478.0000000000000000	63353.0000000000000000	63360.0000000000000000	1	139.8755118303115808	63262.0000000000000000	-98.0000000000000000	0.0000000000000000	196.0000000000000000	98.0000000000000000	356.0000000000000000	98.0000000000000000	204.0000000000000000
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785758700	7	63364.0000000000000000	63422.0000000000000000	63351.0000000000000000	63356.0000000000000000	1	139.8755118303115808	63262.0000000000000000	-94.0000000000000000	0.0000000000000000	196.0000000000000000	94.0000000000000000	360.0000000000000000	4.0000000000000000	-94.0000000000000000
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785759000	8	63357.0000000000000000	63376.0000000000000000	63227.0000000000000000	63267.0000000000000000	1	139.8755118303115808	63262.0000000000000000	-5.0000000000000000	0.0000000000000000	196.0000000000000000	5.0000000000000000	449.0000000000000000	89.0000000000000000	85.0000000000000000
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785759300	9	63267.0000000000000000	63297.0000000000000000	63241.0000000000000000	63283.0000000000000000	1	139.8755118303115808	63262.0000000000000000	-21.0000000000000000	0.0000000000000000	196.0000000000000000	21.0000000000000000	465.0000000000000000	-16.0000000000000000	-105.0000000000000000
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785759600	10	63281.0000000000000000	63302.0000000000000000	63196.0000000000000000	63198.0000000000000000	1	139.8755118303115808	63262.0000000000000000	64.0000000000000000	64.0000000000000000	196.0000000000000000	0.0000000000000000	550.0000000000000000	85.0000000000000000	101.0000000000000000
