run_key	compression_id	start_time	confirm_time	terminal_time	terminal_reason_code	terminal_reason	direction	escape_count	sample_count	seed_top	seed_bottom	seed_mid	terminal_contain_top	terminal_contain_bottom	terminal_contain_mid
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1785740100	1785745800	1785756600	2	CLOSED_DOWN	-1	1	37	63820.6204700065500220	63537.3795299934499781	63679.0000000000000000	63853.0000000000000000	63228.0000000000000000	63540.5000000000000000
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	2	1785768600	1785774300	1785779400	1	CLOSED_UP	1	2	18	62706.4901994893662050	62438.4098005106279743	62572.4499999999970896	63208.0000000000000000	62062.0000000000000000	62635.0000000000000000
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	3	1785781800	1785787500	1785792300	1	CLOSED_UP	1	1	17	63254.7275654257900897	62989.1724345742040896	63121.9499999999970896	63397.0000000000000000	62989.1724345742040896	63193.0862172870984068
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	4	1785796800	1785806400	1785813000	1	CLOSED_UP	1	1	22	63580.6901561547711026	63331.6098438452318078	63456.1500000000014552	64267.0000000000000000	63331.6098438452318078	63799.3049219226159039
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	5	1785819600	1785825300	1785833400	1	CLOSED_UP	1	4	28	63537.0371893201154307	63280.0628106798903900	63408.5500000000029104	63972.0000000000000000	63280.0628106798903900	63626.0314053399488330
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	6	1785837000	1785842700	1785845100	2	CLOSED_DOWN	-1	1	9	64124.7126633350126213	63872.7873366649873788	63998.7500000000000000	64124.7126633350126213	63683.0000000000000000	63903.8563316675063107
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	7	1785874200	1785879900	1785895200	1	CLOSED_UP	1	4	34	65489.2405053131951718	65258.7594946868048283	65374.0000000000000000	65699.0000000000000000	65258.7594946868048283	65478.8797473434024142
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	8	1785915000	1785920700	1785927300	2	CLOSED_DOWN	-1	2	23	66292.7093296122038737	66071.1906703877903056	66181.9499999999970896	66313.0000000000000000	65993.0000000000000000	66153.0000000000000000
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	9	1785952200	1785957900	1785972300	2	CLOSED_DOWN	-1	1	49	66046.4720589358184953	65832.7279410641931464	65939.6000000000058208	66046.4720589358184953	65603.0000000000000000	65824.7360294679092477
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	10	1786015200	1786020900	1786026600	2	CLOSED_DOWN	-1	1	20	65666.4015113635250600	65463.6984886364807608	65565.0500000000029104	65677.0000000000000000	65300.0000000000000000	65488.5000000000000000
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	11	1786042200	1786047900	1786056000	2	CLOSED_DOWN	-1	3	28	65973.0122553760738811	65770.8877446239202982	65871.9499999999970896	65973.0122553760738811	65557.0000000000000000	65765.0061276880442165
