range_object_id	session_id	k	configured_start	configured_end	instrument_inclusive_end_bar	actual_start_bar	actual_end_bar	freeze_commit_time	high	low	midpoint	width	source_coverage	instrument_authority
OBSOPEN_US30_20240102:R01	OBSOPEN_US30_20240102	1	1704213000	1704213060	1704213000	1704213000	1704213000	1704213060	37557.800000000003	37485.800000000003	37521.800000000003	72.000000000000	COMPLETE	5930c7d4f5b2de4549bfedacbd2c3b9df7da78f68c7d765b9c0669d08a17490f
OBSOPEN_US30_20240102:R02	OBSOPEN_US30_20240102	2	1704213000	1704213120	1704213060	1704213000	1704213060	1704213120	37570.800000000003	37485.800000000003	37528.300000000003	85.000000000000	COMPLETE	5930c7d4f5b2de4549bfedacbd2c3b9df7da78f68c7d765b9c0669d08a17490f
OBSOPEN_US30_20240102:R03	OBSOPEN_US30_20240102	3	1704213000	1704213180	1704213120	1704213000	1704213120	1704213180	37600.800000000003	37485.800000000003	37543.300000000003	115.000000000000	COMPLETE	5930c7d4f5b2de4549bfedacbd2c3b9df7da78f68c7d765b9c0669d08a17490f
OBSOPEN_US30_20240102:R04	OBSOPEN_US30_20240102	4	1704213000	1704213240	1704213180	1704213000	1704213180	1704213240	37623.800000000003	37485.800000000003	37554.800000000003	138.000000000000	COMPLETE	5930c7d4f5b2de4549bfedacbd2c3b9df7da78f68c7d765b9c0669d08a17490f
OBSOPEN_US30_20240102:R05	OBSOPEN_US30_20240102	5	1704213000	1704213300	1704213240	1704213000	1704213240	1704213300	37631.800000000003	37485.800000000003	37558.800000000003	146.000000000000	COMPLETE	5930c7d4f5b2de4549bfedacbd2c3b9df7da78f68c7d765b9c0669d08a17490f
OBSOPEN_US30_20240102:R06	OBSOPEN_US30_20240102	6	1704213000	1704213360	1704213300	1704213000	1704213300	1704213360	37631.800000000003	37485.800000000003	37558.800000000003	146.000000000000	COMPLETE	5930c7d4f5b2de4549bfedacbd2c3b9df7da78f68c7d765b9c0669d08a17490f
OBSOPEN_US30_20240102:R07	OBSOPEN_US30_20240102	7	1704213000	1704213420	1704213360	1704213000	1704213360	1704213420	37631.800000000003	37485.800000000003	37558.800000000003	146.000000000000	COMPLETE	5930c7d4f5b2de4549bfedacbd2c3b9df7da78f68c7d765b9c0669d08a17490f
OBSOPEN_US30_20240102:R08	OBSOPEN_US30_20240102	8	1704213000	1704213480	1704213420	1704213000	1704213420	1704213480	37631.800000000003	37485.800000000003	37558.800000000003	146.000000000000	COMPLETE	5930c7d4f5b2de4549bfedacbd2c3b9df7da78f68c7d765b9c0669d08a17490f
OBSOPEN_US30_20240102:R09	OBSOPEN_US30_20240102	9	1704213000	1704213540	1704213480	1704213000	1704213480	1704213540	37631.800000000003	37485.800000000003	37558.800000000003	146.000000000000	COMPLETE	5930c7d4f5b2de4549bfedacbd2c3b9df7da78f68c7d765b9c0669d08a17490f
OBSOPEN_US30_20240102:R10	OBSOPEN_US30_20240102	10	1704213000	1704213600	1704213540	1704213000	1704213540	1704213600	37631.800000000003	37485.800000000003	37558.800000000003	146.000000000000	COMPLETE	5930c7d4f5b2de4549bfedacbd2c3b9df7da78f68c7d765b9c0669d08a17490f
