session_id	source_row_id	bar_open	bar_close	open	high	low	close	coverage	active_upper_candidate_id	active_lower_candidate_id	new_upper_candidate	new_lower_candidate	upper_candidate_age_bars	lower_candidate_age_bars	committed_upper_extreme	committed_lower_extreme	grammar_state	grammar_event	grammar_availability
OBSOPEN_US30_20240102	RAW125B:M1:1704213000	1704213000	1704213060	37485.800000000003	37557.800000000003	37485.800000000003	37531.800000000003	COMPLETE	OBSOPEN_US30_20240102:U:0001	OBSOPEN_US30_20240102:L:0001	true	true	0	0	37557.800000000003	37485.800000000003	NA	NA	NOT_EVALUABLE_OBSERVER_STREAM_ABSENT
OBSOPEN_US30_20240102	RAW125B:M1:1704213060	1704213060	1704213120	37530.800000000003	37570.800000000003	37512.800000000003	37570.800000000003	COMPLETE	OBSOPEN_US30_20240102:U:0002	OBSOPEN_US30_20240102:L:0001	true	false	0	1	37570.800000000003	37485.800000000003	NA	NA	NOT_EVALUABLE_OBSERVER_STREAM_ABSENT
OBSOPEN_US30_20240102	RAW125B:M1:1704213120	1704213120	1704213180	37570.300000000003	37600.800000000003	37565.300000000003	37591.800000000003	COMPLETE	OBSOPEN_US30_20240102:U:0003	OBSOPEN_US30_20240102:L:0001	true	false	0	2	37600.800000000003	37485.800000000003	NA	NA	NOT_EVALUABLE_OBSERVER_STREAM_ABSENT
OBSOPEN_US30_20240102	RAW125B:M1:1704213180	1704213180	1704213240	37590.800000000003	37623.800000000003	37586.800000000003	37616.300000000003	COMPLETE	OBSOPEN_US30_20240102:U:0004	OBSOPEN_US30_20240102:L:0001	true	false	0	3	37623.800000000003	37485.800000000003	NA	NA	NOT_EVALUABLE_OBSERVER_STREAM_ABSENT
OBSOPEN_US30_20240102	RAW125B:M1:1704213240	1704213240	1704213300	37616.800000000003	37631.800000000003	37611.800000000003	37625.800000000003	COMPLETE	OBSOPEN_US30_20240102:U:0005	OBSOPEN_US30_20240102:L:0001	true	false	0	4	37631.800000000003	37485.800000000003	NA	NA	NOT_EVALUABLE_OBSERVER_STREAM_ABSENT
OBSOPEN_US30_20240102	RAW125B:M1:1704213300	1704213300	1704213360	37622.800000000003	37625.300000000003	37591.800000000003	37599.800000000003	COMPLETE	OBSOPEN_US30_20240102:U:0005	OBSOPEN_US30_20240102:L:0001	false	false	1	5	37631.800000000003	37485.800000000003	NA	NA	NOT_EVALUABLE_OBSERVER_STREAM_ABSENT
OBSOPEN_US30_20240102	RAW125B:M1:1704213360	1704213360	1704213420	37598.300000000003	37620.800000000003	37593.300000000003	37618.800000000003	COMPLETE	OBSOPEN_US30_20240102:U:0005	OBSOPEN_US30_20240102:L:0001	false	false	2	6	37631.800000000003	37485.800000000003	NA	NA	NOT_EVALUABLE_OBSERVER_STREAM_ABSENT
OBSOPEN_US30_20240102	RAW125B:M1:1704213420	1704213420	1704213480	37617.300000000003	37628.300000000003	37596.800000000003	37598.300000000003	COMPLETE	OBSOPEN_US30_20240102:U:0005	OBSOPEN_US30_20240102:L:0001	false	false	3	7	37631.800000000003	37485.800000000003	NA	NA	NOT_EVALUABLE_OBSERVER_STREAM_ABSENT
OBSOPEN_US30_20240102	RAW125B:M1:1704213480	1704213480	1704213540	37597.800000000003	37598.800000000003	37574.300000000003	37579.300000000003	COMPLETE	OBSOPEN_US30_20240102:U:0005	OBSOPEN_US30_20240102:L:0001	false	false	4	8	37631.800000000003	37485.800000000003	NA	NA	NOT_EVALUABLE_OBSERVER_STREAM_ABSENT
OBSOPEN_US30_20240102	RAW125B:M1:1704213540	1704213540	1704213600	37578.300000000003	37582.800000000003	37557.599999999999	37567.599999999999	COMPLETE	OBSOPEN_US30_20240102:U:0005	OBSOPEN_US30_20240102:L:0001	false	false	5	9	37631.800000000003	37485.800000000003	NA	NA	NOT_EVALUABLE_OBSERVER_STREAM_ABSENT
OBSOPEN_US30_20240102	RAW125B:M1:1704213600	1704213600	1704213660	37572.099999999999	37596.099999999999	37572.099999999999	37579.599999999999	COMPLETE	OBSOPEN_US30_20240102:U:0005	OBSOPEN_US30_20240102:L:0001	false	false	6	10	37631.800000000003	37485.800000000003	NA	NA	NOT_EVALUABLE_OBSERVER_STREAM_ABSENT
OBSOPEN_US30_20240102	RAW125B:M1:1704213660	1704213660	1704213720	37579.099999999999	37593.599999999999	37571.599999999999	37593.099999999999	COMPLETE	OBSOPEN_US30_20240102:U:0005	OBSOPEN_US30_20240102:L:0001	false	false	7	11	37631.800000000003	37485.800000000003	NA	NA	NOT_EVALUABLE_OBSERVER_STREAM_ABSENT
OBSOPEN_US30_20240102	RAW125B:M1:1704213720	1704213720	1704213780	37593.099999999999	37613.099999999999	37591.099999999999	37602.099999999999	COMPLETE	OBSOPEN_US30_20240102:U:0005	OBSOPEN_US30_20240102:L:0001	false	false	8	12	37631.800000000003	37485.800000000003	NA	NA	NOT_EVALUABLE_OBSERVER_STREAM_ABSENT
OBSOPEN_US30_20240102	RAW125B:M1:1704213780	1704213780	1704213840	37603.099999999999	37615.099999999999	37601.599999999999	37602.599999999999	COMPLETE	OBSOPEN_US30_20240102:U:0005	OBSOPEN_US30_20240102:L:0001	false	false	9	13	37631.800000000003	37485.800000000003	NA	NA	NOT_EVALUABLE_OBSERVER_STREAM_ABSENT
OBSOPEN_US30_20240102	RAW125B:M1:1704213840	1704213840	1704213900	37602.599999999999	37608.099999999999	37592.599999999999	37595.599999999999	COMPLETE	OBSOPEN_US30_20240102:U:0005	OBSOPEN_US30_20240102:L:0001	false	false	10	14	37631.800000000003	37485.800000000003	NA	NA	NOT_EVALUABLE_OBSERVER_STREAM_ABSENT
OBSOPEN_US30_20240102	RAW125B:M1:1704213900	1704213900	1704213960	37596.599999999999	37616.599999999999	37596.599999999999	37613.599999999999	COMPLETE	OBSOPEN_US30_20240102:U:0005	OBSOPEN_US30_20240102:L:0001	false	false	11	15	37631.800000000003	37485.800000000003	NA	NA	NOT_EVALUABLE_OBSERVER_STREAM_ABSENT
OBSOPEN_US30_20240102	RAW125B:M1:1704213960	1704213960	1704214020	37614.599999999999	37631.599999999999	37611.099999999999	37611.099999999999	COMPLETE	OBSOPEN_US30_20240102:U:0005	OBSOPEN_US30_20240102:L:0001	false	false	12	16	37631.800000000003	37485.800000000003	NA	NA	NOT_EVALUABLE_OBSERVER_STREAM_ABSENT
OBSOPEN_US30_20240102	RAW125B:M1:1704214020	1704214020	1704214080	37610.599999999999	37619.599999999999	37600.099999999999	37610.599999999999	COMPLETE	OBSOPEN_US30_20240102:U:0005	OBSOPEN_US30_20240102:L:0001	false	false	13	17	37631.800000000003	37485.800000000003	NA	NA	NOT_EVALUABLE_OBSERVER_STREAM_ABSENT
OBSOPEN_US30_20240102	RAW125B:M1:1704214080	1704214080	1704214140	37608.099999999999	37608.099999999999	37590.599999999999	37598.599999999999	COMPLETE	OBSOPEN_US30_20240102:U:0005	OBSOPEN_US30_20240102:L:0001	false	false	14	18	37631.800000000003	37485.800000000003	NA	NA	NOT_EVALUABLE_OBSERVER_STREAM_ABSENT
OBSOPEN_US30_20240102	RAW125B:M1:1704214140	1704214140	1704214200	37598.099999999999	37618.699999999997	37596.599999999999	37607.199999999997	COMPLETE	OBSOPEN_US30_20240102:U:0005	OBSOPEN_US30_20240102:L:0001	false	false	15	19	37631.800000000003	37485.800000000003	NA	NA	NOT_EVALUABLE_OBSERVER_STREAM_ABSENT
OBSOPEN_US30_20240102	RAW125B:M1:1704214200	1704214200	1704214260	37607.699999999997	37633.199999999997	37605.199999999997	37629.199999999997	COMPLETE	OBSOPEN_US30_20240102:U:0006	OBSOPEN_US30_20240102:L:0001	true	false	0	20	37633.199999999997	37485.800000000003	NA	NA	NOT_EVALUABLE_OBSERVER_STREAM_ABSENT
OBSOPEN_US30_20240102	RAW125B:M1:1704214260	1704214260	1704214320	37628.199999999997	37632.199999999997	37619.699999999997	37624.699999999997	COMPLETE	OBSOPEN_US30_20240102:U:0006	OBSOPEN_US30_20240102:L:0001	false	false	1	21	37633.199999999997	37485.800000000003	NA	NA	NOT_EVALUABLE_OBSERVER_STREAM_ABSENT
