run_key	invocation_id	window_id	instrument	symbol	data_source_id	data_fingerprint	window_start	window_end	config_hash	events	attempts	episodes	transits	canonical_dataset_hash	sealed_payload_sha256	status
RG2_DE40_PERIOD_M5_1765756800_1766181300_3308521111094945957	RG2_DE40_PERIOD_M5_1765756800_1766181300_3308521111094945957_I1765756800_4780056707661219133	DE40_20251215_PROLONGED_BALANCE	DE40	DE40	METAQUOTES_DEMO	DE40_20251215_M5_RG2_CAMPAIGN_V3	1765756800	1766181300	4284550518493202411	2596	508	77	43	4cdfffe50b84c2ea719c270348ca37d5430d1f2929c3b3512420ed914c2af6c8	f910a68f06c88d207f32f461b7ecb89bc4e53d7d63e51ab4cc44b514d7a1532f	ADMITTED_SEALED
RG2_DE40_PERIOD_M5_1769990400_1770414900_2017222542755637715	RG2_DE40_PERIOD_M5_1769990400_1770414900_2017222542755637715_I1769990400_8396962631843174347	DE40_20260202_ORDINARY	DE40	DE40	METAQUOTES_DEMO	DE40_20260202_M5_RG2_CAMPAIGN_V3	1769990400	1770414900	4284550518493202411	2221	448	100	33	33a914e813ee47fc6a64e74b20ec93070e27273d6682449626c5d694601ea399	773e457ab4825327ab4d1995fc862e0fabca1434ad0e9fce6a12b4a8ea8d0bef	ADMITTED_SEALED
RG2_DE40_PERIOD_M5_1776038400_1776462900_3312069574877448041	RG2_DE40_PERIOD_M5_1776038400_1776462900_3312069574877448041_I1776038400_358673876995224712	DE40_20260413_DIRECTIONAL_EXPANSION_UP	DE40	DE40	METAQUOTES_DEMO	DE40_20260413_M5_RG2_CAMPAIGN_V3	1776038400	1776462900	4284550518493202411	1368	274	38	17	8ed1c118efcd49f98e9b5a9a05f9f4ac8fad015553f5814dabea89d61deea1be	3c634c0092da9bc886e9058feafcf8cf4d837657ea5b1c982a47386fef59a9c6	ADMITTED_SEALED
RG2_FRA40_PERIOD_M5_1764547200_1764978900_5546118285371728057	RG2_FRA40_PERIOD_M5_1764547200_1764978900_5546118285371728057_I1764547200_10351984854296394331	FRA40_20251201_PROLONGED_BALANCE	FRA40	FRA40	METAQUOTES_DEMO	FRA40_20251201_M5_RG2_CAMPAIGN_V3	1764547200	1764978900	4284550518493202411	3334	636	86	77	7dce75dd5e1b4c81951efb2b6c3fe9308814a6c98577757eb4bcc3a145503cca	f2c5d9a2284b98407494c684bffb9ee085ae7e549f6a38770ec9f55690f2cb11	ADMITTED_SEALED
RG2_FRA40_PERIOD_M5_1772409600_1772841300_6520811157212810975	RG2_FRA40_PERIOD_M5_1772409600_1772841300_6520811157212810975_I1772409600_2445632796393747639	FRA40_20260302_DIRECTIONAL_EXPANSION_DOWN	FRA40	FRA40	METAQUOTES_DEMO	FRA40_20260302_M5_RG2_CAMPAIGN_V3	1772409600	1772841300	4284550518493202411	1777	355	78	30	6654528932cb22a28018f6b9e6546cc1c4dcbff8d42ff7a6c4f804a41ad92669	6855936c89173db85ecde026ce3e4fa0686a3aa6ff6bacfe164db4caa296e53f	ADMITTED_SEALED
RG2_FRA40_PERIOD_M5_1777248000_1777589700_9554760657515700142	RG2_FRA40_PERIOD_M5_1777248000_1777589700_9554760657515700142_I1777248000_5770006631441892493	FRA40_20260427_EVENT_HEAVY	FRA40	FRA40	METAQUOTES_DEMO	FRA40_20260427_M5_RG2_CAMPAIGN_V3	1777248000	1777589700	4284550518493202411	965	200	57	8	0edfbd5ff1d4353ea148bce07e56f63558d28720637389a250ea683b485e5abc	6e3d85767b710eaa050ff1b61502354e849720d68c4ecb49069ad26c796943eb	ADMITTED_SEALED
RG2_JPN225_PERIOD_M5_1764547200_1764978900_13582613236484951	RG2_JPN225_PERIOD_M5_1764547200_1764978900_13582613236484951_I1764547200_14446123889015261558	JPN225_20251201_LOW_VOLATILITY	JPN225	JPN225	METAQUOTES_DEMO	JPN225_20251201_M5_RG2_CAMPAIGN_V3	1764547200	1764978900	4284550518493202411	1573	309	61	31	1ee6e5af68dc79773dbabdb1708ec782fa2b0aa0e8ef8341c3b566549d6d23d0	b92c9b5ddd96e732e46623fb8a01243fcdc664920b7b51474d4318306b4e3cc7	ADMITTED_SEALED
RG2_JPN225_PERIOD_M5_1766966400_1767398100_17845446579741474672	RG2_JPN225_PERIOD_M5_1766966400_1767398100_17845446579741474672_I1766966400_12435980598999750367	JPN225_20251229_QUIET	JPN225	JPN225	METAQUOTES_DEMO	JPN225_20251229_M5_RG2_CAMPAIGN_V3	1766966400	1767398100	4284550518493202411	2100	412	86	40	6d6b7aaf132657eba7cd20fa46f24e024b2cdf742fb044f90492fa31f2bfc263	f5ed53d81b1a652c6574c22e423946d4f7b8d120d831b9fe2a21e24bf1b33293	ADMITTED_SEALED
RG2_JPN225_PERIOD_M5_1773619200_1774047300_3195075028303676313	RG2_JPN225_PERIOD_M5_1773619200_1774047300_3195075028303676313_I1773619200_604940214337385776	JPN225_20260316_SHARP_REVERSAL	JPN225	JPN225	METAQUOTES_DEMO	JPN225_20260316_M5_RG2_CAMPAIGN_V3	1773619200	1774047300	4284550518493202411	1554	313	66	25	381360514868216a9d8f184b07be7b14044744446728add58a496939bab20e53	eebef5c5e4de69d86e5892eb7e4cc4d4400db4de1422dc92cfdd30e5e828618e	ADMITTED_SEALED
RG2_JPN225_PERIOD_M5_1783900800_1784332500_15138704202311374725	RG2_JPN225_PERIOD_M5_1783900800_1784332500_15138704202311374725_I1783900800_14814472736450214318	JPN225_20260713_DIRECTIONAL_EXPANSION_DOWN	JPN225	JPN225	METAQUOTES_DEMO	JPN225_20260713_M5_RG2_CAMPAIGN_V3	1783900800	1784332500	4284550518493202411	2207	445	82	30	7f2593a7d9ee6636ed76d8a7e2fb89bffa242aa3a27cda22de96d84f29e029af	0a067acb802af1a749edeba724e06c47f77f7a436ff78dfbbabd8bbb1c19316a	ADMITTED_SEALED
RG2_US30_PERIOD_M5_1765756800_1766184900_14597027152545731016	RG2_US30_PERIOD_M5_1765756800_1766184900_14597027152545731016_I1765756800_2005171585885983666	US30_20251215_EVENT_HEAVY	US30	US30	METAQUOTES_DEMO	US30_20251215_M5_RG2_CAMPAIGN_V3	1765756800	1766184900	4284550518493202411	1770	357	73	27	d647fda0ca45bdd58d4ce208f609946ae06d3c57113d63074cdcf417abf174dd	f17cbd750686b3a5bfcdb4f9b443757fde2136eff02c387974f14ce6b6621ba4	ADMITTED_SEALED
