path	window_id	attempt_tag	reason	status	deletion_performed
furnace\quarantine\20260812T050534490Z__SELFTEST_WINDOW__SELFTEST_A1	SELFTEST_WINDOW	SELFTEST_A1	intentional quarantine plumbing proof	QUARANTINED	False
furnace\quarantine\20260812T050713870Z__FRA40_20260427_EVENT_HEAVY__F2_FRA40_20260427_EVT_A01	FRA40_20260427_EVENT_HEAVY	F2_FRA40_20260427_EVT_A01	"Exception calling ""Open"" with ""4"" argument(s): ""The process cannot access the file 'C:\Users\shuga\AppData\Roaming\MetaQuotes\Terminal\Common\Files\MasterAuction_FRA40_PERIOD_M5_F2_FRA40_20260427_EVT_A01_RG2_v7_runs.tsv' because it is being used by another process."""	QUARANTINED	False
furnace\quarantine\20260812T050719571Z__JPN225_20260316_SHARP_REVERSAL__F2_JPN225_20260316_REV_A01	JPN225_20260316_SHARP_REVERSAL	F2_JPN225_20260316_REV_A01	"Exception calling ""Open"" with ""4"" argument(s): ""The process cannot access the file 'C:\Users\shuga\AppData\Roaming\MetaQuotes\Terminal\Common\Files\MasterAuction_JPN225_PERIOD_M5_F2_JPN225_20260316_REV_A01_RG2_v7_runs.tsv' because it is being used by another process."""	QUARANTINED	False
furnace\quarantine\20260812T050725735Z__US30_20260427_ORDINARY__F2_US30_20260427_ORD_A01	US30_20260427_ORDINARY	F2_US30_20260427_ORD_A01	"Exception calling ""Open"" with ""4"" argument(s): ""The process cannot access the file 'C:\Users\shuga\AppData\Roaming\MetaQuotes\Terminal\Common\Files\MasterAuction_US30_PERIOD_M5_F2_US30_20260427_ORD_A01_RG2_v7_runs.tsv' because it is being used by another process."""	QUARANTINED	False
furnace\quarantine\20260812T051100000Z__FRA40_20260427_EVENT_HEAVY__F2_FRA40_20260427_EVT_A02	FRA40_20260427_EVENT_HEAVY	F2_FRA40_20260427_EVT_A02	V2 deterministic cutoff unreachable on Friday market holiday; START-only receipt	QUARANTINED	False
furnace\quarantine\20260812T051937526Z__FRA40_20260427_EVENT_HEAVY__F2_FRA40_20260427_EVT_A03	FRA40_20260427_EVENT_HEAVY	F2_FRA40_20260427_EVT_A03	Sealer did not admit run: 	QUARANTINED	False
furnace\quarantine\20260812T052012032Z__JPN225_20260316_SHARP_REVERSAL__F2_JPN225_20260316_REV_A02	JPN225_20260316_SHARP_REVERSAL	F2_JPN225_20260316_REV_A02	Sealer did not admit run: 	QUARANTINED	False
furnace\quarantine\20260812T052052256Z__US30_20260427_ORDINARY__F2_US30_20260427_ORD_A02	US30_20260427_ORDINARY	F2_US30_20260427_ORD_A02	Sealer did not admit run: 	QUARANTINED	False
furnace\quarantine\20260812T054806762Z__USTEC_20260413_DIRECTIONAL_EXPANSION_UP__F2_USTEC_20260413_XUP_A02	USTEC_20260413_DIRECTIONAL_EXPANSION_UP	F2_USTEC_20260413_XUP_A02	"Exception setting ""IsReadOnly"": ""Could not find a part of the path 'MasterAuction_USTEC_PERIOD_M5_F2_USTEC_20260413_XUP_A02_RG2_v7_attempts.tsv'."""	QUARANTINED	False
