target	run_key	episode_id	attempt_id	canonical_instrument	holdout_id	target_censored	target_label	ordinal	direction	node_width_atr	initial_distance_atr	approach_efficiency	corridor_up_atr	corridor_down_atr	family_count	member_count	developing_count	frozen_count	node_revision	node_age_seconds	corridor_up_level_count	corridor_down_level_count	corridor_up_noise_count	corridor_down_noise_count	start_median_sigma	node_from_median_sigma	node_from_cog_sigma	node_width_sigma	feature_cog_distance_atr	feature_cog_velocity_atr	feature_c3_distance_atr	feature_c3_velocity_atr	feature_lattice_width_atr	feature_poc_distance_atr	feature_vah_distance_atr	feature_val_distance_atr	feature_spread_atr	feature_raw_level_count	feature_noise_level_count	feature_active_node_count	feature_population_count	feature_population_count_delta	feature_price_from_median_atr	feature_price_from_median_sigma	feature_price_from_cog_atr	feature_price_from_cog_sigma	feature_cog_median_gap_atr	feature_cog_median_gap_sigma	feature_regional_cog_velocity_atr	feature_regional_cog_velocity_sigma	feature_regional_median_velocity_atr	feature_regional_median_velocity_sigma	feature_regional_sigma_log_change_per_bar	contributor_count	eligibility_latency_seconds	server_hour_sin	server_hour_cos	canonical_instrument	start_region	node_region	contributor_families	contributor_producers
reclaim_given_break	RG2_DE40_PERIOD_M5_1774224000_1774656000_13588138698521504632	6895133105821828173	10365255032187779521	DE40	RECOVERY_A	False	0	8	-1	0.91578348	0.2071034	0.0704702	0.37955126	1.69701496	3	4	1	3	24	6929	0	2	0	2	-0.24443646	-0.18794719	-0.52698286	0.10857128	4.92150547	0.0	0.66499514	0.0	\N	2.08134765	4.09666406	-0.52670887	0.0059274	94	26	13	13	0	-2.06178723	-0.24443646	-4.92150547	-0.58347213	2.85971824	0.33903567	0.0	0.0	0.25743548	0.03123679	0.02700136	4	447	-0.7071067811865471	-0.7071067811865479	DE40	MEDIAN_CORE	MEDIAN_CORE	ADAPTIVE_VALUE|MID_PIVOT|PIVOT	VOLKITT|WAYNE
reclaim_given_break	RG2_DE40_PERIOD_M5_1774224000_1774656000_13588138698521504632	10439524006940468758	12581505467685231845	DE40	RECOVERY_A	False	1	1	-1	0.10130533	0.49437001	0.00687736	0.48755884	0.41405859	2	2	0	2	13	3630	0	0	0	0	-0.09208043	-0.0312341	-0.43149654	0.01130973	4.41009369	0.0	-0.41921008	0.0	\N	1.12591175	3.32445295	-1.71925922	0.0064663	94	28	12	12	0	-0.82479782	-0.09208043	-4.41009369	-0.49234287	3.58529587	0.40026244	0.0	0.0	0.0	0.0	0.0	2	5516	-0.4999999999999997	-0.8660254037844388	DE40	MEDIAN_CORE	MEDIAN_CORE	PIVOT|TPO_PROFILE	VOLKITT|WAYNE
reclaim_given_break	RG2_DE40_PERIOD_M5_1774224000_1774656000_13588138698521504632	6991825885337298713	12795077004010081230	DE40	RECOVERY_A	False	0	5	1	0.03827685	0.00765537	0.05436775	0.39668731	0.43728397	2	2	0	2	256	26318	0	0	0	0	0.00324671	0.0	-0.32354795	0.00463816	2.6433173	0.0	-1.39345118	0.0	\N	-0.00765537	1.96418215	-2.5594451	0.00579952	94	26	13	13	0	0.02679379	0.00324671	-2.6433173	-0.32030124	2.67011109	0.32354795	0.0	0.0	0.0	0.0	0.0	2	22	-0.8660254037844385	-0.5000000000000004	DE40	MEDIAN_CORE	MEDIAN_CORE	PIVOT|TPO_PROFILE	VOLKITT|WAYNE
reclaim_given_break	RG2_DE40_PERIOD_M5_1774224000_1774656000_13588138698521504632	6895133105821828173	755967490086492185	DE40	RECOVERY_A	False	0	10	-1	0.88453523	0.01763345	0.01839992	0.36660025	1.63910963	3	4	1	3	32	9399	0	3	0	3	-0.22205529	-0.18795371	-0.51150166	0.10857504	4.4449007	0.0	0.45990107	0.0	\N	1.82792498	3.774475	-0.69113976	0.00572515	94	26	13	13	0	-1.80903199	-0.22205529	-4.4449007	-0.54560324	2.63586871	0.32354795	0.0	0.0	0.0	0.0	0.0	4	589	-0.8660254037844385	-0.5000000000000004	DE40	MEDIAN_CORE	MEDIAN_CORE	ADAPTIVE_VALUE|MID_PIVOT|PIVOT	VOLKITT|WAYNE
reclaim_given_break	RG2_DE40_PERIOD_M5_1774224000_1774656000_13588138698521504632	10439524006940468758	5391202909763303714	DE40	RECOVERY_A	False	0	2	-1	0.08977106	0.36909278	0.03236862	0.43204712	0.36691535	2	2	0	2	33	9600	0	0	0	0	-0.11158282	-0.06081139	-0.38435935	0.01100977	3.54795446	0.0	-0.44047032	0.0	\N	0.92872941	2.87695252	-1.59250049	0.00573007	94	26	13	13	0	-0.90982019	-0.11158282	-3.54795446	-0.43513077	2.63813427	0.32354795	0.0	0.0	0.0	0.0	0.0	2	1058	-0.8660254037844385	-0.5000000000000004	DE40	MEDIAN_CORE	MEDIAN_CORE	PIVOT|TPO_PROFILE	VOLKITT|WAYNE
reclaim_given_break	RG2_DE40_PERIOD_M5_1774224000_1774656000_13588138698521504632	6991825885337298713	16016983504686391767	DE40	RECOVERY_A	False	0	7	1	0.03694002	0.00671637	0.03407984	0.38283296	0.42201178	2	2	0	2	262	28059	0	0	0	0	0.00316238	0.0	-0.32354795	0.00463816	2.55167078	0.0	-1.3441131	0.0	\N	-0.00671637	1.89625451	-2.46938456	0.00559697	94	26	13	13	0	0.02518638	0.00316238	-2.55167078	-0.32038557	2.57685716	0.32354795	0.0	0.0	0.0	0.0	0.0	2	48	-0.8660254037844385	-0.5000000000000004	DE40	MEDIAN_CORE	MEDIAN_CORE	PIVOT|TPO_PROFILE	VOLKITT|WAYNE
reclaim_given_break	RG2_DE40_PERIOD_M5_1774224000_1774656000_13588138698521504632	6672543102201396922	11551205964687339208	DE40	RECOVERY_A	False	0	2	-1	0.08196658	0.49353933	0.02181027	0.88114073	0.39668731	2	2	0	2	36	10710	1	0	1	0	-0.00941686	0.05535336	-0.26819459	0.00993222	2.74782469	0.0	-1.28894379	0.0	\N	0.09685202	2.06868954	-2.45493771	0.00579952	94	26	13	13	0	-0.0777136	-0.00941686	-2.74782469	-0.33296482	2.67011109	0.32354795	0.0	0.0	0.0	0.0	0.0	2	2348	-0.8660254037844385	-0.5000000000000004	DE40	MEDIAN_CORE	MEDIAN_CORE	MID_PIVOT|PIVOT	WAYNE
reclaim_given_break	RG2_DE40_PERIOD_M5_1774224000_1774656000_13588138698521504632	6991825885337298713	10140708745612554356	DE40	RECOVERY_A	False	1	10	1	0.03673851	0.21664589	0.02392657	0.38074457	0.41970965	2	2	0	2	264	28647	0	0	0	0	-0.02460637	-0.05303251	-0.30284143	0.00444369	2.26874768	-0.0590373	\N	\N	\N	-0.21664589	1.67594407	-2.66587994	0.00556644	93	27	13	13	0	-0.20343487	-0.02460637	-2.26874768	-0.27441528	2.06531281	0.24980892	-0.05914924	-0.00740702	0.21964069	0.02750473	0.03659996	2	1128	-0.9659258262890683	-0.25881904510252063	DE40	MEDIAN_CORE	MEDIAN_CORE	PIVOT|TPO_PROFILE	VOLKITT|WAYNE
reclaim_given_break	RG2_DE40_PERIOD_M5_1774224000_1774656000_13588138698521504632	6672543102201396922	4072775192781861845	DE40	RECOVERY_A	False	1	6	-1	0.07773769	0.20648156	0.22043762	0.83568013	0.37622107	2	2	0	2	48	14141	1	0	1	0	-0.03003305	0.0	-0.24980892	0.00951578	2.28612593	0.0	\N	\N	\N	-0.16973951	1.70036522	-2.58987503	0.00550031	93	27	13	13	0	-0.24535041	-0.03003305	-2.28612593	-0.27984197	2.04077552	0.24980892	0.0	0.0	0.0	0.0	0.0	2	113	-0.9659258262890683	-0.25881904510252063	DE40	MEDIAN_CORE	MEDIAN_CORE	MID_PIVOT|PIVOT	WAYNE
reclaim_given_break	RG2_DE40_PERIOD_M5_1774224000_1774656000_13588138698521504632	6991825885337298713	6432469348564528412	DE40	RECOVERY_A	False	0	11	1	0.03617231	0.49599912	0.41626882	0.37487669	0.41324126	2	2	0	2	269	30030	0	0	0	0	0.01012174	-0.05303251	-0.30284143	0.00444369	1.95109056	0.0	\N	\N	\N	-0.49599912	1.367423	-2.90748657	0.00548065	93	27	13	13	0	0.08239249	0.01012174	-1.95109056	-0.23968718	2.03348304	0.24980892	0.0	0.0	0.0	0.0	0.0	2	129	-0.9659258262890683	-0.25881904510252063	DE40	MEDIAN_CORE	MEDIAN_CORE	PIVOT|TPO_PROFILE	VOLKITT|WAYNE
