run_key	compression_id	start_time	confirm_time	terminal_time	terminal_reason_code	terminal_reason	direction	escape_count	sample_count	seed_top	seed_bottom	seed_mid	terminal_contain_top	terminal_contain_bottom	terminal_contain_mid
RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637	1	1771204200	1771209900	1771212600	1	CLOSED_UP	1	1	10	49558.3053367139946204	49484.0946632860432146	49521.2000000000189175	49581.3000000000029104	49484.0946632860432146	49532.6973316430230625
RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637	2	1771214400	1771220100	1771236000	1	CLOSED_UP	1	1	54	49613.0668826982364408	49542.0831173018013942	49577.5750000000189175	49641.5000000000000000	49542.0831173018013942	49591.7915586509043351
RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637	3	1771239300	1771245000	1771254600	2	CLOSED_DOWN	-1	2	33	49750.4611183929955587	49685.9388816069986206	49718.1999999999970896	49750.4611183929955587	49662.0000000000000000	49706.2305591964977794
RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637	4	1771266300	1771290000	1771292400	1	CLOSED_UP	1	1	9	49577.3535400741384365	49515.0164599258278031	49546.1849999999831198	49608.4000000000014552	49515.0164599258278031	49561.7082299629109912
RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637	5	1771300200	1771305900	1771308000	2	CLOSED_DOWN	-1	1	8	49410.9439143271229114	49350.0060856729178340	49380.4750000000203727	49410.9439143271229114	49314.4000000000014552	49362.6719571635621833
RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637	6	1771372200	1771381500	1771395600	1	CLOSED_UP	1	1	48	49546.2739721503385226	49476.0360278496300452	49511.1549999999842839	49568.5999999999985449	49476.0360278496300452	49522.3180139248142950
RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637	7	1771396500	1771402200	1771410600	1	CLOSED_UP	1	2	29	49617.1648319369414821	49552.8851680630177726	49585.0249999999796273	49699.0999999999985448	49552.8851680630177726	49625.9925840315117966
RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637	8	1771412400	1771418100	1771423200	2	CLOSED_DOWN	-1	1	18	49811.1971127072829404	49749.4028872926792247	49780.2999999999810825	49811.1971127072829404	49700.5999999999985449	49755.8985563536407426
RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637	9	1771455300	1771464600	1771492800	1	CLOSED_UP	1	4	95	49683.9777466895538964	49618.2422533104472677	49651.1100000000005821	49708.0999999999985448	49603.0999999999985448	49655.5999999999985449
RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637	10	1771503300	1771509000	1771512000	1	CLOSED_UP	1	1	11	49512.7699559672109900	49454.6800440327569959	49483.7249999999839929	49567.5999999999985449	49450.5999999999985449	49509.0999999999985448
RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637	11	1771540800	1771550100	1771556400	1	CLOSED_UP	1	2	22	49416.1662192244039034	49349.5637807756065741	49382.8650000000052387	49443.6999999999970897	49349.5637807756065741	49396.6318903877981939
RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637	12	1771557300	1771563000	1771573800	1	CLOSED_UP	1	2	37	49478.6562645377707668	49415.3937354621884879	49447.0249999999796273	49498.1999999999970896	49415.3937354621884879	49456.7968677310927888
