run_key	sequence	expansion_id	origin_compression_id	destination_compression_id	bar_time	event_code	state_code	terminal_reason_code
RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637	4	1	1	\N	1771212600	1	1	0
RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637	6	1	1	2	1771220100	3	2	4
RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637	9	2	2	\N	1771236000	1	1	0
RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637	11	2	2	3	1771245000	3	2	4
RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637	16	3	3	\N	1771254600	2	1	0
RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637	18	3	3	4	1771290000	3	2	4
RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637	21	4	4	\N	1771292400	1	1	0
RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637	23	4	4	5	1771305900	3	2	4
RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637	26	5	5	\N	1771308000	2	1	0
RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637	28	5	5	6	1771381500	3	2	4
RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637	31	6	6	\N	1771395600	1	1	0
RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637	33	6	6	7	1771402200	3	2	4
RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637	38	7	7	\N	1771410600	1	1	0
RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637	40	7	7	8	1771418100	3	2	4
RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637	43	8	8	\N	1771423200	2	1	0
RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637	45	8	8	9	1771464600	3	2	4
RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637	54	9	9	\N	1771492800	1	1	0
RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637	56	9	9	10	1771509000	3	2	4
RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637	59	10	10	\N	1771512000	1	1	0
RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637	61	10	10	11	1771550100	3	2	4
RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637	66	11	11	\N	1771556400	1	1	0
RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637	68	11	11	12	1771563000	3	2	4
RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637	73	12	12	\N	1771573800	1	1	0
