session_id	civil_date	source_clock_offset_regime	parent_discovery_session_ordinal	D_B_selected_ordinal	previous_D_B_parent_ordinal_gap	previous_D_B_calendar_day_gap
OBSOPEN_US30_20240506	2024-05-06	180	71	35	3	6
OBSOPEN_US30_20240507	2024-05-07	180	72	36	1	1
OBSOPEN_US30_20240514	2024-05-14	180	76	37	4	7
OBSOPEN_US30_20240515	2024-05-15	180	77	38	1	1
OBSOPEN_US30_20240520	2024-05-20	180	79	39	2	5
OBSOPEN_US30_20240528	2024-05-28	180	83	40	4	8
OBSOPEN_US30_20240529	2024-05-29	180	84	41	1	1
OBSOPEN_US30_20240603	2024-06-03	180	86	42	2	5
OBSOPEN_US30_20240604	2024-06-04	180	87	43	1	1
OBSOPEN_US30_20240605	2024-06-05	180	88	44	1	1
OBSOPEN_US30_20240618	2024-06-18	180	95	45	7	13
OBSOPEN_US30_20240624	2024-06-24	180	97	46	2	6
OBSOPEN_US30_20240626	2024-06-26	180	99	47	2	2
OBSOPEN_US30_20240627	2024-06-27	180	100	48	1	1
OBSOPEN_US30_20240708	2024-07-08	180	103	49	3	11
OBSOPEN_US30_20240709	2024-07-09	180	104	50	1	1
OBSOPEN_US30_20240710	2024-07-10	180	105	51	1	1
OBSOPEN_US30_20240715	2024-07-15	180	107	52	2	5
OBSOPEN_US30_20240718	2024-07-18	180	110	53	3	3
OBSOPEN_US30_20240723	2024-07-23	180	112	54	2	5
OBSOPEN_US30_20240729	2024-07-29	180	115	55	3	6
OBSOPEN_US30_20240805	2024-08-05	180	119	56	4	7
OBSOPEN_US30_20240812	2024-08-12	180	123	57	4	7
OBSOPEN_US30_20240820	2024-08-20	180	128	58	5	8
OBSOPEN_US30_20240827	2024-08-27	180	132	59	4	7
OBSOPEN_US30_20240903	2024-09-03	180	135	60	3	7
OBSOPEN_US30_20240904	2024-09-04	180	136	61	1	1
OBSOPEN_US30_20240911	2024-09-11	180	140	62	4	7
OBSOPEN_US30_20240912	2024-09-12	180	141	63	1	1
OBSOPEN_US30_20240918	2024-09-18	180	144	64	3	6
OBSOPEN_US30_20240930	2024-09-30	180	150	65	6	12
OBSOPEN_US30_20241002	2024-10-02	180	152	66	2	2
OBSOPEN_US30_20241007	2024-10-07	180	154	67	2	5
OBSOPEN_US30_20241008	2024-10-08	180	155	68	1	1
OBSOPEN_US30_20241010	2024-10-10	180	157	69	2	2
OBSOPEN_US30_20241015	2024-10-15	180	159	70	2	5
OBSOPEN_US30_20241016	2024-10-16	180	160	71	1	1
OBSOPEN_US30_20241017	2024-10-17	180	161	72	1	1
OBSOPEN_US30_20241023	2024-10-23	180	164	73	3	6
OBSOPEN_US30_20250102	2025-01-02	120	166	74	2	71
OBSOPEN_US30_20250106	2025-01-06	120	167	75	1	4
OBSOPEN_US30_20250107	2025-01-07	120	168	76	1	1
OBSOPEN_US30_20250108	2025-01-08	120	169	77	1	1
OBSOPEN_US30_20250114	2025-01-14	120	171	78	2	6
OBSOPEN_US30_20250115	2025-01-15	120	172	79	1	1
OBSOPEN_US30_20250129	2025-01-29	120	179	80	7	14
OBSOPEN_US30_20250210	2025-02-10	120	185	81	6	12
OBSOPEN_US30_20250212	2025-02-12	120	187	82	2	2
OBSOPEN_US30_20250227	2025-02-27	120	195	83	8	15
OBSOPEN_US30_20250303	2025-03-03	120	196	84	1	4
OBSOPEN_US30_20250312	2025-03-12	120	202	85	6	9
OBSOPEN_US30_20250317	2025-03-17	120	205	86	3	5
OBSOPEN_US30_20250328	2025-03-28	120	214	87	9	11
OBSOPEN_US30_20250409	2025-04-09	180	221	88	7	12
OBSOPEN_US30_20250415	2025-04-15	180	223	89	2	6
OBSOPEN_US30_20250422	2025-04-22	180	226	90	3	7
OBSOPEN_US30_20250423	2025-04-23	180	227	91	1	1
OBSOPEN_US30_20250424	2025-04-24	180	228	92	1	1
OBSOPEN_US30_20250505	2025-05-05	180	233	93	5	11
OBSOPEN_US30_20250512	2025-05-12	180	236	94	3	7
OBSOPEN_US30_20250520	2025-05-20	180	240	95	4	8
OBSOPEN_US30_20250528	2025-05-28	180	243	96	3	8
OBSOPEN_US30_20250605	2025-06-05	180	246	97	3	8
OBSOPEN_US30_20250609	2025-06-09	180	247	98	1	4
OBSOPEN_US30_20250611	2025-06-11	180	249	99	2	2
OBSOPEN_US30_20250617	2025-06-17	180	252	100	3	6
OBSOPEN_US30_20250623	2025-06-23	180	254	101	2	6
OBSOPEN_US30_20250624	2025-06-24	180	255	102	1	1
OBSOPEN_US30_20250625	2025-06-25	180	256	103	1	1
