run_key	compression_id	start_time	confirm_time	terminal_time	terminal_reason_code	terminal_reason	direction	escape_count	sample_count	seed_top	seed_bottom	seed_mid	terminal_contain_top	terminal_contain_bottom	terminal_contain_mid
RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	1	1781485500	1781491200	1781494800	1	CLOSED_UP	1	1	13	24961.5652912937694055	24905.8247087062227366	24933.6949999999960710	25085.7000000000007276	24905.8247087062227366	24995.7623543531117321
RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	2	1781495400	1781501100	1781519400	1	CLOSED_UP	1	5	62	25064.1176262600056362	25009.3323737400132814	25036.7250000000094588	25096.4000000000014552	24995.4000000000014552	25045.9000000000014552
RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	3	1781528100	1781533800	1781540100	1	CLOSED_UP	1	3	22	24975.8723733739934688	24923.8776266260210833	24949.8750000000072760	25000.0000000000000000	24923.8776266260210833	24961.9388133130123606
RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	4	1781549700	1781555400	1781558400	2	CLOSED_DOWN	-1	1	11	24929.9462159138311108	24879.9537840861485166	24904.9499999999898138	24929.9462159138311108	24857.5999999999985449	24893.7731079569130089
RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	5	1781559000	1781571900	1781574300	2	CLOSED_DOWN	-1	1	9	24875.3438886166768498	24827.1061113833056879	24851.2249999999912689	24875.3438886166768498	24794.0999999999985448	24834.7219443083376973
RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	6	1781579700	1781585400	1781598600	1	CLOSED_UP	1	2	45	24881.0839633708383190	24834.9660366291791434	24858.0250000000087312	24905.2000000000007276	24833.2000000000007276	24869.2000000000007276
RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	7	1781611800	1781617500	1781620200	2	CLOSED_DOWN	-1	1	10	25087.8725134136802808	25044.4774865863037122	25066.1749999999919965	25087.8725134136802808	24997.2999999999992724	25042.5862567068397766
RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	8	1781639700	1781645400	1781649300	2	CLOSED_DOWN	-1	1	14	24842.5997087996984192	24799.9002912003161328	24821.2500000000072760	24842.5997087996984192	24763.2000000000007276	24802.8998543998495734
RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	9	1781649900	1781662800	1781670900	1	CLOSED_UP	1	1	28	24807.3582821659947513	24765.9617178339976818	24786.6599999999962166	24818.5999999999985449	24765.9617178339976818	24792.2808589169981133
RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	10	1781673300	1781679000	1781685900	1	CLOSED_UP	1	2	24	24821.9606613279756858	24782.8893386720083072	24802.4249999999919965	24848.5999999999985449	24782.8893386720083072	24815.7446693360034260
RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	11	1781707500	1781713200	1781721600	1	CLOSED_UP	1	6	29	24893.0987563069429598	24854.9012436930424884	24873.9999999999927240	24984.2000000000007276	24822.7999999999992725	24903.5000000000000000
RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	12	1781722200	1781727900	1781731800	2	CLOSED_DOWN	-1	1	14	24975.3383463116042549	24936.5616536884117523	24955.9500000000080036	24975.3383463116042549	24844.2000000000007276	24909.7691731558006723
RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	13	1781756400	1781762100	1781769900	2	CLOSED_DOWN	-1	3	27	24907.0902302660979331	24866.9097697339166190	24887.0000000000072760	24911.4000000000014552	24846.4000000000014552	24878.9000000000014552
RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	14	1781812500	1781818200	1781821800	2	CLOSED_DOWN	-1	2	13	25092.9058621612421122	25051.6641378387648729	25072.2850000000034925	25092.9058621612421122	25022.9000000000014552	25057.9029310806217836
RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	15	1781832000	1781837700	1781840400	2	CLOSED_DOWN	-1	1	10	25072.2332845403107058	25032.6067154596930778	25052.4200000000018918	25072.2332845403107058	24933.2000000000007276	25002.7166422701557167
RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	16	1781842800	1781848500	1781856000	2	CLOSED_DOWN	-1	1	26	24969.7088528951389890	24930.9911471048799286	24950.3500000000094588	24969.7088528951389890	24891.2000000000007276	24930.4544264475698583
RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598	17	1781898300	1781904000	1782086400	6	TEST_END_CENSORED	0	0	8	25020.9610829820085200	24982.3889170179754729	25001.6749999999919965	25020.9610829820085200	24982.3889170179754729	25001.6749999999919965
