target	split_type	model	rows	positives	negatives	prevalence	log_loss	brier	auc	average_precision	ece_10	run_block_delta_logloss_low	run_block_delta_logloss_high
reclaim_given_break	FORWARD_TIME	NULL_PREVALENCE	827	462	365	0.558645707376058	0.6870008904565729	0.24692696591859534	0.4856787048567871	0.5535240489826895	0.042035490726065466	\N	\N
reclaim_given_break	FORWARD_TIME	RIDGE_LOGISTIC	827	462	365	0.558645707376058	0.6654763321351604	0.23681553982856474	0.5889758643183302	0.6045237565244169	0.05832778588392756	0.010885512082556828	0.04044721432910955
reclaim_given_break	GROUPED_RUN	NULL_PREVALENCE	1547	880	667	0.5688429217840982	0.684449424469733	0.24565918465505268	0.47181835218754264	0.5559366151446865	0.027866544036055103	\N	\N
reclaim_given_break	GROUPED_RUN	RIDGE_LOGISTIC	1547	880	667	0.5688429217840982	0.6554680247655047	0.231676935422482	0.6088506882922176	0.6421793570230323	0.031069966611935472	0.018462365277592336	0.0430999722591809
reclaim_given_break	INSTRUMENT_TRANSFER	NULL_PREVALENCE	1547	880	667	0.5688429217840982	0.6846169588370389	0.24574069895393422	0.4627853686792967	0.5463980520186752	0.048446988293641434	\N	\N
reclaim_given_break	INSTRUMENT_TRANSFER	RIDGE_LOGISTIC	1547	880	667	0.5688429217840982	0.6648263694369619	0.2360205968486628	0.5872410385716232	0.6363259639398057	0.03303907881564726	0.011271184997218577	0.03145002512361477
initial_acceptance_given_initial_contact	FORWARD_TIME	NULL_PREVALENCE	2840	365	2475	0.12852112676056338	0.38387599248413484	0.11207568355334242	0.4836286149162861	0.1170231650747553	0.02811453407402076	\N	\N
initial_acceptance_given_initial_contact	FORWARD_TIME	RIDGE_LOGISTIC	2840	365	2475	0.12852112676056338	0.327869757161391	0.10022065508617645	0.7904281167842813	0.29729907613759665	0.038101982301262244	0.0454679878829725	0.06673645670016273
initial_acceptance_given_initial_contact	GROUPED_RUN	NULL_PREVALENCE	5051	667	4384	0.13205305880023757	0.3907055665865883	0.11471608315753593	0.4720665442826032	0.12341435070825307	0.018621539122794704	\N	\N
initial_acceptance_given_initial_contact	GROUPED_RUN	RIDGE_LOGISTIC	5051	667	4384	0.13205305880023757	0.33498272056260514	0.10305279979777691	0.7768664709615996	0.29229282728713046	0.019499363250117276	0.044500805781154416	0.06587134000046937
initial_acceptance_given_initial_contact	INSTRUMENT_TRANSFER	NULL_PREVALENCE	5051	667	4384	0.13205305880023757	0.39053116696864637	0.11467476551888017	0.4718509244465358	0.12146067465130894	0.02943332747820067	\N	\N
initial_acceptance_given_initial_contact	INSTRUMENT_TRANSFER	RIDGE_LOGISTIC	5051	667	4384	0.13205305880023757	0.3277173908924405	0.10067088737664555	0.7872247726501713	0.31251403895765656	0.013262232030123278	0.04991627941413808	0.07392429068933896
rejection_given_initial_contact	FORWARD_TIME	NULL_PREVALENCE	2840	2013	827	0.7088028169014085	0.6049835038542327	0.20715626145683144	0.5063306764795457	0.7111731480797037	0.05299997163509767	\N	\N
rejection_given_initial_contact	FORWARD_TIME	RIDGE_LOGISTIC	2840	2013	827	0.7088028169014085	0.3483029826609859	0.11012649593381069	0.9073447020004795	0.9605221897835798	0.03490662928568896	0.22130086529176124	0.30091954126650816
rejection_given_initial_contact	GROUPED_RUN	NULL_PREVALENCE	5051	3504	1547	0.6937240150465255	0.6176001498185675	0.2131154885511649	0.4567806706454974	0.6632804241618213	0.0473802132864411	\N	\N
rejection_given_initial_contact	GROUPED_RUN	RIDGE_LOGISTIC	5051	3504	1547	0.6937240150465255	0.3735070665711982	0.11737572314231721	0.8952341473997396	0.9510901735243563	0.03849128907069389	0.20333126331381693	0.28245920168764804
rejection_given_initial_contact	INSTRUMENT_TRANSFER	NULL_PREVALENCE	5051	3504	1547	0.6937240150465255	0.6173367848262462	0.21300210114316975	0.45390336060662406	0.6667820839154631	0.039457324604199706	\N	\N
rejection_given_initial_contact	INSTRUMENT_TRANSFER	RIDGE_LOGISTIC	5051	3504	1547	0.6937240150465255	0.3611266600569835	0.1123717889434056	0.9006225777982427	0.9531326644690543	0.029018707213663765	0.2148822322955854	0.29599980682950444
retest_hold_given_retest_contact	FORWARD_TIME	NULL_PREVALENCE	664	410	254	0.6174698795180723	0.6663808043304474	0.23672086296130596	0.46398117918187054	0.6115070850376914	0.08347796813803957	\N	\N
