target	metric	target_state	rows	observed	missing	mean	std	minimum	q05	q25	median	q75	q95	maximum
initial_acceptance_given_initial_contact	node_width_atr	CENSORED	686	686	0	1.7445550499416909	3.7240563022189153	0.0	0.0	0.0388684475	0.08695263	0.8201414025	10.199869425	23.97863818
initial_acceptance_given_initial_contact	node_width_atr	NEGATIVE	4384	4384	0	4.020575455159672	4.740745980871905	0.0	0.03130508	0.13891957500000002	2.417131185	6.1060954525	13.071967121	35.49407115
initial_acceptance_given_initial_contact	node_width_atr	POSITIVE	667	667	0	0.6956474482608697	1.5766936193021592	0.0	0.009939149000000001	0.05673086	0.10055304	0.60790579	3.7276186289999997	14.99426904
initial_acceptance_given_initial_contact	initial_distance_atr	CENSORED	686	686	0	0.17216375797376093	0.16312985985908865	0.00021356	0.0006276025	0.0154988575	0.177648855	0.256858495	0.4876059575	0.49940072
initial_acceptance_given_initial_contact	initial_distance_atr	NEGATIVE	4384	4384	0	0.23647563988366788	0.12982362352700408	0.0	0.013000977	0.19234468	0.22246382	0.2774933075	0.4907490025	0.49995622
initial_acceptance_given_initial_contact	initial_distance_atr	POSITIVE	667	667	0	0.23063547589205396	0.16150303173929048	0.0	0.009443642	0.07688777	0.21723896	0.34883955	0.49428689000000003	0.49993507
initial_acceptance_given_initial_contact	approach_efficiency	CENSORED	686	686	0	0.3765780125364431	0.40106141209714163	0.00016855	0.0041223825000000006	0.03551035	0.16666667	0.89714895	1.0	1.0
initial_acceptance_given_initial_contact	approach_efficiency	NEGATIVE	4384	4384	0	0.2726187296122263	0.3007887738059637	0.00016697	0.006424694	0.0421233	0.150996715	0.3866951525	1.0	1.0
initial_acceptance_given_initial_contact	approach_efficiency	POSITIVE	667	667	0	0.3085160925187406	0.3209561340091418	0.00061312	0.00918943	0.05315542	0.18072289	0.47017544	1.0	1.0
initial_acceptance_given_initial_contact	corridor_up_atr	CENSORED	686	663	23	4.106636030889894	4.720415896792081	0.03395586	0.3414257	1.02261494	2.3877203	5.3446311049999995	13.091736863	30.56379007
initial_acceptance_given_initial_contact	corridor_up_atr	NEGATIVE	4384	4187	197	3.343177668289945	4.593348595448574	0.0061066	0.21120023300000001	0.8576584599999999	1.97002141	4.073550315	10.568782658999995	63.6429468
initial_acceptance_given_initial_contact	corridor_up_atr	POSITIVE	667	661	6	3.0780484894856275	4.543929945519291	0.00862366	0.25858099	1.00471351	1.94258016	3.68612978	9.07346748	65.50884516
initial_acceptance_given_initial_contact	corridor_down_atr	CENSORED	686	663	23	3.955999393514329	5.146761919761436	0.00697898	0.21820174	1.029861735	2.43708006	4.822490885	12.857908404999998	59.90381566
initial_acceptance_given_initial_contact	corridor_down_atr	NEGATIVE	4384	4200	184	3.922483944614286	5.029706806313127	0.05525298	0.22222222	0.9734549975	2.291893065	4.72406181	13.505308842999991	60.2348815
initial_acceptance_given_initial_contact	corridor_down_atr	POSITIVE	667	662	5	2.669058344743202	3.0258626726505655	0.10012516	0.22349468750000018	0.7142086774999999	1.719611135	3.4160703750000003	8.423138623999991	21.81004475
initial_acceptance_given_initial_contact	start_median_sigma	CENSORED	686	686	0	-0.04135915301749269	0.7477523614553325	-2.35915522	-1.2990934200000002	-0.48353676	-0.005861955	0.405770885	1.16953822	2.44661076
initial_acceptance_given_initial_contact	start_median_sigma	NEGATIVE	4384	4384	0	-0.051101332009580294	0.7076840013298799	-2.36258308	-1.462882269	-0.47032443	-0.008900095	0.42871096999999997	1.0342817084999996	2.46373989
initial_acceptance_given_initial_contact	start_median_sigma	POSITIVE	667	667	0	-0.039126881589205395	0.6275219450461751	-2.39367208	-1.075435271	-0.374444195	-0.01105493	0.30148294	0.9831459939999996	1.94482633
initial_acceptance_given_initial_contact	node_from_median_sigma	CENSORED	686	686	0	-0.03871435204081634	0.7826267834259641	-2.36174645	-1.3676374175	-0.5045124249999999	0.0	0.440775535	1.23644411	1.99925205
initial_acceptance_given_initial_contact	node_from_median_sigma	NEGATIVE	4384	4384	0	-0.05172520592381387	0.7698497669378586	-2.44984014	-1.42103976	-0.52989907	0.0	0.46117461	1.2064131969999998	1.95303146
initial_acceptance_given_initial_contact	node_from_median_sigma	POSITIVE	667	667	0	-0.04105156647676165	0.6291539527644958	-2.44984014	-1.047655584	-0.37411949	0.0	0.30609158999999997	0.958542899999991	1.89608045
initial_acceptance_given_initial_contact	node_from_cog_sigma	CENSORED	686	686	0	0.39464170807580173	1.263784219739264	-2.26318671	-1.4247725125000001	-0.5640874475	0.19976344000000001	1.3104397625	2.5030172449999997	4.47473796
initial_acceptance_given_initial_contact	node_from_cog_sigma	NEGATIVE	4384	4384	0	0.4084153125387774	1.1782344977321526	-2.34364806	-1.3820496414999999	-0.44036662	0.192306735	1.25970585	2.41249452	4.83495586
initial_acceptance_given_initial_contact	node_from_cog_sigma	POSITIVE	667	667	0	0.41379151059970015	1.0877318847060256	-2.33523397	-1.0798197649999999	-0.349627915	0.05732881	1.111130485	2.45342739	3.79304448
initial_acceptance_given_initial_contact	node_width_sigma	CENSORED	686	686	0	0.10041044408163265	0.22843163739656808	0.0	0.0	0.0018386925	0.00497877	0.0464401225	0.56562201	1.5442819
initial_acceptance_given_initial_contact	node_width_sigma	NEGATIVE	4384	4384	0	0.2182457788138686	0.2571123153417997	0.0	0.0017683125000000001	0.0119838175	0.12535648	0.31776180249999997	0.703889600999997	1.54443961
initial_acceptance_given_initial_contact	node_width_sigma	POSITIVE	667	667	0	0.04134390371814093	0.09135194491083881	0.0	0.0006437200000000001	0.0035395749999999997	0.00785299	0.042666844999999995	0.21732273799999946	1.06440635
initial_acceptance_given_initial_contact	feature_regional_median_velocity_sigma	CENSORED	686	686	0	0.002682140233236151	0.09494221674259011	-0.83930497	-0.124148035	0.0	0.0	0.0	0.14009983	0.84117096
initial_acceptance_given_initial_contact	feature_regional_median_velocity_sigma	NEGATIVE	4384	4384	0	5.461843521897804e-05	0.06209640352617005	-0.83930497	-0.019262229999999988	0.0	0.0	0.0	0.05844884299999822	0.84678917
initial_acceptance_given_initial_contact	feature_regional_median_velocity_sigma	POSITIVE	667	667	0	-0.004711482308845577	0.060610072996535445	-0.51085138	-0.08511899699999997	0.0	0.0	0.0	0.008114425999999925	0.50035229
initial_acceptance_given_initial_contact	feature_regional_sigma_log_change_per_bar	CENSORED	686	686	0	-0.0021554521574344027	0.04241495786695367	-0.34592728	-0.046301977499999994	0.0	0.0	0.0	0.0429210425	0.32201027
initial_acceptance_given_initial_contact	feature_regional_sigma_log_change_per_bar	NEGATIVE	4384	4384	0	-0.002420884486770073	0.0284907972282917	-0.39486558	-0.0373124625	0.0	0.0	0.0	0.0011382169999999939	0.47109219
initial_acceptance_given_initial_contact	feature_regional_sigma_log_change_per_bar	POSITIVE	667	667	0	-0.0025086151124437783	0.024147491037437838	-0.24354339	-0.04304927	0.0	0.0	0.0	0.0021567499999999317	0.21440653
initial_acceptance_given_initial_contact	eligibility_latency_seconds	CENSORED	686	686	0	445.4256559766764	1131.5967619656637	0.0	0.25	8.25	48.5	265.0	2546.0	7619.0
initial_acceptance_given_initial_contact	eligibility_latency_seconds	NEGATIVE	4384	4384	0	478.3289233576642	1758.1878841647858	0.0	4.0	28.0	75.0	314.0	2453.649999999995	94222.0
