target	dimension	value	eligible_count	analyzable_count	positive_count	negative_count	censored_count	rate	wilson_low	wilson_high	run_block_bootstrap_low	run_block_bootstrap_high	run_count	episode_count
reclaim_given_break	OVERALL	ALL	2073	1547	880	667	526	0.5688429217840982	0.5440239973781489	0.593320796177971	0.5436719608321853	0.5948875338753388	20	983
reclaim_given_break	canonical_instrument	DE40	333	252	152	100	81	0.6031746031746031	0.5416561561394935	0.661594717427656	0.5324675324675324	0.6564885496183206	3	151
reclaim_given_break	canonical_instrument	FRA40	383	297	180	117	86	0.6060606060606061	0.5494753543499349	0.6599372719781036	0.5828877005347594	0.7714285714285715	3	162
reclaim_given_break	canonical_instrument	JPN225	370	280	148	132	90	0.5285714285714286	0.4701110348656288	0.5862584612131925	0.45535714285714285	0.5851063829787234	4	189
reclaim_given_break	canonical_instrument	US30	340	254	149	105	86	0.5866141732283464	0.525202797886284	0.6454447007791578	0.5692307692307692	0.682506255212675	3	154
reclaim_given_break	canonical_instrument	US500	436	329	182	147	107	0.5531914893617021	0.4991634088378562	0.6059917606053079	0.5273833671399595	0.6029411764705882	4	206
reclaim_given_break	canonical_instrument	USTEC	211	135	69	66	76	0.5111111111111111	0.4276552275244627	0.5939521513195922	0.45	0.54	3	121
reclaim_given_break	direction_label	FROM_ABOVE	1143	841	487	354	302	0.5790725326991677	0.5454197637643389	0.6120062226280115	0.5457672178308751	0.6122164126196384	20	558
reclaim_given_break	direction_label	FROM_BELOW	930	706	393	313	224	0.556657223796034	0.5198040567110616	0.5928971655208848	0.5242768859941536	0.5818696319952662	20	461
reclaim_given_break	start_region	ABOVE	280	198	117	81	82	0.5909090909090909	0.5213281934040639	0.6570296138092728	0.5459216492671095	0.6425387317859818	13	148
reclaim_given_break	start_region	BELOW	375	270	159	111	105	0.5888888888888889	0.5293519364844823	0.6459319675916695	0.5251338758643953	0.6529071723406182	13	193
reclaim_given_break	start_region	FAR_ABOVE	40	26	13	13	14	0.5	0.3206059352575905	0.6793940647424095	0.14285714285714285	0.5925925925925926	6	22
reclaim_given_break	start_region	FAR_BELOW	64	45	25	20	19	0.5555555555555556	0.4117613449352105	0.6906106996500243	0.09090909090909091	0.625	6	34
reclaim_given_break	start_region	MEDIAN_CORE	1314	1008	566	442	306	0.5615079365079365	0.5306996414421318	0.5918492014808717	0.5287846222966983	0.5916811026587331	20	624
reclaim_given_break	node_region	ABOVE	278	194	116	78	84	0.5979381443298969	0.5276874939261484	0.6643854933360402	0.548562091503268	0.6333530122466912	14	144
