run_key	bar_time	structure_snapshot_hash	regional_basis_hash	structure_generation	reference_price	reference_atr	median_price	mean_price	structural_sigma	cog_price	price_region_code	nearest_node_id	nearest_node_lower	nearest_node_price	nearest_node_upper	nearest_node_region_code	node_contact
RG3_USTEC_PERIOD_M5_1768176000_1768780800_7128405155079592654	1768179600	113270413792350204	14967507029295865408	2	25721.5999999999985449	27.0379999999994674	25481.9499999999970896	25328.1563362366359797	533.2351751462656466	25489.0983185583099839	0	6289959983264838559	25189.3000000000029104	25546.9245512110210258	25944.4333333333343035	0	1
RG3_USTEC_PERIOD_M5_1768176000_1768780800_7128405155079592654	1768179900	11631714651302665694	18289065747383898451	3	25744.2000000000007276	27.2639999999994523	25481.9499999999970896	25328.1563825690100202	533.2351941548823789	25489.2236012928478886	0	6289959983264838559	25189.3000000000029104	25546.9251535318580864	25944.4333333333343035	0	1
RG3_USTEC_PERIOD_M5_1768176000_1768780800_7128405155079592654	1768180200	4026694941220533389	18289065747383898451	4	25736.7999999999992725	27.3359999999994230	25481.9499999999970896	25328.1564212214107101	533.2352100127013728	25489.3281173860632407	0	6289959983264838559	25189.3000000000029104	25546.9256560130779690	25944.4333333333343035	0	1
RG3_USTEC_PERIOD_M5_1768176000_1768780800_7128405155079592654	1768180500	18326800998211710036	18289065747383898451	5	25724.0999999999985448	27.5309999999993878	25481.9499999999970896	25328.1564613292648574	533.2352264676802634	25489.4365690244412690	0	6289959983264838559	25189.3000000000029104	25546.9261774151855208	25944.4333333333343035	0	1
RG3_USTEC_PERIOD_M5_1768176000_1768780800_7128405155079592654	1768180800	14383280068970606911	18289065747383898451	6	25731.9000000000014552	27.4919999999994112	25481.9499999999970896	25328.1564890276968072	533.2352378314875523	25489.5114655804973154	0	6289959983264838559	25189.3000000000029104	25546.9265374947826786	25944.4333333333343035	0	1
RG3_USTEC_PERIOD_M5_1768176000_1768780800_7128405155079592654	1768181100	14159058140666477781	18289065747383898451	7	25732.7000000000007276	27.4359999999994244	25481.9499999999970896	25328.1565098899955046	533.2352463906547655	25489.5678772469109390	0	6289959983264838559	25189.3000000000029104	25546.9268087047166774	25944.4333333333343035	0	1
RG3_USTEC_PERIOD_M5_1768176000_1768780800_7128405155079592654	1768181400	15171857062840056856	18289065747383898451	8	25736.2000000000007276	27.4499999999994025	25481.9499999999970896	25328.1565366157774406	533.2352573554403534	25489.6401437446293131	0	6289959983264838559	25189.3000000000029104	25546.9271561398018094	25944.4333333333343035	0	1
RG3_USTEC_PERIOD_M5_1768176000_1768780800_7128405155079592654	1768181700	2623637315007127105	18289065747383898451	9	25730.2999999999992724	27.3509999999994236	25481.9499999999970896	25328.1565542308017030	533.2352645823668809	25489.6877747753387667	0	6289959983264838559	25189.3000000000029104	25546.9273851351426856	25944.4333333333343035	0	1
RG3_USTEC_PERIOD_M5_1768176000_1768780800_7128405155079592654	1768182000	13027501114719181618	18289065747383898451	10	25735.7000000000007276	27.2509999999994222	25481.9499999999970896	25328.1565743744395150	533.2352728467183170	25489.7422431830127608	0	6289959983264838559	25189.3000000000029104	25546.9276470024851734	25944.4333333333343035	0	1
RG3_USTEC_PERIOD_M5_1768176000_1768780800_7128405155079592654	1768182300	7037083997410441164	18289065747383898451	11	25735.4000000000014552	27.1919999999994069	25481.9499999999970896	25328.1566087353021430	533.2352869440014729	25489.8351549406652339	0	6289959983264838559	25189.3000000000029104	25546.9280936936302170	25944.4333333333343035	0	1
RG3_USTEC_PERIOD_M5_1768176000_1768780800_7128405155079592654	1768182600	10417364055916101468	18289065747383898451	12	25735.0999999999985448	26.8219999999994059	25481.9499999999970896	25328.1566413337095583	533.2353003182258817	25489.9233010366406234	0	6289959983264838559	25189.3000000000029104	25546.9285174729338906	25944.4333333333343035	0	1
RG3_USTEC_PERIOD_M5_1768176000_1768780800_7128405155079592654	1768182900	11794535695530500701	4671861029733394712	13	25724.0999999999985448	26.7349999999993991	25515.3745289166035946	25355.8040626927468111	523.3759273485734411	25489.5938116395955149	0	6289959983264838559	25189.3000000000029104	25548.7990578332064616	25944.4333333333343035	0	1
RG3_USTEC_PERIOD_M5_1768176000_1768780800_7128405155079592654	1768183200	11794424956027948269	4671861029733394712	14	25719.2999999999992724	26.7979999999993908	25515.3748928144632373	25355.8041146781542921	523.3759465182382656	25489.7466487418787438	0	6289959983264838559	25189.3000000000029104	25548.7997856289330230	25944.4333333333343035	0	1
RG3_USTEC_PERIOD_M5_1768176000_1768780800_7128405155079592654	1768183500	939857230395404949	3725044378429460436	15	25702.2000000000007276	26.9589999999994134	25481.9499999999970896	25328.3006418564909837	533.2946098249490206	25489.9017631847200392	0	6289959983264838559	25189.3000000000029104	25548.8005242691360764	25944.4333333333343035	0	1
RG3_USTEC_PERIOD_M5_1768176000_1768780800_7128405155079592654	1768183800	4775731080948392476	3725044378429460436	16	25691.2999999999992724	26.9559999999993850	25481.9499999999970896	25328.3006857375949039	533.2946279683718558	25490.0215585973601264	0	6289959983264838559	25189.3000000000029104	25548.8010947234834021	25944.4333333333343035	0	1
RG3_USTEC_PERIOD_M5_1768176000_1768780800_7128405155079592654	1768184100	7382334120949427999	3725044378429460436	17	25698.2999999999992724	26.9619999999994064	25481.9499999999970896	25328.3007258995239681	533.2946445740738000	25490.1312006674525037	0	6289959983264838559	25189.3000000000029104	25548.8016168285794266	25944.4333333333343035	0	1
RG3_USTEC_PERIOD_M5_1768176000_1768780800_7128405155079592654	1768184400	3609814438986029623	3725044378429460436	18	25689.5999999999985449	26.8719999999993711	25481.9499999999970896	25328.3007537834128016	533.2946561032096043	25490.2073236780161096	0	6289959983264838559	25189.3000000000029104	25548.8019793191051577	25944.4333333333343035	0	1
RG3_USTEC_PERIOD_M5_1768176000_1768780800_7128405155079592654	1768184700	17546599330330242831	3725044378429460436	19	25692.2999999999992724	26.7709999999994218	25481.9499999999970896	25328.3007823655498214	533.2946679210674575	25490.2853529043859453	0	6289959983264838559	25189.3000000000029104	25548.8023508868500358	25944.4333333333343035	0	1
