session_id	civil_date	calendar_status	clock_status	server_offset_minutes	source_day_m1_rows	source_day_m5_rows	expected_m1_range	observed_m1_range	missing_m1_range	duplicate_m1_range	expected_m5_horizon	observed_m5_horizon	missing_m5_horizon	duplicate_m5_horizon	decision	partition
OBSOPEN_US30_20240112	2024-01-12	NORMAL_SESSION	QUALIFIED	120	1320	264	30	30	0	0	79	78	1	0	NOT_EVALUABLE_SOURCE_COVERAGE_M5	
OBSOPEN_US30_20240113	2024-01-13	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20240114	2024-01-14	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20240115	2024-01-15	EXCHANGE_CLOSED	NOT_APPLICABLE		1108	223	0	0	0	0	0	0	0	0	EXCHANGE_CLOSED	
OBSOPEN_US30_20240116	2024-01-16	NORMAL_SESSION	QUALIFIED	120	1366	274	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240117	2024-01-17	NORMAL_SESSION	QUALIFIED	120	1379	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240118	2024-01-18	NORMAL_SESSION	QUALIFIED	120	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240119	2024-01-19	NORMAL_SESSION	QUALIFIED	120	1319	264	30	30	0	0	79	78	1	0	NOT_EVALUABLE_SOURCE_COVERAGE_M5	
OBSOPEN_US30_20240120	2024-01-20	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20240121	2024-01-21	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20240122	2024-01-22	NORMAL_SESSION	QUALIFIED	120	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240123	2024-01-23	NORMAL_SESSION	QUALIFIED	120	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240124	2024-01-24	NORMAL_SESSION	QUALIFIED	120	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240125	2024-01-25	NORMAL_SESSION	QUALIFIED	120	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240126	2024-01-26	NORMAL_SESSION	QUALIFIED	120	1320	264	30	30	0	0	79	78	1	0	NOT_EVALUABLE_SOURCE_COVERAGE_M5	
OBSOPEN_US30_20240127	2024-01-27	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20240128	2024-01-28	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20240129	2024-01-29	NORMAL_SESSION	QUALIFIED	120	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240130	2024-01-30	NORMAL_SESSION	QUALIFIED	120	1377	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240131	2024-01-31	NORMAL_SESSION	QUALIFIED	120	1378	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240201	2024-02-01	NORMAL_SESSION	QUALIFIED	120	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240202	2024-02-02	NORMAL_SESSION	QUALIFIED	120	1317	264	30	30	0	0	79	78	1	0	NOT_EVALUABLE_SOURCE_COVERAGE_M5	
OBSOPEN_US30_20240203	2024-02-03	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20240204	2024-02-04	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20240205	2024-02-05	NORMAL_SESSION	QUALIFIED	120	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240206	2024-02-06	NORMAL_SESSION	QUALIFIED	120	1379	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240207	2024-02-07	NORMAL_SESSION	QUALIFIED	120	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240208	2024-02-08	NORMAL_SESSION	QUALIFIED	120	1377	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240209	2024-02-09	NORMAL_SESSION	QUALIFIED	120	1315	264	30	30	0	0	79	78	1	0	NOT_EVALUABLE_SOURCE_COVERAGE_M5	
OBSOPEN_US30_20240210	2024-02-10	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20240211	2024-02-11	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20240212	2024-02-12	NORMAL_SESSION	QUALIFIED	120	1362	273	30	30	0	0	79	78	1	0	NOT_EVALUABLE_SOURCE_COVERAGE_M5	
OBSOPEN_US30_20240213	2024-02-13	NORMAL_SESSION	QUALIFIED	120	1379	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240214	2024-02-14	NORMAL_SESSION	QUALIFIED	120	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240215	2024-02-15	NORMAL_SESSION	QUALIFIED	120	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240216	2024-02-16	NORMAL_SESSION	QUALIFIED	120	1295	259	30	5	25	0	79	73	6	0	NOT_EVALUABLE_SOURCE_COVERAGE_M1	
OBSOPEN_US30_20240217	2024-02-17	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20240218	2024-02-18	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20240219	2024-02-19	EXCHANGE_CLOSED	NOT_APPLICABLE		1140	228	0	0	0	0	0	0	0	0	EXCHANGE_CLOSED	
OBSOPEN_US30_20240220	2024-02-20	NORMAL_SESSION	QUALIFIED	120	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240221	2024-02-21	NORMAL_SESSION	QUALIFIED	120	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240222	2024-02-22	NORMAL_SESSION	QUALIFIED	120	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240223	2024-02-23	NORMAL_SESSION	QUALIFIED	120	1320	264	30	30	0	0	79	78	1	0	NOT_EVALUABLE_SOURCE_COVERAGE_M5	
OBSOPEN_US30_20240224	2024-02-24	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20240225	2024-02-25	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20240226	2024-02-26	NORMAL_SESSION	QUALIFIED	120	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240227	2024-02-27	NORMAL_SESSION	QUALIFIED	120	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240228	2024-02-28	NORMAL_SESSION	QUALIFIED	120	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240229	2024-02-29	NORMAL_SESSION	QUALIFIED	120	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240301	2024-03-01	NORMAL_SESSION	QUALIFIED	120	1274	256	30	30	0	0	79	70	9	0	NOT_EVALUABLE_SOURCE_COVERAGE_M5	
OBSOPEN_US30_20240302	2024-03-02	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20240303	2024-03-03	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20240304	2024-03-04	NORMAL_SESSION	QUALIFIED	120	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240305	2024-03-05	NORMAL_SESSION	QUALIFIED	120	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240306	2024-03-06	NORMAL_SESSION	QUALIFIED	120	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240307	2024-03-07	NORMAL_SESSION	QUALIFIED	120	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240308	2024-03-08	NORMAL_SESSION	QUALIFIED	120	1321	265	30	30	0	0	79	78	1	0	NOT_EVALUABLE_SOURCE_COVERAGE_M5	
OBSOPEN_US30_20240309	2024-03-09	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20240310	2024-03-10	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20240311	2024-03-11	NORMAL_SESSION	QUALIFIED	120	1378	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240312	2024-03-12	NORMAL_SESSION	QUALIFIED	120	1373	275	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240313	2024-03-13	NORMAL_SESSION	QUALIFIED	120	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240314	2024-03-14	NORMAL_SESSION	QUALIFIED	120	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240315	2024-03-15	NORMAL_SESSION	QUALIFIED	120	1375	275	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240316	2024-03-16	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20240317	2024-03-17	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20240318	2024-03-18	NORMAL_SESSION	QUALIFIED	120	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240319	2024-03-19	NORMAL_SESSION	QUALIFIED	120	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240320	2024-03-20	NORMAL_SESSION	QUALIFIED	120	1381	277	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240321	2024-03-21	NORMAL_SESSION	QUALIFIED	120	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240322	2024-03-22	NORMAL_SESSION	QUALIFIED	120	1375	275	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240323	2024-03-23	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20240324	2024-03-24	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20240325	2024-03-25	NORMAL_SESSION	QUALIFIED	120	1381	277	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240326	2024-03-26	NORMAL_SESSION	QUALIFIED	120	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240327	2024-03-27	NORMAL_SESSION	QUALIFIED	120	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240328	2024-03-28	NORMAL_SESSION	QUALIFIED	120	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240329	2024-03-29	EXCHANGE_CLOSED	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	EXCHANGE_CLOSED	
OBSOPEN_US30_20240330	2024-03-30	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20240331	2024-03-31	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
