session_id	civil_date	partition	server_offset_minutes	confirmation_status
OBSOPEN_US30_20240508	2024-05-08	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240509	2024-05-09	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240513	2024-05-13	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240514	2024-05-14	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240515	2024-05-15	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240516	2024-05-16	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240520	2024-05-20	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240521	2024-05-21	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240522	2024-05-22	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240523	2024-05-23	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240528	2024-05-28	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240529	2024-05-29	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240530	2024-05-30	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240603	2024-06-03	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240604	2024-06-04	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240605	2024-06-05	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240606	2024-06-06	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240610	2024-06-10	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240611	2024-06-11	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240612	2024-06-12	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240613	2024-06-13	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240617	2024-06-17	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240618	2024-06-18	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240620	2024-06-20	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240624	2024-06-24	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240625	2024-06-25	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240626	2024-06-26	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240627	2024-06-27	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240701	2024-07-01	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240702	2024-07-02	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240708	2024-07-08	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240709	2024-07-09	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240710	2024-07-10	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240711	2024-07-11	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240715	2024-07-15	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240716	2024-07-16	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240717	2024-07-17	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240718	2024-07-18	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240722	2024-07-22	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240723	2024-07-23	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240724	2024-07-24	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240725	2024-07-25	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240729	2024-07-29	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240730	2024-07-30	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240731	2024-07-31	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240801	2024-08-01	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240805	2024-08-05	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240806	2024-08-06	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240807	2024-08-07	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240808	2024-08-08	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240812	2024-08-12	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240813	2024-08-13	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240814	2024-08-14	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240815	2024-08-15	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240819	2024-08-19	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240820	2024-08-20	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240821	2024-08-21	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240822	2024-08-22	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240826	2024-08-26	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240827	2024-08-27	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240828	2024-08-28	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240829	2024-08-29	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240903	2024-09-03	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240904	2024-09-04	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240905	2024-09-05	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240909	2024-09-09	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240910	2024-09-10	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240911	2024-09-11	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240912	2024-09-12	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240916	2024-09-16	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240917	2024-09-17	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240918	2024-09-18	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240919	2024-09-19	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240923	2024-09-23	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240924	2024-09-24	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240925	2024-09-25	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240926	2024-09-26	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20240930	2024-09-30	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20241001	2024-10-01	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20241002	2024-10-02	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20241003	2024-10-03	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20241007	2024-10-07	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20241008	2024-10-08	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20241009	2024-10-09	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20241010	2024-10-10	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20241014	2024-10-14	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20241015	2024-10-15	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20241016	2024-10-16	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20241017	2024-10-17	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20241021	2024-10-21	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20241022	2024-10-22	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20241023	2024-10-23	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20241024	2024-10-24	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250102	2025-01-02	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250106	2025-01-06	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250107	2025-01-07	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250108	2025-01-08	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250113	2025-01-13	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250114	2025-01-14	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250115	2025-01-15	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250116	2025-01-16	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250121	2025-01-21	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250122	2025-01-22	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250123	2025-01-23	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250127	2025-01-27	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250128	2025-01-28	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250129	2025-01-29	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250130	2025-01-30	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250203	2025-02-03	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250204	2025-02-04	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250205	2025-02-05	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250206	2025-02-06	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250210	2025-02-10	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250211	2025-02-11	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250212	2025-02-12	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250213	2025-02-13	DISCOVERY	120	NOT_APPLICABLE
