session_id	civil_date	reason
OBSOPEN_US30_20240628	2024-06-28	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20240629	2024-06-29	NON_SESSION_WEEKEND
OBSOPEN_US30_20240630	2024-06-30	NON_SESSION_WEEKEND
OBSOPEN_US30_20240703	2024-07-03	EARLY_CLOSE_HORIZON_INCOMPLETE
OBSOPEN_US30_20240704	2024-07-04	EXCHANGE_CLOSED
OBSOPEN_US30_20240705	2024-07-05	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20240706	2024-07-06	NON_SESSION_WEEKEND
OBSOPEN_US30_20240707	2024-07-07	NON_SESSION_WEEKEND
OBSOPEN_US30_20240712	2024-07-12	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20240713	2024-07-13	NON_SESSION_WEEKEND
OBSOPEN_US30_20240714	2024-07-14	NON_SESSION_WEEKEND
OBSOPEN_US30_20240719	2024-07-19	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20240720	2024-07-20	NON_SESSION_WEEKEND
OBSOPEN_US30_20240721	2024-07-21	NON_SESSION_WEEKEND
OBSOPEN_US30_20240726	2024-07-26	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20240727	2024-07-27	NON_SESSION_WEEKEND
OBSOPEN_US30_20240728	2024-07-28	NON_SESSION_WEEKEND
OBSOPEN_US30_20240802	2024-08-02	NOT_EVALUABLE_SOURCE_COVERAGE_M1
OBSOPEN_US30_20240803	2024-08-03	NON_SESSION_WEEKEND
OBSOPEN_US30_20240804	2024-08-04	NON_SESSION_WEEKEND
OBSOPEN_US30_20240809	2024-08-09	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20240810	2024-08-10	NON_SESSION_WEEKEND
OBSOPEN_US30_20240811	2024-08-11	NON_SESSION_WEEKEND
OBSOPEN_US30_20240816	2024-08-16	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20240817	2024-08-17	NON_SESSION_WEEKEND
OBSOPEN_US30_20240818	2024-08-18	NON_SESSION_WEEKEND
OBSOPEN_US30_20240823	2024-08-23	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20240824	2024-08-24	NON_SESSION_WEEKEND
OBSOPEN_US30_20240825	2024-08-25	NON_SESSION_WEEKEND
OBSOPEN_US30_20240830	2024-08-30	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20240831	2024-08-31	NON_SESSION_WEEKEND
OBSOPEN_US30_20240901	2024-09-01	NON_SESSION_WEEKEND
OBSOPEN_US30_20240902	2024-09-02	EXCHANGE_CLOSED
OBSOPEN_US30_20240906	2024-09-06	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20240907	2024-09-07	NON_SESSION_WEEKEND
OBSOPEN_US30_20240908	2024-09-08	NON_SESSION_WEEKEND
OBSOPEN_US30_20240913	2024-09-13	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20240914	2024-09-14	NON_SESSION_WEEKEND
