P2_root	P2T_root	session_id	civil_date	offset	D_B_selected_ordinal	design_brier	raw_brier	z_brier	raw_difference	z_difference	estimand_unit
af0b7f804a8d8337572d6a4a6f2ddcb426defb1f4d5f28ed0fde54882050d00c	a2b3facd10cee4f0909891958654ec1a86b2615c602c30a726ea3c4bf4706c18	OBSOPEN_US30_20240103	2024-01-03	120	1	0.32913420855955966	0.23757375632512456	0.22241254009761890	0.09156045223443510	0.10672166846194076	SESSION
af0b7f804a8d8337572d6a4a6f2ddcb426defb1f4d5f28ed0fde54882050d00c	a2b3facd10cee4f0909891958654ec1a86b2615c602c30a726ea3c4bf4706c18	OBSOPEN_US30_20240104	2024-01-04	120	2	0.18173571378072317	0.14358417007893218	0.08229548000956767	0.03815154370179100	0.09944023377115550	SESSION
af0b7f804a8d8337572d6a4a6f2ddcb426defb1f4d5f28ed0fde54882050d00c	a2b3facd10cee4f0909891958654ec1a86b2615c602c30a726ea3c4bf4706c18	OBSOPEN_US30_20240108	2024-01-08	120	3	0.18173571378072317	0.24452337748793559	0.25498043885376864	-0.06278766370721242	-0.07324472507304547	SESSION
af0b7f804a8d8337572d6a4a6f2ddcb426defb1f4d5f28ed0fde54882050d00c	a2b3facd10cee4f0909891958654ec1a86b2615c602c30a726ea3c4bf4706c18	OBSOPEN_US30_20240109	2024-01-09	120	4	0.32913420855955966	0.24338707426117687	0.22230354669861416	0.08574713429838279	0.10683066186094550	SESSION
af0b7f804a8d8337572d6a4a6f2ddcb426defb1f4d5f28ed0fde54882050d00c	a2b3facd10cee4f0909891958654ec1a86b2615c602c30a726ea3c4bf4706c18	OBSOPEN_US30_20240110	2024-01-10	120	5	0.19689315160501411	0.17526856582315647	0.15097244331091847	0.02162458578185764	0.04592070829409564	SESSION
af0b7f804a8d8337572d6a4a6f2ddcb426defb1f4d5f28ed0fde54882050d00c	a2b3facd10cee4f0909891958654ec1a86b2615c602c30a726ea3c4bf4706c18	OBSOPEN_US30_20240116	2024-01-16	120	6	0.21628040252086744	0.33332061239060734	0.33822278326758376	-0.11704020986973990	-0.12194238074671632	SESSION
af0b7f804a8d8337572d6a4a6f2ddcb426defb1f4d5f28ed0fde54882050d00c	a2b3facd10cee4f0909891958654ec1a86b2615c602c30a726ea3c4bf4706c18	OBSOPEN_US30_20240117	2024-01-17	120	7	0.18173571378072317	0.13605736732049056	0.08106453103402457	0.04567834646023261	0.10067118274669860	SESSION
af0b7f804a8d8337572d6a4a6f2ddcb426defb1f4d5f28ed0fde54882050d00c	a2b3facd10cee4f0909891958654ec1a86b2615c602c30a726ea3c4bf4706c18	OBSOPEN_US30_20240125	2024-01-25	120	8	0.30467830075757163	0.33535193425383214	0.40105990611598430	-0.03067363349626051	-0.09638160535841267	SESSION
af0b7f804a8d8337572d6a4a6f2ddcb426defb1f4d5f28ed0fde54882050d00c	a2b3facd10cee4f0909891958654ec1a86b2615c602c30a726ea3c4bf4706c18	OBSOPEN_US30_20240129	2024-01-29	120	9	0.29951286606919836	0.30081025472805878	0.38864130786168916	-0.00129738865886042	-0.08912844179249080	SESSION
af0b7f804a8d8337572d6a4a6f2ddcb426defb1f4d5f28ed0fde54882050d00c	a2b3facd10cee4f0909891958654ec1a86b2615c602c30a726ea3c4bf4706c18	OBSOPEN_US30_20240208	2024-02-08	120	10	0.32913420855955966	0.23505340572185221	0.20117634558312530	0.09408080283770745	0.12795786297643436	SESSION
af0b7f804a8d8337572d6a4a6f2ddcb426defb1f4d5f28ed0fde54882050d00c	a2b3facd10cee4f0909891958654ec1a86b2615c602c30a726ea3c4bf4706c18	OBSOPEN_US30_20240213	2024-02-13	120	11	0.32913420855955966	0.19085417161971979	0.19071892139869656	0.13828003693983987	0.13841528716086310	SESSION
af0b7f804a8d8337572d6a4a6f2ddcb426defb1f4d5f28ed0fde54882050d00c	a2b3facd10cee4f0909891958654ec1a86b2615c602c30a726ea3c4bf4706c18	OBSOPEN_US30_20240214	2024-02-14	120	12	0.27999548098315780	0.26466033966175240	0.27985237342397590	0.01533514132140540	0.00014310755918190	SESSION
af0b7f804a8d8337572d6a4a6f2ddcb426defb1f4d5f28ed0fde54882050d00c	a2b3facd10cee4f0909891958654ec1a86b2615c602c30a726ea3c4bf4706c18	OBSOPEN_US30_20240215	2024-02-15	120	13	0.18173571378072317	0.09688582302203140	0.06420785813278569	0.08484989075869177	0.11752785564793748	SESSION
af0b7f804a8d8337572d6a4a6f2ddcb426defb1f4d5f28ed0fde54882050d00c	a2b3facd10cee4f0909891958654ec1a86b2615c602c30a726ea3c4bf4706c18	OBSOPEN_US30_20240220	2024-02-20	120	14	0.18656251918579392	0.15134764523454000	0.11431369427736549	0.03521487395125392	0.07224882490842843	SESSION
af0b7f804a8d8337572d6a4a6f2ddcb426defb1f4d5f28ed0fde54882050d00c	a2b3facd10cee4f0909891958654ec1a86b2615c602c30a726ea3c4bf4706c18	OBSOPEN_US30_20240221	2024-02-21	120	15	0.21092161198012382	0.22568639595643336	0.22982635612024596	-0.01476478397630954	-0.01890474414012214	SESSION
