run_key	bar_time	structure_snapshot_hash	regional_basis_hash	structure_generation	reference_price	reference_atr	median_price	mean_price	structural_sigma	cog_price	price_region_code	nearest_node_id	nearest_node_lower	nearest_node_price	nearest_node_upper	nearest_node_region_code	node_contact
RG3_FRA40_PERIOD_M5_1781481600_1782086400_317235149503321393	1781485200	3739911558946272130	4063776046136882938	2	8438.2999999999992724	8.3989999999997025	8194.8252678571425350	8179.3095193585331799	175.8830322209253155	8217.4452119382804085	1	1590303112435527412	8430.0499999999992724	8440.5849999999973079	8453.7666666666664242	1	1
RG3_FRA40_PERIOD_M5_1781481600_1782086400_317235149503321393	1781485500	8063467108537923253	18013574735134718726	3	8448.7999999999992725	8.4989999999997022	8194.8252678571425350	8179.4540514330492443	176.0969279217397059	8217.5635653035733413	1	1590303112435527412	8430.0499999999992724	8442.5849999999973079	8453.7666666666664242	1	1
RG3_FRA40_PERIOD_M5_1781481600_1782086400_317235149503321393	1781485800	7968470169199707068	18013574735134718726	4	8447.2999999999992724	8.4889999999997024	8194.8252678571425350	8179.4540984612558532	176.0969575460709962	8217.6300631885515032	1	1590303112435527412	8430.0499999999992724	8442.5849999999973079	8453.7666666666664242	1	1
RG3_FRA40_PERIOD_M5_1781481600_1782086400_317235149503321393	1781486100	13958155222735456763	18013574735134718726	5	8447.7999999999992725	8.4739999999997018	8194.8252678571425350	8179.4541268604489233	176.0969754355618875	8217.6702196464757436	1	1590303112435527412	8430.0499999999992724	8442.5849999999973079	8453.7666666666664242	1	1
RG3_FRA40_PERIOD_M5_1781481600_1782086400_317235149503321393	1781486400	6354278491836745302	18013574735134718726	6	8448.7999999999992725	8.4519999999996945	8194.8252678571425350	8179.4541666672548673	176.0970005111440457	8217.7265064721450472	1	1590303112435527412	8430.0499999999992724	8442.5849999999973079	8453.7666666666664242	1	1
RG3_FRA40_PERIOD_M5_1781481600_1782086400_317235149503321393	1781486700	6354278491836745302	18013574735134718726	6	8446.0000000000000000	8.3999999999996877	8194.8252678571425350	8179.4541806926990831	176.0970093462468640	8217.7463384495276842	1	1590303112435527412	8430.0499999999992724	8442.5849999999973079	8453.7666666666664242	1	1
RG3_FRA40_PERIOD_M5_1781481600_1782086400_317235149503321393	1781487000	12818369042486833399	18013574735134718726	7	8440.7999999999992725	8.4069999999996945	8194.8252678571425350	8179.4541947156294555	176.0970181797806333	8217.7661668728505902	1	1590303112435527412	8430.0499999999992724	8442.5849999999973079	8453.7666666666664242	1	1
RG3_FRA40_PERIOD_M5_1781481600_1782086400_317235149503321393	1781487300	12818369042486833399	18013574735134718726	7	8438.7999999999992725	8.3649999999997054	8194.8252678571425350	8179.4542309027428928	176.0970409753723800	8217.8173354506270699	1	1590303112435527412	8430.0499999999992724	8442.5849999999973079	8453.7666666666664242	1	1
RG3_FRA40_PERIOD_M5_1781481600_1782086400_317235149503321393	1781487600	6479521732498443484	18013574735134718726	8	8438.2999999999992724	8.3499999999997048	8194.8252678571425350	8179.4542618604054951	176.0970604768161252	8217.8611095866726828	1	1590303112435527412	8430.0499999999992724	8442.5849999999973079	8453.7666666666664242	1	1
RG3_FRA40_PERIOD_M5_1781481600_1782086400_317235149503321393	1781487900	6479521732498443484	18013574735134718726	8	8443.7999999999992725	8.3549999999997056	8194.8252678571425350	8179.4542928058199323	176.0970799706121852	8217.9048664022175218	1	1590303112435527412	8430.0499999999992724	8442.5849999999973079	8453.7666666666664242	1	1
RG3_FRA40_PERIOD_M5_1781481600_1782086400_317235149503321393	1781488200	17443955055041747125	12205231247006275921	9	8444.7999999999992725	8.2669999999996940	8194.8252678571425350	8179.4342047642958278	176.1001784790543638	8217.9463042596962624	1	1590303112435527412	8430.0499999999992724	8442.5849999999973079	8453.7666666666664242	1	1
RG3_FRA40_PERIOD_M5_1781481600_1782086400_317235149503321393	1781488500	12618319765081851453	14361615779645828964	10	8442.2999999999992724	8.1539999999997015	8204.2320833333324117	8196.2151602756293869	181.3519547061142419	8218.0871565513771202	1	1590303112435527412	8430.0499999999992724	8443.9321428571420256	8453.7666666666664242	1	1
RG3_FRA40_PERIOD_M5_1781481600_1782086400_317235149503321393	1781488800	13525114281174405237	14361615779645828964	11	8442.2999999999992724	7.8389999999997011	8204.2320833333324117	8196.2151904199654382	181.3519703594203918	8218.1328252217299451	1	1590303112435527412	8430.0499999999992724	8443.9321428571420256	8453.7666666666664242	1	1
RG3_FRA40_PERIOD_M5_1781481600_1782086400_317235149503321393	1781489100	2927821537590667588	14361615779645828964	12	8439.7999999999992725	7.8039999999997010	8204.2320833333324117	8196.2152245426768786	181.3519880786940064	8218.1845211294858018	1	1590303112435527412	8430.0499999999992724	8443.9321428571420256	8453.7666666666664242	1	1
RG3_FRA40_PERIOD_M5_1781481600_1782086400_317235149503321393	1781489400	2927821537590667588	14361615779645828964	12	8435.7999999999992725	7.7369999999996937	8204.2320833333324117	8196.2152495916034241	181.3520010861797687	8218.2224702518888080	1	8394008211924982691	8425.7999999999992725	8429.7999999999992725	8437.7999999999992725	1	1
RG3_FRA40_PERIOD_M5_1781481600_1782086400_317235149503321393	1781489700	11484052432287222759	14361615779645828964	13	8431.7999999999992725	7.7059999999997082	8204.2320833333324117	8196.2152778313648014	181.3520157506696933	8218.2652534902445041	1	8394008211924982691	8425.7999999999992725	8429.7999999999992725	8437.7999999999992725	1	1
