unit,dimension,entropy_bits,normalized_entropy
episode,instrument,2.5611933903436936,0.990804852925011
episode,data_source,-0.0,0.0
episode,direction_label,0.9987847258104094,0.9987847258104094
episode,initial_region,1.630241427610962,0.6306634727413474
episode,sigma_band,1.8494717723927798,0.6587951376797203
episode,resolution,1.6865197293611516,0.5076930268168062
episode,attempts,3.4347250492905976,0.6410997123928887
episode,family_count,1.9626806641467502,0.6991209585670187
episode,producer_combo,2.454888082610082,0.8744487785715432
episode,server_time_bucket,2.51297258359083,0.9721504984655512
episode,node_age_bucket,1.695614494105435,0.6559532270322647
episode,node_width_bucket,1.8195220588651844,0.7836254976506714
episode,corridor_bucket,2.1914920179791735,0.943824239348585
attempt,instrument,2.563158763891959,0.991565163199422
attempt,direction_label,0.999540239378824,0.999540239378824
attempt,start_region,1.660290297778147,0.6422879625197492
attempt,sigma_band,1.8456679539441903,0.6574401902098786
attempt,resolution,2.4097235553364134,0.8032411851121378
attempt,ordinal,5.084782771620528,0.7527560999338574
attempt,family_count,2.433506159718876,0.866832383963506
attempt,producer_combo,2.273532343779955,0.8098485609769667
attempt,server_time_bucket,2.53951609505422,0.982418930389026
attempt,node_age_bucket,2.3493611744513925,0.9088569655443608
attempt,node_width_bucket,1.777689842278306,0.7656093425944539
attempt,corridor_bucket,2.207225537968724,0.9506002975840635
attempt,is_retest,0.69080017943781,0.69080017943781
attempt,feature_regional_valid,-0.0,0.0
attempt,feature_sigma_valid,-0.0,0.0
transit,instrument,2.545218269978852,0.9846248327659622
transit,direction_label,0.996771148674527,0.996771148674527
transit,source_region,1.394328326354409,0.6005045244185516
transit,destination_region,1.5794424228586865,0.6110117351482088
transit,resolution,1.1171093379189079,0.7048175192855506
transit,server_time_bucket,2.52082253906202,0.9751872757762473
transit,distance_bucket,1.9628204007579901,0.8453407343146893
node,instrument,2.57484066212635,0.9960843383252245
node,lifecycle,0.4516228221820041,0.4516228221820041
node,terminal_region,1.8903513824683542,0.6733567485948134
node,node_age_bucket,2.2826536261018076,0.8830509632015899
node,node_width_bucket,1.9405465484640854,0.8357479082737151
node,terminal_family_count,1.9364496002744627,0.6897772650902203
node,terminal_existence_state,-0.0,0.0
