unit,stratifier,stratum,metric,rows,count,missing_count,missing_rate,censored_count,censoring_rate,min,p01,p05,p25,median,p75,p95,p99,max,mean,std
episode,resolution,ACCEPT_THROUGH_NODE,duration_bars,7,7,0,0.0,0,0.0,4.0,4.24,5.2,10.5,14.0,21.5,43.79999999999998,49.55999999999999,51.0,19.0,15.832456116050556
episode,resolution,ACCEPT_THROUGH_NODE,node_width_atr,7,7,0,0.0,0,0.0,0.08685696,0.0888346998,0.096745659,0.12687393,0.30352384,3.07065353,5.988149764999998,6.507067264999999,6.63679664,1.9174617657142858,2.6217869563098133
episode,resolution,ACCEPT_THROUGH_NODE,node_age_seconds,7,7,0,0.0,0,0.0,0.0,0.06,0.30000000000000004,14.5,292.0,55301.5,86233.59999999999,91006.71999999999,92200.0,29017.714285714286,39374.183330003965
episode,resolution,ACCEPT_THROUGH_NODE,start_median_sigma,7,7,0,0.0,0,0.0,-2.36258308,-2.2863338937999997,-1.9813371489999998,-0.83363901,-0.31688355,0.19064641,0.9551399179999992,1.2004160875999994,1.26173513,-0.38624524285714285,1.1424076018075973
episode,resolution,ACCEPT_THROUGH_NODE,nearest_corridor_atr,7,7,0,0.0,0,0.0,0.18696045,0.1954018998,0.229167699,0.6563603149999999,2.05157478,3.6473496,5.603323927999999,5.9486531216,6.03498542,2.4115629257142857,2.2150942127438897
episode,resolution,NODE_RETIRED,duration_seconds,856,856,0,0.0,3,0.0035046728971962616,1.0,2.5500000000000007,7.0,66.75,958.5,3928.75,16456.75,36646.650000000016,97887.0,3894.6693925233644,7422.303280022269
episode,resolution,NODE_RETIRED,duration_bars,856,856,0,0.0,3,0.0035046728971962616,0.0,0.0,0.0,0.0,3.0,12.0,48.25,108.0,174.0,11.901869158878505,20.38046757291066
episode,resolution,NODE_RETIRED,node_width_atr,856,856,0,0.0,3,0.0035046728971962616,0.0,0.0,0.0,0.040813725,0.091269395,0.6073632474999999,9.6158669625,16.29627678450002,26.19066383,1.419697393411215,3.4844703583735646
episode,resolution,NODE_RETIRED,node_age_seconds,856,856,0,0.0,3,0.0035046728971962616,0.0,0.0,0.0,1.0,5.0,1012.75,66912.75,164789.70000000013,309141.0,10057.175233644859,32491.416461426274
episode,resolution,NODE_RETIRED,start_median_sigma,856,856,0,0.0,3,0.0035046728971962616,-2.40178463,-2.13618301,-1.214412075,-0.4647371825,-0.012560729999999999,0.34214215000000003,1.182126485,1.6289753660000015,1.99846091,-0.056939927196261675,0.7184268998985243
episode,resolution,NODE_RETIRED,nearest_corridor_atr,856,856,0,0.0,3,0.0035046728971962616,0.00697898,0.09632662700000001,0.16328230999999999,0.5881760924999999,1.22566594,2.7265523925,7.7211866475,13.805276208000006,19.05241935,2.227185288084112,2.7448283905693773
episode,resolution,NONE,duration_seconds,2,2,0,0.0,2,1.0,203.0,257.92,477.6,1576.0,2949.0,4322.0,5420.4,5640.08,5695.0,2949.0,3883.430442276519
episode,resolution,NONE,duration_bars,2,2,0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
episode,resolution,NONE,node_width_atr,2,2,0,0.0,2,1.0,0.80581923,0.853996661,1.046706385,2.0102550050000003,3.21469078,4.419126555,5.382675175,5.575384899,5.62356233,3.21469078,3.4066588160246996
episode,resolution,NONE,node_age_seconds,2,2,0,0.0,2,1.0,3097.0,3798.08,6602.4,20624.0,38151.0,55678.0,69699.59999999999,72503.92,73205.0,38151.0,49573.84221542648
episode,resolution,NONE,start_median_sigma,2,2,0,0.0,2,1.0,-0.79788986,-0.787961091,-0.748246015,-0.549670635,-0.30145141,-0.05323218499999999,0.14534319499999995,0.185058271,0.19498704,-0.30145141,0.7020699888734776
episode,resolution,NONE,nearest_corridor_atr,2,2,0,0.0,2,1.0,0.14444903,0.1494482125,0.1694449425,0.2694285925,0.394408155,0.5193877175,0.6193713675,0.6393680975,0.64436728,0.394408155,0.35349558461391173
episode,resolution,RECLAIM_AFTER_BREAK,duration_seconds,47,47,0,0.0,0,0.0,111.0,152.4,259.0,542.0,1486.0,6025.0,16437.099999999984,25114.899999999987,31042.0,4627.872340425532,6251.871923557466
episode,resolution,RECLAIM_AFTER_BREAK,duration_bars,47,47,0,0.0,0,0.0,1.0,1.0,1.0,2.0,5.0,20.0,55.39999999999995,83.13999999999996,102.0,15.46808510638298,20.60798817663315
episode,resolution,RECLAIM_AFTER_BREAK,node_width_atr,47,47,0,0.0,0,0.0,0.00713776,0.0074310973999999995,0.008874984,0.043846394999999996,0.08464093,0.118315,0.7497462589999991,0.9917460872,1.00288369,0.1699777155319149,0.24850146410393004
