unit,metric,rows,count,missing_count,missing_rate,censored_count,censoring_rate,min,p01,p05,p25,median,p75,p95,p99,max,mean,std
episode,duration_seconds,1462,1462,0,0.0,28,0.019151846785225718,1.0,5.0,9.049999999999997,388.75,3600.0,10765.5,30690.4,52118.13000000002,132127.0,8051.5136798905605,11556.91356993677
episode,duration_bars,1462,1462,0,0.0,28,0.019151846785225718,0.0,0.0,0.0,1.0,12.0,33.0,94.95000000000005,160.0,287.0,24.320109439124487,32.88440531296662
episode,max_up_excursion_atr,1462,1462,0,0.0,28,0.019151846785225718,0.0,0.0,0.0,0.08122112249999999,0.75997208,2.6736728025,7.334795808000002,11.693218418400006,18.59010446,1.8505094684268126,2.590446097214525
episode,max_down_excursion_atr,1462,1462,0,0.0,28,0.019151846785225718,0.0,0.0,0.0,0.07769956750000001,0.64493545,2.5552667175,7.5591659515000025,11.999433797000009,17.45602165,1.8202808813406293,2.675871000500624
episode,node_width_atr,1462,1462,0,0.0,28,0.019151846785225718,0.0,0.0,0.00042511899999999795,0.056174495,0.10884025,2.4322438825,11.4353042,19.624241472000033,35.49407115,2.1491555303556766,4.126089670440261
episode,node_age_seconds,1462,1462,0,0.0,28,0.019151846785225718,0.0,0.0,0.0,2.0,155.0,18756.25,142256.15000000005,240596.77000000037,401308.0,23628.91313269494,50458.11635890389
episode,start_median_sigma,1462,1462,0,0.0,28,0.019151846785225718,-2.66177002,-1.9908384362,-1.236930124,-0.4621750525,-0.006793455,0.3365022625,1.1513125430000002,1.6494411338000001,2.45803018,-0.05387666989056088,0.7082842487766784
episode,corridor_up_atr,1462,1413,49,0.033515731874145006,28,0.019151846785225718,0.05678822,0.1546389248,0.26994805400000005,0.96511249,2.13214391,4.60092095,11.446554063999994,21.99858758039999,64.7050162,3.6033716389667374,4.667952688044339
episode,corridor_down_atr,1462,1411,51,0.03488372093023256,28,0.019151846785225718,0.00697898,0.122055801,0.21070136,0.9025729899999999,2.13089802,4.3614465,11.930258275,20.99164154600005,59.90381566,3.6562437766335933,5.076735109177465
episode,nearest_corridor_atr,1462,1462,0,0.0,28,0.019151846785225718,0.00697898,0.1173408709,0.1718275295,0.5600468425,1.2326600399999998,2.6201518525,7.174162282000004,12.520681732000057,19.65179969,2.13042931377565,2.5905401401703156
attempt,duration_seconds,7764,7764,0,0.0,20,0.002575991756826378,1.0,8.0,34.0,134.0,421.0,1236.0,7348.849999999999,7500.0,104505.0,1396.6669242658425,2923.352834417219
attempt,duration_bars,7764,7764,0,0.0,20,0.002575991756826378,1.0,1.0,1.0,1.0,3.0,5.0,26.0,26.0,26.0,5.4259402369912415,6.987322352787475
attempt,penetration_atr,7764,7764,0,0.0,20,0.002575991756826378,0.0,0.0,0.0,0.064958535,0.21827175999999998,0.711190285,2.870082382999995,5.901537854399999,16.80983412,0.6627708075296238,1.2109224952957705
attempt,penetration_node,7764,7764,0,0.0,20,0.002575991756826378,0.0,0.0,0.0,0.027213354999999998,0.22222222,1.3247432749999999,16.490492957999965,85.55499999999984,12204579068314.0,3265325787.0055113,171242793544.87366
attempt,max_above_atr,7764,7764,0,0.0,20,0.002575991756826378,0.0,0.0,0.0,0.0,0.247063525,0.7666533425000001,3.2661795594999887,7.3372587469,18.59010446,0.7199427713833075,1.4150374999581818
attempt,max_below_atr,7764,7764,0,0.0,20,0.002575991756826378,0.0,0.0,0.0,0.0,0.26385087,0.7531981249999999,3.119072033999992,7.486896893399996,17.45602165,0.7187487441769707,1.4413227516237912
attempt,rejection_excursion_atr,7764,7764,0,0.0,20,0.002575991756826378,0.0,0.0,0.0,0.0,0.20153278,0.212963925,0.2553696029999999,0.341530217,1.30597948,0.12251119997037609,0.11499016609933714
