unit,cross,dimension_1,value_1,dimension_2,value_2,count,censored_count,total,share,censoring_rate
episode,instrument x resolution,instrument,USTEC,resolution,ACCEPT_THROUGH_NODE,1,0,1462,0.0006839945280437756,0.0
episode,instrument x resolution,instrument,USTEC,resolution,NODE_RETIRED,114,1,1462,0.07797537619699042,0.008771929824561403
episode,instrument x resolution,instrument,USTEC,resolution,NONE,1,1,1462,0.0006839945280437756,1.0
episode,instrument x resolution,instrument,USTEC,resolution,RECLAIM_AFTER_BREAK,4,0,1462,0.0027359781121751026,0.0
episode,instrument x resolution,instrument,USTEC,resolution,RETURN_TO_SOURCE_NODE,1,0,1462,0.0006839945280437756,0.0
episode,instrument x resolution,instrument,USTEC,resolution,TIMEOUT,58,0,1462,0.03967168262653899,0.0
episode,instrument x resolution,instrument,USTEC,resolution,TRANSIT_TO_NEXT_NODE,7,1,1462,0.0047879616963064295,0.14285714285714285
episode,initial_region x resolution,initial_region,ABOVE,resolution,ACCEPT_THROUGH_NODE,1,0,1462,0.0006839945280437756,0.0
episode,initial_region x resolution,initial_region,ABOVE,resolution,NODE_RETIRED,148,0,1462,0.1012311901504788,0.0
episode,initial_region x resolution,initial_region,ABOVE,resolution,RECLAIM_AFTER_BREAK,6,0,1462,0.004103967168262654,0.0
episode,initial_region x resolution,initial_region,ABOVE,resolution,REJECT_TO_ORIGIN,4,4,1462,0.0027359781121751026,1.0
episode,initial_region x resolution,initial_region,ABOVE,resolution,RETURN_TO_SOURCE_NODE,3,0,1462,0.002051983584131327,0.0
episode,initial_region x resolution,initial_region,ABOVE,resolution,TIMEOUT,69,1,1462,0.04719562243502052,0.014492753623188406
episode,initial_region x resolution,initial_region,ABOVE,resolution,TRANSIT_TO_NEXT_NODE,12,0,1462,0.008207934336525308,0.0
episode,initial_region x resolution,initial_region,BELOW,resolution,ACCEPT_AND_FAIL_RETEST,1,0,1462,0.0006839945280437756,0.0
episode,initial_region x resolution,initial_region,BELOW,resolution,ACCEPT_AND_HOLD_RETEST,1,0,1462,0.0006839945280437756,0.0
episode,initial_region x resolution,initial_region,BELOW,resolution,ACCEPT_THROUGH_NODE,2,0,1462,0.0013679890560875513,0.0
episode,initial_region x resolution,initial_region,BELOW,resolution,NODE_RETIRED,173,2,1462,0.11833105335157319,0.011560693641618497
episode,initial_region x resolution,initial_region,BELOW,resolution,NONE,1,1,1462,0.0006839945280437756,1.0
episode,initial_region x resolution,initial_region,BELOW,resolution,RECLAIM_AFTER_BREAK,8,0,1462,0.005471956224350205,0.0
episode,initial_region x resolution,initial_region,BELOW,resolution,REJECT_TO_ORIGIN,2,2,1462,0.0013679890560875513,1.0
episode,initial_region x resolution,initial_region,BELOW,resolution,RETURN_TO_SOURCE_NODE,5,0,1462,0.003419972640218878,0.0
episode,initial_region x resolution,initial_region,BELOW,resolution,TIMEOUT,86,0,1462,0.058823529411764705,0.0
episode,initial_region x resolution,initial_region,BELOW,resolution,TRANSIT_TO_NEXT_NODE,15,1,1462,0.010259917920656635,0.06666666666666667
episode,initial_region x resolution,initial_region,EXTREME_BELOW,resolution,TIMEOUT,1,0,1462,0.0006839945280437756,0.0
episode,initial_region x resolution,initial_region,FAR_ABOVE,resolution,ACCEPT_AND_FAIL_RETEST,1,1,1462,0.0006839945280437756,1.0
episode,initial_region x resolution,initial_region,FAR_ABOVE,resolution,NODE_RETIRED,17,0,1462,0.011627906976744186,0.0
episode,initial_region x resolution,initial_region,FAR_ABOVE,resolution,RETURN_TO_SOURCE_NODE,1,0,1462,0.0006839945280437756,0.0
episode,initial_region x resolution,initial_region,FAR_ABOVE,resolution,TIMEOUT,8,1,1462,0.005471956224350205,0.125
episode,initial_region x resolution,initial_region,FAR_ABOVE,resolution,TRANSIT_TO_NEXT_NODE,2,0,1462,0.0013679890560875513,0.0
episode,initial_region x resolution,initial_region,FAR_BELOW,resolution,ACCEPT_THROUGH_NODE,1,0,1462,0.0006839945280437756,0.0
episode,initial_region x resolution,initial_region,FAR_BELOW,resolution,NODE_RETIRED,29,0,1462,0.019835841313269494,0.0
episode,initial_region x resolution,initial_region,FAR_BELOW,resolution,RECLAIM_AFTER_BREAK,1,0,1462,0.0006839945280437756,0.0
episode,initial_region x resolution,initial_region,FAR_BELOW,resolution,REJECT_TO_ORIGIN,1,1,1462,0.0006839945280437756,1.0
episode,initial_region x resolution,initial_region,FAR_BELOW,resolution,TIMEOUT,14,2,1462,0.009575923392612859,0.14285714285714285
episode,initial_region x resolution,initial_region,FAR_BELOW,resolution,TRANSIT_TO_NEXT_NODE,1,0,1462,0.0006839945280437756,0.0
episode,initial_region x resolution,initial_region,MEDIAN_CORE,resolution,ACCEPT_AND_FAIL_RETEST,6,3,1462,0.004103967168262654,0.5
episode,initial_region x resolution,initial_region,MEDIAN_CORE,resolution,ACCEPT_AND_HOLD_RETEST,15,0,1462,0.010259917920656635,0.0
episode,initial_region x resolution,initial_region,MEDIAN_CORE,resolution,ACCEPT_THROUGH_NODE,3,0,1462,0.002051983584131327,0.0
episode,initial_region x resolution,initial_region,MEDIAN_CORE,resolution,NODE_RETIRED,489,1,1462,0.3344733242134063,0.002044989775051125
episode,initial_region x resolution,initial_region,MEDIAN_CORE,resolution,NONE,1,1,1462,0.0006839945280437756,1.0
episode,initial_region x resolution,initial_region,MEDIAN_CORE,resolution,RECLAIM_AFTER_BREAK,32,0,1462,0.02188782489740082,0.0
episode,initial_region x resolution,initial_region,MEDIAN_CORE,resolution,REJECT_TO_ORIGIN,6,3,1462,0.004103967168262654,0.5
episode,initial_region x resolution,initial_region,MEDIAN_CORE,resolution,RETURN_TO_SOURCE_NODE,13,0,1462,0.008891928864569083,0.0
episode,initial_region x resolution,initial_region,MEDIAN_CORE,resolution,TIMEOUT,222,1,1462,0.1518467852257182,0.0045045045045045045
episode,initial_region x resolution,initial_region,MEDIAN_CORE,resolution,TRANSIT_TO_NEXT_NODE,61,3,1462,0.041723666210670314,0.04918032786885246
