run_key	expansion_id	origin_compression_id	destination_compression_id	origin_time	terminal_time	terminal_reason_code	terminal_reason	direction	sample_count	origin_seed_frontier	origin_containment_frontier	origin_terminal_price	origin_mid	origin_atr	terminal_price	max_displacement	opposite_displacement	return_depth	close_path_length
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	1	1	2	1785734700	1785741000	4	HANDOFF_TO_COMPRESSION	1	22	28515.1651031047076685	28561.2000000000007276	28520.0999999999985448	28474.1199999999953434	40.4787304160165605	28542.0999999999985448	53.5000000000000000	0.0000000000000000	31.5000000000000000	185.3999999999941793
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	2	2	3	1785751500	1785797100	4	HANDOFF_TO_COMPRESSION	-1	153	28502.6210630016539654	28444.5999999999985449	28493.7000000000007276	28542.1250000000000000	38.0546606302653316	28793.5999999999985449	232.2999999999992724	338.3999999999978172	532.1999999999970896	2607.7000000000080036
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	3	3	4	1785820500	1785826800	4	HANDOFF_TO_COMPRESSION	1	22	28827.3544273472398345	28928.2999999999992724	28851.2000000000007276	28790.9449999999997090	34.6359791937819637	28865.5000000000000000	26.2999999999992724	27.7000000000007276	12.0000000000000000	252.8999999999978173
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	4	4	5	1785833400	1785839700	4	HANDOFF_TO_COMPRESSION	1	22	28889.2212608615081990	28955.0000000000000000	28939.9000000000014552	28855.0100000000020373	33.5554186735151703	28968.4000000000014552	44.5999999999985449	4.5000000000000000	16.0999999999985448	215.8999999999941793
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	5	5	6	1785852600	1785860100	4	HANDOFF_TO_COMPRESSION	1	26	28990.6973899843724212	29029.9000000000014552	29024.7999999999992725	28957.6650000000008732	32.2521183188850742	29105.2999999999992724	95.5000000000000000	0.0000000000000000	15.0000000000000000	245.4999999999927241
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	6	6	7	1785862800	1785896100	4	HANDOFF_TO_COMPRESSION	1	100	29130.0833943787292810	29383.2999999999992724	29365.5999999999985449	29098.4049999999988359	32.3637915974801445	29726.0999999999985448	463.4000000000014552	0.0000000000000000	102.9000000000014552	1622.5000000000218279
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	7	7	8	1785906900	1785913200	4	HANDOFF_TO_COMPRESSION	1	22	29735.8054681635330781	29770.7000000000007276	29756.5000000000000000	29703.8799999999937427	31.3380499302441322	29768.4000000000014552	15.5999999999985449	27.5999999999985449	3.6999999999970897	163.2999999999883585
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	8	8	9	1785918300	1785924600	4	HANDOFF_TO_COMPRESSION	1	22	29784.8242829184491712	29831.4000000000014552	29819.5999999999985449	29754.1800000000002911	30.1124157847378768	29832.0999999999985448	45.0000000000000000	12.1999999999970896	32.5000000000000000	255.0999999999912689
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	9	9	10	1785927300	1785936600	4	HANDOFF_TO_COMPRESSION	-1	32	29810.1186834220025048	29767.9000000000014552	29784.7000000000007276	29839.8299999999944703	29.5840915594088401	29749.9000000000014552	96.2999999999992724	19.2000000000007276	61.5000000000000000	369.3999999999978172
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	10	10	11	1785940200	1785946500	4	HANDOFF_TO_COMPRESSION	1	22	29766.1760908004107478	29810.2999999999992724	29807.9000000000014552	29737.0300000000061118	29.0308094164868216	29798.9000000000014552	15.2999999999992724	23.5000000000000000	24.2999999999992724	222.5999999999985449
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	11	11	12	1785948900	1785965700	4	HANDOFF_TO_COMPRESSION	1	57	29834.5069572171487380	29954.7000000000007276	29931.2000000000007276	29805.7400000000016008	29.4687040135065637	29619.4000000000014552	0.0000000000000000	328.5000000000000000	311.7999999999992725	1132.8000000000211003
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	12	12	13	1785970800	1786002000	4	HANDOFF_TO_COMPRESSION	-1	93	29609.3546800954645733	29428.0000000000000000	29478.0999999999985448	29640.5049999999973807	31.1922875767852830	29436.0000000000000000	124.1999999999970896	69.3000000000029104	82.0999999999985448	1306.5000000000145520
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	13	13	14	1786010400	1786024200	4	HANDOFF_TO_COMPRESSION	-1	47	29412.1129561873349303	29364.9000000000014552	29398.0000000000000000	29442.5350000000034925	30.1101220436995121	29355.4000000000014552	69.0999999999985448	41.2999999999992724	26.5000000000000000	543.1999999999970896
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	14	14	\N	1786029300	1786060800	6	TEST_END_CENSORED	-1	105	29348.1367485005430353	29245.5999999999985449	29275.2999999999992724	29377.6349999999983993	29.6733488618378161	29383.7000000000007276	60.0000000000000000	280.7000000000007276	168.4000000000014552	2264.5999999999912689
