run_key	bar_time	structure_snapshot_hash	regional_basis_hash	structure_generation	reference_price	reference_atr	median_price	mean_price	structural_sigma	cog_price	price_region_code	nearest_node_id	nearest_node_lower	nearest_node_price	nearest_node_upper	nearest_node_region_code	node_contact
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	1785718800	10110464163710537908	15301716398731805785	2	28496.9000000000014552	56.4769999999990944	28188.1166666666686069	28161.0109409740216506	867.5953162611345988	28270.1587042058708903	0	3049895238182117834	28495.0000000000000000	28508.4666666666671518	28509.5000000000000000	0	1
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	1785719100	17469671380842073539	12788959418135737749	3	28485.0999999999985448	56.6449999999990866	28188.1166666666686069	28161.0078761048898741	867.5918699612327601	28270.2314547660025710	0	4433766065201710491	28057.0000000000000000	29136.5573115858023812	30188.7999999999956345	1	1
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	1785719400	1512823308968507130	16998991878898047616	4	28505.9000000000014552	56.8989999999990630	28188.1166666666686069	28161.5656003781223263	867.8173757151365635	28270.3183051343949046	0	3049895238182117834	28506.0999999999985448	28515.7166666666671518	28524.0000000000000000	0	1
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	1785719700	17722897607493253015	16998991878898047616	5	28478.9000000000014552	57.2449999999990453	28188.1166666666686069	28161.5654468934153556	867.8172032753375334	28270.4012871864360932	0	4433766065201710491	28057.0000000000000000	29136.5557318366190885	30188.7999999999956345	1	1
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	1785720000	13760122644309204516	16998991878898047616	6	28495.4000000000014552	57.1239999999990218	28188.1166666666686069	28161.5654767744636047	867.8172368466194940	28270.4824739935684193	0	4433766065201710491	28057.0000000000000000	29136.5561202902390506	30188.7999999999956345	1	1
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	1785720300	17771767896521615052	16998991878898047616	7	28496.4000000000014552	57.2079999999990392	28188.1166666666686069	28161.5655042559192225	867.8172677219776006	28270.5571411134951632	0	4433766065201710491	28057.0000000000000000	29136.5564775491875480	30188.7999999999956345	1	1
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	1785720600	17953890900004633762	16998991878898047616	8	28497.5999999999985449	57.1409999999990674	28188.1166666666686069	28161.5655259964769357	867.8172921474520081	28270.6162102049202077	0	4433766065201710491	28057.0000000000000000	29136.5567601764159918	30188.7999999999956345	1	1
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	1785720900	16232209161277348323	16998991878898047616	9	28496.0000000000000000	56.9329999999990406	28188.1166666666686069	28161.5655450061458396	867.8173135047876486	28270.6678594826917106	0	4433766065201710491	28057.0000000000000000	29136.5570073021481222	30188.7999999999956345	1	1
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	1785721200	1204370108905891793	16998991878898047616	10	28481.5999999999985449	56.8499999999990493	28188.1166666666686069	28161.5655674750123581	867.8173387485318245	28270.7289074001782865	0	4433766065201710491	28057.0000000000000000	29136.5572993974456040	30188.7999999999956345	1	1
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	1785721500	15355602026458144850	16998991878898047616	11	28471.4000000000014552	56.7529999999990765	28188.1166666666686069	28161.5655879644327797	867.8173617683694375	28270.7845771455868090	0	17663865864591188885	28437.9000000000014552	28447.5111111111145875	28476.2000000000007276	0	1
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	1785721800	6856782398932986960	16998991878898047616	12	28468.0999999999985448	56.3729999999990739	28188.1166666666686069	28161.5656080379194464	867.8173843209111738	28270.8391167997688172	0	17663865864591188885	28437.9000000000014552	28447.5111111111145875	28476.2000000000007276	0	1
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	1785722100	10834242471888752054	9360227072420791951	13	28452.5000000000000000	56.4139999999990991	28188.1166666666686069	28161.0530090237007244	867.0933538296308143	28268.5341582184883010	0	17663865864591188885	28437.9000000000014552	28447.5111111111145875	28476.2000000000007276	0	1
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	1785722400	17267908696458275975	9360227072420791951	14	28460.2999999999992724	56.2869999999990896	28188.1166666666686069	28161.0530288546578959	867.0933759244758221	28268.5888123402291968	0	17663865864591188885	28437.9000000000014552	28447.5111111111145875	28476.2000000000007276	0	1
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	1785722700	9096672432658495405	11607125495100880347	15	28435.7999999999992725	56.4449999999991192	28188.1166666666686069	28161.0500724385929061	867.0900820602176964	28268.6409296665879083	0	4433766065201710491	28057.0000000000000000	29127.0947528128890554	30188.7999999999956345	1	1
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	1785723000	2351672970790546972	4921674891462020258	16	28440.0999999999985448	56.1849999999991567	28188.1166666666686069	28161.0474414536183758	867.0871508632685618	28268.6899350750063605	0	17663865864591188885	28437.9000000000014552	28447.5111111111145875	28476.2000000000007276	0	1
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	1785723300	13743050506055770568	4921674891462020258	17	28444.5000000000000000	56.0339999999992102	28188.1166666666686069	28161.0474556821136503	867.0871667150939857	28268.7291488072041830	0	17663865864591188885	28437.9000000000014552	28447.5111111111145875	28476.2000000000007276	0	1
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	1785723600	1423574899182956573	4921674891462020258	18	28472.9000000000014552	56.0309999999992172	28188.1166666666686069	28161.0474756126386637	867.0871889194937694	28268.7840773230564083	0	17663865864591188885	28437.9000000000014552	28447.5111111111145875	28476.2000000000007276	0	1
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	1785723900	3646584014046349769	4921674891462020258	19	28469.5000000000000000	55.9179999999992604	28188.1166666666686069	28161.0474892254605948	867.0872040854134184	28268.8215942704518966	0	17663865864591188885	28437.9000000000014552	28447.5111111111145875	28476.2000000000007276	0	1
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	1785724200	740823189229596298	4921674891462020258	20	28472.0000000000000000	55.8859999999992497	28188.1166666666686069	28161.0475072641602310	867.0872241821589341	28268.8713089233315259	0	17663865864591188885	28437.9000000000014552	28447.5111111111145875	28476.2000000000007276	0	1
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	1785724500	49185120645219414	4921674891462020258	21	28463.7999999999992725	55.8379999999992549	28188.1166666666686069	28161.0475213530189649	867.0872398784296138	28268.9101378217710590	0	17663865864591188885	28437.9000000000014552	28447.5111111111145875	28476.2000000000007276	0	1
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	1785724800	3695649075811291520	4921674891462020258	22	28488.0000000000000000	55.9429999999992162	28188.1166666666686069	28161.0475413143249170	867.0872621171429273	28268.9651511813426624	0	4433766065201710491	28057.0000000000000000	29127.0618481973906455	30188.7999999999956345	1	1
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	1785725100	18316168480742154920	4921674891462020258	23	28486.5999999999985449	55.9969999999991970	28188.1166666666686069	28161.0475722855371714	867.0872966219055797	28269.0505078442693048	0	4433766065201710491	28057.0000000000000000	29127.0622508231608663	30188.7999999999956345	1	1
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	1785725400	3150650708609663333	4921674891462020258	24	28473.4000000000014552	54.8959999999992121	28188.1166666666686069	28161.0476178927892761	867.0873474325735515	28269.1762014267624181	0	17663865864591188885	28437.9000000000014552	28447.5111111111145875	28476.2000000000007276	0	1
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	1785725700	16053028299351678427	2947198576972692345	25	28495.7999999999992725	53.6539999999992432	28137.6708333333335759	28137.2838276710426726	898.5931652335308400	28266.6602519854823186	0	4433766065201710491	28057.0000000000000000	29130.0275209414794517	30188.7999999999956345	1	1
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	1785726000	1293997749701648774	10840781803663406623	26	28455.2999999999992724	52.5629999999992564	28137.6708333333335759	28137.6726902938353306	899.0235935683734851	28266.7665404701947410	0	4433766065201710491	28057.0000000000000000	29134.6938724149367773	30188.7999999999956345	1	1
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	1785726300	15197737711854546263	8107374595147294166	27	28479.5999999999985449	51.4749999999992270	28137.6708333333335759	28138.4087345229017956	898.7820928159869709	28266.8666227193716623	0	4433766065201710491	28057.0000000000000000	29134.6943489970763040	30188.7999999999956345	1	1
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	1785726600	11132332182091502081	8107374595147294166	28	28492.4000000000014552	50.7619999999992331	28137.6708333333335759	28138.4087740657232644	898.7821366485810586	28266.9662706262606662	0	4433766065201710491	28057.0000000000000000	29134.6948235109193775	30188.7999999999956345	1	1
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	1785726900	17976230163383213813	5247568283764275627	29	28482.5999999999985449	50.1069999999992319	28137.6708333333335759	28138.4088193439711177	898.7821868388281246	28267.0803718136739917	0	4433766065201710491	28057.0000000000000000	29134.6953668499045307	30188.7999999999956345	1	1
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	1785727200	16669398531145397775	5247568283764275627	30	28462.0000000000000000	48.9389999999992398	28137.6708333333335759	28138.4088591665022250	898.7822309815101108	28267.1807245827294537	0	4433766065201710491	28057.0000000000000000	29134.6958447202341632	30188.7999999999956345	1	1
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	1785727500	1132222442725412895	12503455089335583463	31	28436.7999999999992725	47.9599999999992264	28137.6708333333335759	28138.4059912188131421	898.7790519480693093	28267.2534964175283676	0	4433766065201710491	28057.0000000000000000	29134.6614293480197376	30188.7999999999956345	1	1
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	1785727800	17826111235464424578	12503455089335583463	32	28466.0000000000000000	47.5069999999992306	28137.6708333333335759	28138.4060310207314615	898.7790960666810634	28267.3537972483136400	0	4433766065201710491	28057.0000000000000000	29134.6619069710250188	30188.7999999999956345	1	1
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	1785728100	1900669113392449176	8592202011002069170	33	28481.0000000000000000	46.4959999999992065	28352.4638888888875954	28249.3612060790765099	903.2061918722024530	28267.4487740467266122	0	13820194419781003879	28057.0000000000000000	28684.0714198293208028	29199.0666666666620586	0	1
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	1785728400	12562682446528883003	8592202011002069170	34	28466.0000000000000000	45.9749999999992198	28352.4638888888875954	28249.3612665359687526	903.2062209699344067	28267.5444168492540485	0	13820194419781003879	28057.0000000000000000	28684.0722662258049240	29199.0666666666620586	0	1
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	1785728700	381650752332680377	8592202011002069170	35	28499.4000000000014552	45.5019999999991925	28352.4638888888875954	28249.3613254065749061	903.2062493042403730	28267.6375501456932398	0	13820194419781003879	28057.0000000000000000	28684.0730904142692452	29199.0666666666620586	0	1
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	1785729000	2781147943311571796	8592202011002069170	36	28496.5000000000000000	45.2109999999991672	28352.4638888888875954	28249.3613847471315239	903.2062778647830328	28267.7314269062335371	0	13820194419781003879	28057.0000000000000000	28684.0739211820618948	29199.0666666666620586	0	1
RG3_USTEC_PERIOD_M5_1785715200_1786060800_7485449445728991300	1785729300	13832709486978458579	12928754547378340265	37	28505.4000000000014552	44.8619999999991493	28351.2972222222233541	28248.8971212481083058	903.0144547904274077	28265.1150358528029756	0	13820194419781003879	28057.0000000000000000	28679.9075655291599106	29199.0666666666620586	0	1
