object_kind	run_key	canonical_instrument	object_id	terminal_reason_code	censored	eligible	representation	candidate_id
COMPRESSION	RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	DE40	1	1	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	DE40	2	1	0	1	summary_geometry_v1	C2
COMPRESSION	RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	DE40	3	2	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	DE40	4	1	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	DE40	5	1	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	DE40	6	1	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	DE40	7	2	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	DE40	8	2	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	DE40	9	1	0	1	summary_geometry_v1	C2
COMPRESSION	RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	DE40	10	2	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	DE40	11	2	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252	DE40	12	6	1	0	summary_geometry_v1	\N
COMPRESSION	RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	FRA40	1	1	0	1	summary_geometry_v1	C1
COMPRESSION	RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	FRA40	2	2	0	1	summary_geometry_v1	C1
