"batch_id"	"window_id"	"instrument"	"attempt_tag"	"status"	"run_key"	"elapsed_seconds"	"recorded_at_utc"	"quarantine_path"
"BATCH_20260812T094401842Z"	"US30_20251215_EVENT_HEAVY"	"US30"	"F2_US30_20251215_EVT_A01"	"ADMITTED"	"RG2_US30_PERIOD_M5_1765756800_1766184900_14597027152545731016"	"74.78"	"2026-08-12T09:45:16.6263317Z"	"\N"
"BATCH_20260812T094521335Z"	"US500_20251201_PROLONGED_BALANCE"	"US500"	"F2_US500_20251201_BAL_A01"	"ADMITTED"	"RG2_US500_PERIOD_M5_1764547200_1764975300_7828061311987021760"	"38.798"	"2026-08-12T09:46:00.1403982Z"	"\N"
"BATCH_20260812T094605333Z"	"JPN225_20251229_QUIET"	"JPN225"	"F2_JPN225_20251229_QUT_A01"	"ADMITTED"	"RG2_JPN225_PERIOD_M5_1766966400_1767398100_17845446579741474672"	"22.016"	"2026-08-12T09:46:27.3537747Z"	"\N"
"BATCH_20260812T094632462Z"	"USTEC_20260413_DIRECTIONAL_EXPANSION_UP"	"USTEC"	"F2_USTEC_20260413_XUP_A02"	"QUARANTINED"	"\N"	"94.341"	"2026-08-12T09:48:06.8086547Z"	"C:\Users\shuga\OneDrive\Documents\ChatGPT\eas\furnace\quarantine\20260812T054806762Z__USTEC_20260413_DIRECTIONAL_EXPANSION_UP__F2_USTEC_20260413_XUP_A02"
"BATCH_20260812T095006931Z"	"USTEC_20260413_DIRECTIONAL_EXPANSION_UP"	"USTEC"	"F2_USTEC_20260413_XUP_A03"	"REPLAY_PASS"	"RG2_USTEC_PERIOD_M5_1776038400_1776466500_3632165528533734308"	"95.703"	"2026-08-12T09:51:42.7002306Z"	"\N"
"BATCH_20260812T124345198Z"	"DE40_20260413_DIRECTIONAL_EXPANSION_UP"	"DE40"	"F2_DE40_20260413_XUP_A01"	"ADMITTED"	"RG2_DE40_PERIOD_M5_1776038400_1776462900_3312069574877448041"	"36.637"	"2026-08-12T12:44:21.9133503Z"	"\N"
"BATCH_20260812T124450297Z"	"FRA40_20251201_PROLONGED_BALANCE"	"FRA40"	"F2_FRA40_20251201_BAL_A01"	"ADMITTED"	"RG2_FRA40_PERIOD_M5_1764547200_1764978900_5546118285371728057"	"30.968"	"2026-08-12T12:45:21.3158098Z"	"\N"
"BATCH_20260812T124522097Z"	"JPN225_20260713_DIRECTIONAL_EXPANSION_DOWN"	"JPN225"	"F2_JPN225_20260713_XDN_A01"	"ADMITTED"	"RG2_JPN225_PERIOD_M5_1783900800_1784332500_15138704202311374725"	"60.272"	"2026-08-12T12:46:22.4024793Z"	"\N"
"BATCH_20260812T124623164Z"	"US30_20260413_DIRECTIONAL_EXPANSION_UP"	"US30"	"F2_US30_20260413_XUP_A01"	"ADMITTED"	"RG2_US30_PERIOD_M5_1776038400_1776466500_16278752941905126714"	"43.682"	"2026-08-12T12:47:06.8868257Z"	"\N"
"BATCH_20260812T124707648Z"	"US500_20260601_DIRECTIONAL_EXPANSION_DOWN"	"US500"	"F2_US500_20260601_XDN_A01"	"ADMITTED"	"RG2_US500_PERIOD_M5_1780272000_1780700100_8888579981882631925"	"46.605"	"2026-08-12T12:47:54.2985222Z"	"\N"
"BATCH_20260812T124755055Z"	"USTEC_20260105_PROLONGED_BALANCE"	"USTEC"	"F2_USTEC_20260105_BAL_A01"	"ADMITTED"	"RG2_USTEC_PERIOD_M5_1767571200_1767999300_9581645730247380597"	"116.045"	"2026-08-12T12:49:51.1433054Z"	"\N"
