run_key	expansion_id	origin_compression_id	destination_compression_id	origin_time	terminal_time	terminal_reason_code	terminal_reason	direction	sample_count	origin_seed_frontier	origin_containment_frontier	origin_terminal_price	origin_mid	origin_atr	terminal_price	max_displacement	opposite_displacement	return_depth	close_path_length
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	1	1	2	1781507100	1781513400	4	HANDOFF_TO_COMPRESSION	-1	22	69532.8352363637823146	69250.0000000000000000	69287.0000000000000000	69665.4499999999970896	132.1344011363366917	69308.0000000000000000	77.0000000000000000	146.0000000000000000	98.0000000000000000	933.0000000000000000
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	2	2	3	1781523300	1781530800	4	HANDOFF_TO_COMPRESSION	1	26	69456.7551270879048389	69633.0000000000000000	69478.0000000000000000	69326.0500000000029104	128.3957494621714091	69273.0000000000000000	0.0000000000000000	280.0000000000000000	205.0000000000000000	933.0000000000000000
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	3	3	4	1781550300	1781556600	4	HANDOFF_TO_COMPRESSION	1	22	69390.8330837840330788	69647.0000000000000000	69637.0000000000000000	69265.4499999999970896	118.8508821323009528	69695.0000000000000000	93.0000000000000000	0.0000000000000000	35.0000000000000000	390.0000000000000000
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	4	4	5	1781574000	1781586900	4	HANDOFF_TO_COMPRESSION	-1	44	69568.7564407234604005	69336.0000000000000000	69420.0000000000000000	69684.7500000000000000	110.3296911612266769	69278.0000000000000000	226.0000000000000000	228.0000000000000000	84.0000000000000000	2690.0000000000000000
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	5	5	6	1781592600	1781610000	4	HANDOFF_TO_COMPRESSION	1	59	69400.1125178969668923	70075.0000000000000000	69715.0000000000000000	69287.3999999999941793	112.9122800475329456	69629.0000000000000000	100.0000000000000000	396.0000000000000000	186.0000000000000000	2708.0000000000000000
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	6	6	7	1781622900	1781644500	4	HANDOFF_TO_COMPRESSION	1	73	69758.8658679309446598	69869.0000000000000000	69774.0000000000000000	69647.6000000000058208	106.9725769953334976	69367.0000000000000000	242.0000000000000000	513.0000000000000000	649.0000000000000000	3305.0000000000000000
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	7	7	8	1781650800	1781660700	4	HANDOFF_TO_COMPRESSION	-1	22	69260.5965075783751673	69063.0000000000000000	69114.0000000000000000	69365.0500000000029104	102.9901644502397318	69102.0000000000000000	63.0000000000000000	37.0000000000000000	51.0000000000000000	356.0000000000000000
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	8	8	9	1781667300	1781676000	4	HANDOFF_TO_COMPRESSION	1	30	69200.1257846477092244	69712.0000000000000000	69557.0000000000000000	69099.6999999999970897	102.3370397142208077	69898.0000000000000000	423.0000000000000000	91.0000000000000000	82.0000000000000000	1229.0000000000000000
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	9	9	10	1781680200	1781688900	4	HANDOFF_TO_COMPRESSION	1	30	70008.2789402381458786	70208.0000000000000000	70085.0000000000000000	69906.1999999999970896	101.9783352965218058	69973.0000000000000000	0.0000000000000000	369.0000000000000000	112.0000000000000000	1362.0000000000000000
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	10	10	11	1781696400	1781707500	4	HANDOFF_TO_COMPRESSION	-1	38	69919.5226179540331942	69721.0000000000000000	69778.0000000000000000	70021.2500000000000000	100.1943907505116016	70033.0000000000000000	6.0000000000000000	255.0000000000000000	261.0000000000000000	1041.0000000000000000
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	11	11	12	1781710500	1781727000	4	HANDOFF_TO_COMPRESSION	1	56	70086.1425460462924093	70286.0000000000000000	70237.0000000000000000	69988.8500000000058208	96.7512409520822985	70688.0000000000000000	539.0000000000000000	119.0000000000000000	88.0000000000000000	2719.0000000000000000
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	12	12	13	1781732100	1781772300	4	HANDOFF_TO_COMPRESSION	-1	123	70609.8744418395508547	70023.0000000000000000	70608.0000000000000000	70706.3999999999941793	99.0457068018881444	71277.0000000000000000	849.0000000000000000	814.0000000000000000	1518.0000000000000000	9617.0000000000000000
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	13	13	14	1781779500	1781807400	4	HANDOFF_TO_COMPRESSION	1	94	71373.9012735639262246	71489.0000000000000000	71464.0000000000000000	71262.8999999999941793	110.5299288202341899	71729.0000000000000000	405.0000000000000000	280.0000000000000000	140.0000000000000000	4169.0000000000000000
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	14	14	15	1781811300	1781817600	4	HANDOFF_TO_COMPRESSION	1	22	71869.2855963914189488	72093.0000000000000000	72083.0000000000000000	71761.2500000000000000	107.5579243896081608	72133.0000000000000000	50.0000000000000000	119.0000000000000000	0.0000000000000000	532.0000000000000000
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	15	15	16	1781831400	1781872200	4	HANDOFF_TO_COMPRESSION	-1	136	71961.0917461893113796	71808.0000000000000000	71819.0000000000000000	72066.3500000000058208	102.4262817678270210	71916.0000000000000000	1026.0000000000000000	391.0000000000000000	1123.0000000000000000	7455.0000000000000000
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	16	16	17	1781877900	1781889900	4	HANDOFF_TO_COMPRESSION	-1	41	71719.8545854734111345	71567.0000000000000000	71611.0000000000000000	71824.3000000000029104	103.0966232804637315	72075.0000000000000000	0.0000000000000000	524.0000000000000000	464.0000000000000000	1552.0000000000000000
