run_key	compression_id	start_time	confirm_time	terminal_time	terminal_reason_code	terminal_reason	direction	escape_count	sample_count	seed_top	seed_bottom	seed_mid	terminal_contain_top	terminal_contain_bottom	terminal_contain_mid
RG3_USTEC_PERIOD_M5_1777852800_1778457600_2749301626223637730	1	1777857600	1777863300	1777867800	1	CLOSED_UP	1	2	16	27741.7654452149217832	27697.1245547850921867	27719.4450000000069849	27780.7000000000007276	27684.5000000000000000	27732.5999999999985449
RG3_USTEC_PERIOD_M5_1777852800_1778457600_2749301626223637730	2	1777873200	1777878900	1777888200	2	CLOSED_DOWN	-1	2	32	27835.7922286936627643	27792.3877713063520787	27814.0900000000074215	27848.2999999999992724	27755.2999999999992724	27801.7999999999992725
RG3_USTEC_PERIOD_M5_1777852800_1778457600_2749301626223637730	3	1777893600	1777899300	1777901400	2	CLOSED_DOWN	-1	1	8	27807.8368370026655612	27766.4131629973198870	27787.1249999999927241	27807.8368370026655612	27545.5000000000000000	27676.6684185013327806
RG3_USTEC_PERIOD_M5_1777852800_1778457600_2749301626223637730	4	1777931700	1777937400	1777956000	1	CLOSED_UP	1	3	51	27670.6572940751502757	27622.9527059248575824	27646.8050000000039291	27712.0999999999985448	27614.7999999999992725	27663.4499999999970896
RG3_USTEC_PERIOD_M5_1777852800_1778457600_2749301626223637730	5	1777956600	1777962300	1777975200	1	CLOSED_UP	1	5	44	27728.9464928352717834	27684.1735071647235600	27706.5599999999976717	27781.4000000000014552	27684.1735071647235600	27732.7867535823606886
RG3_USTEC_PERIOD_M5_1777852800_1778457600_2749301626223637730	6	1777979400	1777985100	1777995300	1	CLOSED_UP	1	3	35	27832.2376806887004932	27790.2023193113018351	27811.2200000000011642	27887.9000000000014552	27782.0999999999985448	27835.0000000000000000
RG3_USTEC_PERIOD_M5_1777852800_1778457600_2749301626223637730	7	1778013900	1778019600	1778030400	1	CLOSED_UP	1	3	25	28071.7352245833499183	28030.6147754166486266	28051.1749999999992724	28157.0000000000000000	27988.9000000000014552	28072.9500000000007276
RG3_USTEC_PERIOD_M5_1777852800_1778457600_2749301626223637730	8	1778039400	1778045100	1778050500	1	CLOSED_UP	1	1	19	28190.8211606499498885	28149.4888393500477833	28170.1549999999988359	28217.0000000000000000	28145.0000000000000000	28181.0000000000000000
RG3_USTEC_PERIOD_M5_1777852800_1778457600_2749301626223637730	9	1778051100	1778056800	1778069100	1	CLOSED_UP	1	2	42	28236.1765314941731049	28196.3334685058216565	28216.2549999999973807	28398.7999999999992725	28182.9000000000014552	28290.8499999999985449
RG3_USTEC_PERIOD_M5_1777852800_1778457600_2749301626223637730	10	1778115600	1778121300	1778139600	1	CLOSED_UP	1	6	62	28580.6311418441291608	28537.2888581558763690	28558.9600000000027650	28598.0999999999985448	28519.4000000000014552	28558.7500000000000000
RG3_USTEC_PERIOD_M5_1777852800_1778457600_2749301626223637730	11	1778152500	1778158200	1778174400	1	CLOSED_UP	1	7	55	28647.1352550702067674	28606.3347449297871208	28626.7349999999969441	28779.0999999999985448	28576.7000000000007276	28677.9000000000014552
RG3_USTEC_PERIOD_M5_1777852800_1778457600_2749301626223637730	12	1778212500	1778218200	1778229000	1	CLOSED_UP	1	3	37	28668.1501799398720323	28622.3698200601465942	28645.2600000000093133	28713.9000000000014552	28595.2000000000007276	28654.5500000000029104
RG3_USTEC_PERIOD_M5_1777852800_1778457600_2749301626223637730	13	1778229600	1778235300	1778239800	1	CLOSED_UP	1	1	16	28725.1410362808856007	28681.1589637191027578	28703.1499999999941792	28753.9000000000014552	28681.1589637191027578	28717.5294818595502875
RG3_USTEC_PERIOD_M5_1777852800_1778457600_2749301626223637730	14	1778244900	1778250600	1778255700	1	CLOSED_UP	1	3	18	28778.5113252043156536	28736.2086747956927866	28757.3600000000042201	28860.5000000000000000	28736.2086747956927866	28798.3543373978463933
RG3_USTEC_PERIOD_M5_1777852800_1778457600_2749301626223637730	15	1778270400	1778276100	1778457600	6	TEST_END_CENSORED	0	3	17	29192.8476103392858932	29148.2823896607333154	29170.5650000000096043	29224.2999999999992724	29123.2000000000007276	29173.7500000000000000
