run_key	bar_time	structure_snapshot_hash	regional_basis_hash	structure_generation	reference_price	reference_atr	median_price	mean_price	structural_sigma	cog_price	price_region_code	nearest_node_id	nearest_node_lower	nearest_node_price	nearest_node_upper	nearest_node_region_code	node_contact
RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142	1768179600	4210949887694390242	11961691693451360712	2	6955.8000000000001819	4.9859999999999864	6898.8223871347972818	6866.3247036913580814	120.7666667111873835	6903.1921579529116571	0	2652694191219869500	6829.6000000000003638	6898.8223871347972818	6961.6666666666660604	0	1
RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142	1768179900	17090134460642014429	11961691693451360712	3	6961.6000000000003638	5.0309999999999864	6898.8225759335227850	6866.3247306626044520	120.7666739690277354	6903.2289737046048686	1	2652694191219869500	6829.6000000000003638	6898.8225759335227850	6961.6666666666660604	0	1
RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142	1768180200	4866317744183632	11961691693451360712	4	6960.5000000000000000	5.0429999999999842	6898.8227345593586506	6866.3247533234380171	120.7666800669831134	6903.2599057425341016	1	2652694191219869500	6829.6000000000003638	6898.8227345593586506	6961.6666666666660604	0	1
RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142	1768180500	8985512794436668679	11961691693451360712	5	6958.1000000000003638	5.0899999999999919	6898.8228802873763926	6866.3247741417262660	120.7666856691378286	6903.2883227059401179	0	2652694191219869500	6829.6000000000003638	6898.8228802873763926	6961.6666666666660604	0	1
RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142	1768180800	10315483613901635836	11961691693451360712	6	6960.6000000000003638	5.0889999999999978	6898.8229635839816183	6866.3247860412420778	120.7666888712802092	6903.3045655440319024	1	2652694191219869500	6829.6000000000003638	6898.8229635839816183	6961.6666666666660604	0	1
RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142	1768181100	3950689314937664741	11961691693451360712	7	6960.8999999999996363	5.0819999999999901	6898.8230048961531793	6866.3247919429795729	120.7666904594322120	6903.3126214174080815	1	2652694191219869500	6829.6000000000003638	6898.8230048961531793	6961.6666666666660604	0	1
RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142	1768181400	16857460010273234996	17122528457841180387	8	6961.3999999999996362	5.0819999999999990	6899.1484745125526388	6866.3712876024655998	120.7792554509637029	6903.3276711278167568	1	2652694191219869500	6829.6000000000003638	6899.1484745125526388	6962.6000000000003638	0	1
RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142	1768181700	16158418058814946304	17122528457841180387	9	6960.3999999999996362	5.0519999999999987	6899.1485238344330355	6866.3712946484492932	120.7792573631103324	6903.3373382163481438	1	2652694191219869500	6829.6000000000003638	6899.1485238344330355	6962.6000000000003638	0	1
RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142	1768182000	11796247458281412705	17122528457841180387	10	6960.8000000000001819	5.0309999999999953	6899.1485699789991486	6866.3713012405296468	120.7792591520787227	6903.3463825512799304	1	2652694191219869500	6829.6000000000003638	6899.1485699789991486	6962.6000000000003638	0	1
RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142	1768182300	5560122729919183342	17122528457841180387	11	6960.8999999999996363	5.0130000000000026	6899.1486489585377058	6866.3713125233207393	120.7792622140237882	6903.3618625408516891	1	2652694191219869500	6829.6000000000003638	6899.1486489585377058	6962.6000000000003638	0	1
RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142	1768182600	17706186499304526100	17122528457841180387	12	6960.8999999999996363	4.9490000000000062	6899.1487329440997201	6866.3713245212584298	120.7792654700534456	6903.3783237108864342	1	2652694191219869500	6829.6000000000003638	6899.1487329440997201	6962.6000000000003638	0	1
RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142	1768182900	4926130282192151682	13303443633269293757	13	6959.3999999999996362	4.9280000000000026	6899.7733558820891631	6866.4605563695422462	120.8036767606566145	6903.3511313211492962	0	2652694191219869500	6829.6000000000003638	6899.7733558820891631	6962.6000000000003638	0	1
RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142	1768183200	9851155731856965015	13303443633269293757	14	6957.8999999999996363	4.9110000000000040	6899.7735973487024240	6866.4605908647727120	120.8036862730841535	6903.3989417105221947	0	2652694191219869500	6829.6000000000003638	6899.7735973487024240	6962.6000000000003638	0	1
RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142	1768183500	3038539384757596786	17323664455037654054	15	6956.3000000000001819	4.9269999999999988	6900.0418860718118594	6866.4989178252171769	120.8142913875038716	6903.4619949579164314	0	2652694191219869500	6829.6000000000003638	6900.0418860718118594	6962.6000000000003638	0	1
RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142	1768183800	137643381865548971	17323664455037654054	16	6953.8999999999996363	4.9169999999999900	6900.0420937899243654	6866.4989474992335091	120.8142996262409810	6903.5033308623314952	0	2652694191219869500	6829.6000000000003638	6900.0420937899243654	6962.6000000000003638	0	1
RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142	1768184100	3524116543776193134	17323664455037654054	17	6955.3999999999996362	4.9219999999999900	6900.0412567029761703	6866.4988279153831173	120.8142664250700449	6903.5367505598378557	0	2652694191219869500	6829.6000000000003638	6900.0412567029761703	6962.6000000000003638	0	1
RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142	1768184400	11726492356936983992	17323664455037654054	18	6953.8999999999996363	4.9029999999999846	6900.0413216747383558	6866.4988371970630397	120.8142690020037407	6903.5496799404518243	0	2652694191219869500	6829.6000000000003638	6900.0413216747383558	6962.6000000000003638	0	1
