offset_minutes	aligned_minutes	aligned_returns	pearson	nonzero_sign_pairs	sign_agreement
-720	544	533	-0.003640346915936986	486	0.48148148148148145
-705	559	548	0.04021724973636055	497	0.5070422535211268
-690	574	563	-0.017965945873232646	512	0.4609375
-675	589	578	0.011585491582076994	526	0.49429657794676807
-660	604	593	0.00927114800733734	539	0.5324675324675324
-645	619	608	-0.032668743783638154	551	0.5045372050816697
-630	634	623	0.032695062835386444	564	0.526595744680851
-615	649	638	0.03915808826174915	579	0.5181347150259067
-600	664	653	-0.07658610118783778	590	0.49491525423728816
-585	679	668	-0.01550964239650807	607	0.4514003294892916
-570	694	683	-0.027285778936051813	621	0.4927536231884058
-555	709	698	0.07566575044819218	638	0.5517241379310345
-540	724	713	-0.043241680485445896	653	0.48545176110260335
-525	739	728	-0.021723672231189525	667	0.4947526236881559
-510	754	743	-0.005765130032888674	683	0.5241581259150805
-495	769	758	0.04751938216138555	695	0.5050359712230216
-480	784	773	-0.019140595226542545	710	0.49577464788732395
-465	799	788	0.007152323795199874	725	0.503448275862069
-450	814	803	-0.0606468937822324	738	0.45257452574525747
-435	829	818	0.012863085842451343	753	0.4913678618857902
-420	844	833	-0.012959669134733797	766	0.49738903394255873
-405	859	848	-0.022506521572107373	780	0.4897435897435897
-390	874	863	0.04143996602303213	793	0.5132408575031526
-375	889	878	-0.01186018265923071	806	0.49627791563275436
-360	904	893	-0.027121645268366083	821	0.47990255785627284
-345	919	908	0.0001327679238584751	838	0.5155131264916468
-330	934	923	-0.013116178953235205	854	0.4929742388758782
-315	949	938	-0.01160405962567645	869	0.5063291139240507
-300	964	953	0.0022562891377036548	881	0.4960272417707151
-285	979	968	-0.03696999447733918	896	0.4765625
-270	994	983	0.014270408474025243	910	0.4967032967032967
-255	1009	998	-0.05411149634123886	926	0.4740820734341253
-240	1024	1013	-0.016850147444338676	940	0.5191489361702127
-225	1039	1028	0.004171816677445091	952	0.48214285714285715
-210	1054	1043	0.004370230067695691	965	0.5067357512953368
-195	1069	1058	-0.05571527740936557	979	0.4770173646578141
-180	1084	1073	0.029129783942949794	995	0.5195979899497487
-165	1099	1088	-0.0010055268202278395	1010	0.4881188118811881
-150	1114	1103	-0.006075686993924251	1026	0.5107212475633528
-135	1129	1118	0.047211798563782145	1038	0.5173410404624278
-120	1143	1131	0.006308597503610573	1051	0.5023786869647955
-105	1158	1146	0.009499463815161797	1065	0.5023474178403756
-90	1173	1161	-0.037858113815913835	1080	0.4740740740740741
-75	1188	1176	0.0016693562408889424	1096	0.4972627737226277
-60	1203	1191	0.025936085575121413	1111	0.5085508550855086
-45	1218	1206	0.03306779381270328	1127	0.4906832298136646
-30	1233	1221	0.020609932942586395	1142	0.5096322241681261
-15	1248	1236	0.020648402203190055	1155	0.5151515151515151
0	1263	1251	0.016296667401279927	1169	0.49700598802395207
15	1263	1251	0.004746314049457103	1169	0.48502994011976047
30	1263	1251	-0.02288143367957557	1168	0.5196917808219178
45	1265	1255	0.00682882806122602	1172	0.4991467576791809
60	1270	1264	0.02693930102879221	1179	0.49872773536895676
75	1258	1254	0.09519587939954724	1171	0.5106746370623398
90	1243	1239	0.043315335560997086	1155	0.5246753246753246
105	1228	1224	0.007427534566983572	1144	0.5174825174825175
120	1213	1210	0.05287573218651335	1134	0.5044091710758377
135	1213	1210	-0.019981355354455006	1133	0.48455428067078554
150	1213	1210	-0.046008006532139274	1133	0.4907325684024713
165	1213	1210	0.0799609024244992	1136	0.5017605633802817
180	1214	1212	0.9978007785985417	1141	0.9894829097283085
195	1213	1210	0.0828189584257842	1137	0.5057167985927881
210	1213	1210	-0.04077200746096583	1140	0.5
225	1213	1210	-0.018498108413128215	1137	0.48548812664907653
240	1198	1195	0.0450065735016112	1125	0.5111111111111111
255	1183	1180	0.0043052825926911155	1108	0.5135379061371841
270	1168	1165	0.04574969461403173	1094	0.5319926873857403
285	1153	1150	0.09656431122763277	1081	0.5161887141535615
