run_key,instrument,episode_id,retired_node_id,candidate_node_id,retire_epoch,candidate_created_epoch,seconds_from_retire,created_during_three_miss_grace,gap_atr,center_gap_atr,family_overlap_mask,old_family_mask,candidate_family_mask,old_evidence_id,candidate_evidence_id
RG2_DE40_PERIOD_M5_1765756800_1766181300_3308521111094945957,DE40,15514121327576290214,17851863147829594694,5319041345667216505,1765905914.0,1765905915,1.0,False,0.0,0.15932914046107105,914,978,914,3551569704700469771,13025127476933035944
RG2_DE40_PERIOD_M5_1765756800_1766181300_3308521111094945957,DE40,5740652938215907542,2808125906201342454,8020715589918569593,1765905914.0,1765905915,1.0,False,0.0,0.22536687631023442,962,962,962,1384390121935595788,3065970385084690997
RG2_DE40_PERIOD_M5_1769990400_1770414900_2017222542755637715,DE40,523539121084394298,17943329319476297912,6076953145572315207,1770233359.0,1770233360,1.0,False,0.10422437673124652,0.21641274238227148,192,192,192,13829659451750844463,10443154893964567279
RG2_DE40_PERIOD_M5_1769990400_1770414900_2017222542755637715,DE40,13057857857187999442,994309942194747528,5904668620407804808,1770272472.0,1770272473,1.0,False,0.18482010842779695,0.2745194677180734,64,320,192,14521403987572602562,12159854220989419055
RG2_DE40_PERIOD_M5_1769990400_1770414900_2017222542755637715,DE40,6564122461417235041,13263775730323493972,276196239320217154,1770289539.0,1770289540,1.0,False,0.06294034758103079,0.18083607327376913,192,192,192,9863252137555041167,1632628535665269879
RG2_DE40_PERIOD_M5_1769990400_1770414900_2017222542755637715,DE40,4383948400852083625,276196239320217154,10524652394193875738,1770291749.0,1770291750,1.0,False,0.18852097130244755,0.2918322295805997,64,192,72,1632628535665269879,9852357127467490124
RG2_DE40_PERIOD_M5_1776038400_1776462900_3312069574877448041,DE40,4063397701141648799,9534562510019553813,10309444072693483904,1776229800.0,1776229200,-600.0,True,0.0,0.37479406919269126,978,978,978,434638358015332114,16163113517742730342
RG2_DE40_PERIOD_M5_1776038400_1776462900_3312069574877448041,DE40,12188260921284479318,12362946485429886760,4190930124380766073,1776240002.0,1776240003,1.0,False,0.1866666666666368,0.3005128205128504,64,80,192,11689009283621246730,8454871108040314255
RG2_FRA40_PERIOD_M5_1772409600_1772841300_6520811157212810975,FRA40,4044858670823191370,6364638003323423348,8175440196140339488,1772500319.0,1772500343,24.0,False,0.0,0.07500000000004547,10,74,10,7892680401296120264,9834353316419171009
RG2_JPN225_PERIOD_M5_1764547200_1764978900_13582613236484951,JPN225,15776509321198877892,3842252694349548524,13525615418811371775,1764554798.0,1764554799,1.0,False,0.2,0.2857142857142857,64,80,192,14748879398391364618,13758851997434951799
RG2_JPN225_PERIOD_M5_1766966400_1767398100_17845446579741474672,JPN225,9977094039340112083,290412883394439301,7465173805776653128,1767060036.0,1767060000,-36.0,True,0.0,0.3793103448275862,982,982,982,7831841274773441297,7773786663808662471
RG2_JPN225_PERIOD_M5_1773619200_1774047300_3195075028303676313,JPN225,14936020777685048437,3297148756109763893,12435283800142702347,1773695400.0,1773694800,-600.0,True,0.0,0.3717948717948718,258,258,258,5427939024708916019,10069444810737233187
RG2_JPN225_PERIOD_M5_1783900800_1784332500_15138704202311374725,JPN225,4150666126518219001,3567819248940898840,2295538961456563754,1783911942.0,1783912001,59.0,False,0.12195121951219512,0.23170731707317074,64,80,68,6373821589653552721,14078902339360731536
RG2_JPN225_PERIOD_M5_1783900800_1784332500_15138704202311374725,JPN225,3754081669365900693,1772389588965887168,522603878617429882,1783917024.0,1783917026,2.0,False,0.11320754716981132,0.22641509433962265,64,320,192,8157202142967807754,541591667083270999
RG2_JPN225_PERIOD_M5_1783900800_1784332500_15138704202311374725,JPN225,1921286252634137441,2471491456804254173,8505698129002145482,1783918197.0,1783918198,1.0,False,0.0,0.08928571428571429,448,448,448,1892070690280283980,9742553285017130127
RG2_JPN225_PERIOD_M5_1783900800_1784332500_15138704202311374725,JPN225,17516515932807564260,17051479002292016446,10606380239344041744,1784039140.0,1784039141,1.0,False,0.11504424778761062,0.23008849557522124,320,320,320,4784826686174401848,15019745245639000376
RG2_US30_PERIOD_M5_1765756800_1766184900_14597027152545731016,US30,15237984267092713310,14672697765778283132,8727082019678891983,1766003425.0,1766003436,11.0,False,0.10823909531507797,0.22617124394174093,64,64,192,10893851312660226339,1963645584310868879
RG2_US30_PERIOD_M5_1765756800_1766184900_14597027152545731016,US30,295920417125593885,2198302048938580797,6610381527191923665,1766022757.0,1766022758,1.0,False,0.05156121610506905,0.3915365653245208,64,80,64,6902343744241113020,8406714102532542755
RG2_US30_PERIOD_M5_1765756800_1766184900_14597027152545731016,US30,2083796173168145346,8523201804686925922,1803427816774174454,1766130564.0,1766130565,1.0,False,0.1375894331315355,0.2173913043476659,64,320,80,203318404270528194,11316149233128998716
RG2_US30_PERIOD_M5_1776038400_1776466500_16278752941905126714,US30,7333203263074162473,6764007883592428693,10990208280924263276,1776109863.0,1776109864,1.0,False,0.12031425364760005,0.2307519640852713,64,320,80,12165577404546434014,6470307798633797297
RG2_US30_PERIOD_M5_1777248000_1777676100_6859180431116322748,US30,2255767850347152547,13327664082970111610,2534100363997803538,1777435716.0,1777435716,0.0,True,0.07921267402791432,0.19251080172837434,64,192,80,8417394014119650703,2814730772080431814
RG2_US500_PERIOD_M5_1764547200_1764975300_7828061311987021760,US500,10184100997033172855,1038372131078793424,8812764004605577530,1764735153.0,1764735162,9.0,False,0.0,0.09638554216858702,256,272,320,8490829577420730748,8095815270229517790
RG2_US500_PERIOD_M5_1773014400_1773442200_10013978319232738791,US500,2298741400151445291,1512463657179719159,13655776490036644815,1773273628.0,1773273637,9.0,False,0.08037825059105094,0.19621749408981728,64,80,192,11856481743421180348,1204097230791946991
RG2_US500_PERIOD_M5_1773014400_1773442200_10013978319232738791,US500,5044850785166440376,12057622511641090393,11470112595047545107,1773335616.0,1773335616,0.0,True,0.05612998522896738,0.17429837518454677,64,320,192,802961802295731420,15895114969396207223
RG2_US500_PERIOD_M5_1773014400_1773442200_10013978319232738791,US500,11929792787785852787,17458730222012506914,11333840889358430613,1773367214.0,1773367216,2.0,False,0.0,0.1954022988505422,64,322,64,4556029052569052179,16649195350220261667
RG2_US500_PERIOD_M5_1780272000_1780700100_8888579981882631925,US500,18302162918077114117,14256073911558208556,14810134852682960936,1780331064.0,1780331071,7.0,False,0.16078431372543314,0.2784313725490339,64,320,80,17279555489640959682,10027757155047247932
RG2_US500_PERIOD_M5_1780272000_1780700100_8888579981882631925,US500,13143387751783703590,11637342679137182761,9109943302962993268,1780372417.0,1780372418,1.0,False,0.0,0.13066666666660845,922,986,922,8058611690160253540,4283946261450705001
RG2_US500_PERIOD_M5_1780272000_1780700100_8888579981882631925,US500,7903656101176011937,13496226943053920646,3995782341393720406,1780372417.0,1780372418,1.0,False,0.0,0.2240000000000388,464,464,464,4300254613625420557,5597243664834744392
RG2_US500_PERIOD_M5_1780272000_1780700100_8888579981882631925,US500,9632426891938089706,14422858345498749411,1977242162547367041,1780621235.0,1780621235,0.0,True,0.07906976744189431,0.18372093023254968,64,320,192,17815806927115253560,14790443270691957245
RG2_US500_PERIOD_M5_1780272000_1780700100_8888579981882631925,US500,2246107795105904702,5518357564533644123,13736698555545831015,1780677520.0,1780677531,11.0,False,0.19098143236081025,0.3076923076925103,64,320,192,14894229618665149194,2808747355123125367
RG2_USTEC_PERIOD_M5_1767571200_1767999300_9581645730247380597,USTEC,12805235225785150457,2384598813127117714,13580940954814747408,1767927603.0,1767927604,1.0,False,0.012627489072287484,0.13307430791654204,64,80,68,17204324980640715914,8278013162530328072
RG2_USTEC_PERIOD_M5_1776038400_1776466500_3632165528533734308,USTEC,5784133243803033919,13534747693717539745,9030187699364926188,1776426089.0,1776426097,8.0,False,0.14381270903019766,0.25529542920857,64,192,320,6963573438346831693,8784033931787514168
RG2_USTEC_PERIOD_M5_1784505600_1784933700_16636102961176583068,USTEC,3766629023541163488,12332787820658311764,17493353602696199445,1784551947.0,1784551948,1.0,False,0.09680573663628306,0.21088657105610054,64,320,80,2478359925740778808,15186899504196855377
RG2_USTEC_PERIOD_M5_1784505600_1784933700_16636102961176583068,USTEC,11308653643673191103,10628182168863677552,11790048529488661535,1784633080.0,1784633114,34.0,False,0.1560226354082693,0.26960388035577576,64,80,192,3105527426947480145,3583726563180878157
