object_kind	run_key	canonical_instrument	object_id	terminal_reason_code	censored	compression_summary_family_id	compression_shape_family_id	compression_hybrid_family_id	expansion_summary_family_id	expansion_shape_family_id	expansion_hybrid_family_id	structural_stratum	terminal_bridge_receipt_id
COMPRESSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	3	2	0	C1	C2	C2	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	REGION_0|NODE_CONTACT	bridge::RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::3::TERMINAL
COMPRESSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	4	1	0	C2	C1	C1	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	REGION_1|NODE_CONTACT	bridge::RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::4::TERMINAL
COMPRESSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	5	2	0	C1	C2	C1	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	REGION_1|NODE_CONTACT	bridge::RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::5::TERMINAL
COMPRESSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	6	1	0	C1	C1	C1	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	REGION_2|NODE_CONTACT	bridge::RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::6::TERMINAL
COMPRESSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	7	1	0	C2	C1	C1	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	REGION_2|NODE_CONTACT	bridge::RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::7::TERMINAL
COMPRESSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	8	1	0	C1	C1	C1	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	REGION_2|NODE_CONTACT	bridge::RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::8::TERMINAL
COMPRESSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	9	2	0	C1	C2	C1	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	REGION_2|NODE_CONTACT	bridge::RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::9::TERMINAL
COMPRESSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	10	2	0	C1	C2	C2	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	REGION_1|NODE_CONTACT	bridge::RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::10::TERMINAL
COMPRESSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	11	1	0	C1	C1	C1	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	REGION_1|NODE_CONTACT	bridge::RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::11::TERMINAL
COMPRESSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	12	1	0	C2	C2	C1	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	REGION_1|NODE_CONTACT	bridge::RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::12::TERMINAL
EXPANSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	1	4	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	C3	C1	C2	REGION_1|NODE_CONTACT	bridge::RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::1::TERMINAL
EXPANSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	2	4	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	C1	C2	C1	REGION_1|NODE_CONTACT	bridge::RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::2::TERMINAL
EXPANSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	3	4	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	C1	C1	C2	REGION_0|NODE_CONTACT	bridge::RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::3::TERMINAL
EXPANSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	4	4	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	C3	C1	C3	REGION_2|NODE_CONTACT	bridge::RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::4::TERMINAL
EXPANSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	5	4	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	C1	C1	C2	REGION_2|NODE_CONTACT	bridge::RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::5::TERMINAL
EXPANSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	6	4	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	C1	C1	C2	REGION_2|NODE_CONTACT	bridge::RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::6::TERMINAL
EXPANSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	7	4	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	C3	C1	C3	REGION_2|NODE_CONTACT	bridge::RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::7::TERMINAL
EXPANSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	8	4	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	C1	C1	C2	REGION_2|NODE_CONTACT	bridge::RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::8::TERMINAL
EXPANSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	9	4	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	C1	C1	C2	REGION_1|NODE_CONTACT	bridge::RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::9::TERMINAL
EXPANSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	10	4	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	C3	C1	C1	REGION_1|NODE_CONTACT	bridge::RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::10::TERMINAL
EXPANSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	11	4	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	C1	C1	C2	REGION_1|NODE_CONTACT	bridge::RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::11::TERMINAL
EXPANSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	12	6	1	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NULL_STRUCTURAL_CONTEXT	bridge::RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::12::TERMINAL
COMPRESSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	DE40	1	2	0	C1	C2	C1	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	REGION_-2|OPEN_CORRIDOR	bridge::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::1::TERMINAL
COMPRESSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	DE40	2	1	0	C1	C1	C1	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	REGION_-1|OPEN_CORRIDOR	bridge::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::2::TERMINAL
COMPRESSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	DE40	3	1	0	C2	C1	C1	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	REGION_-1|NODE_CONTACT	bridge::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::3::TERMINAL
COMPRESSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	DE40	4	1	0	C1	C1	C1	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	REGION_-1|OPEN_CORRIDOR	bridge::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::4::TERMINAL
COMPRESSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	DE40	5	1	0	C1	C1	C1	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	REGION_-1|OPEN_CORRIDOR	bridge::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::5::TERMINAL
COMPRESSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	DE40	6	1	0	C2	C1	C1	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	REGION_-1|NODE_CONTACT	bridge::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::6::TERMINAL
COMPRESSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	DE40	7	2	0	C1	C2	C1	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	REGION_-1|OPEN_CORRIDOR	bridge::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::7::TERMINAL
COMPRESSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	DE40	8	2	0	C1	C2	C1	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	REGION_-1|OPEN_CORRIDOR	bridge::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::8::TERMINAL
COMPRESSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	DE40	9	2	0	C1	C2	C1	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	REGION_-1|NODE_CONTACT	bridge::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::9::TERMINAL
COMPRESSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	DE40	10	2	0	C1	C2	C1	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	REGION_-1|NODE_CONTACT	bridge::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::10::TERMINAL
COMPRESSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	DE40	11	2	0	C1	C1	C1	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	REGION_-1|NODE_CONTACT	bridge::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::11::TERMINAL
COMPRESSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	DE40	12	1	0	C1	C1	C1	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	REGION_-1|NODE_CONTACT	bridge::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::12::TERMINAL
COMPRESSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	DE40	13	6	1	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NULL_STRUCTURAL_CONTEXT	bridge::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::13::TERMINAL
EXPANSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	DE40	1	4	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	C3	C2	C3	REGION_-1|OPEN_CORRIDOR	bridge::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::EXPANSION::1::TERMINAL
EXPANSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	DE40	2	4	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NULL_FAMILY	C2	C1	REGION_-2|NODE_CONTACT	bridge::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::EXPANSION::2::TERMINAL
EXPANSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	DE40	3	4	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	C3	C1	C2	REGION_-1|NODE_CONTACT	bridge::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::EXPANSION::3::TERMINAL
