object_kind	run_key	object_id	object_start_time	object_end_time	intersection_status	authority_status	overlap_start	overlap_end	overlap_seconds	fraction_of_object_lifetime	fraction_of_episode_lifetime
COMPRESSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	10	1771487400	1771498800	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	11	1771532400	1771549200	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	12	1771554300	1771575300	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	1	1771224000	1771272900	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	2	1771292100	1771305900	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	3	1771308000	1771314300	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	4	1771323600	1771366200	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	5	1771380000	1771391700	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	6	1771396500	1771402800	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	7	1771410600	1771467600	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	8	1771471800	1771478100	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	9	1771485900	1771493100	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	10	1771498800	1771538100	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	11	1771549200	1771560000	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
EXPANSION	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	12	1771575300	1771804800	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	1	1774242600	1774256100	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	2	1774302000	1774314900	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
